block,wealth_bucket,n_wallets,mean,median,p25,p75,p90,p95,p99,max
10966874,0–1,2805841,1.1387191932828695,1.0,1.0,1.0,1.0,2.0,3.0,100.0
10966874,"1,000–10,000",441572,2.0383765274972143,1.0,1.0,2.0,4.0,6.0,11.0,201.0
10966874,"10,000–100,000",102038,2.416727101668006,1.0,1.0,2.0,6.0,9.0,17.0,89.0
10966874,"100–1,000",887971,1.4518672344029253,1.0,1.0,1.0,3.0,4.0,7.0,131.0
10966874,1–100,4451228,1.2024490769738148,1.0,1.0,1.0,2.0,2.0,4.0,58.0
10966874,">100,000",27462,2.22099628577671,1.0,1.0,2.0,4.0,7.0,19.0,204.0
11167817,0–1,2924954,1.1354783699162447,1.0,1.0,1.0,1.0,2.0,3.0,100.0
11167817,"1,000–10,000",327758,2.3360436663635977,1.0,1.0,3.0,5.0,7.0,13.0,197.0
11167817,"10,000–100,000",109505,2.2254234966439888,1.0,1.0,2.0,5.0,8.0,16.0,182.0
11167817,"100–1,000",738164,1.620668306771937,1.0,1.0,2.0,3.0,4.0,8.0,174.0
11167817,1–100,4665213,1.2112405157063568,1.0,1.0,1.0,2.0,2.0,4.0,238.0
11167817,">100,000",26246,2.337270441210089,1.0,1.0,2.0,4.0,8.0,20.0,210.0
11363270,0–1,3079490,1.1286794241903693,1.0,1.0,1.0,1.0,2.0,3.0,100.0
11363270,"1,000–10,000",356382,2.3229540212468645,1.0,1.0,3.0,5.0,7.0,13.0,232.0
11363270,"10,000–100,000",136266,2.3045367149545744,1.0,1.0,2.0,5.0,8.0,17.0,194.0
11363270,"100–1,000",759092,1.5968657290552397,1.0,1.0,2.0,3.0,4.0,8.0,131.0
11363270,1–100,5066953,1.201372501382981,1.0,1.0,1.0,2.0,2.0,4.0,238.0
11363270,">100,000",33692,2.3594325062329338,1.0,1.0,2.0,5.0,8.0,20.0,333.0
11565019,0–1,2959747,1.134484467760251,1.0,1.0,1.0,1.0,2.0,3.0,116.0
11565019,"1,000–10,000",383024,2.381083169723046,1.0,1.0,3.0,5.0,7.0,14.0,284.0
11565019,"10,000–100,000",145342,2.4184681647424693,1.0,1.0,2.0,5.0,9.0,19.0,206.0
11565019,"100–1,000",878989,1.575198324438645,1.0,1.0,2.0,3.0,4.0,7.0,130.0
11565019,1–100,5494814,1.1986465783919165,1.0,1.0,1.0,2.0,2.0,4.0,238.0
11565019,">100,000",43042,2.204497932252219,1.0,1.0,1.0,4.0,7.0,19.0,397.0
11766939,0–1,3110744,1.1289713971962978,1.0,1.0,1.0,1.0,2.0,3.0,194.0
11766939,"1,000–10,000",495621,2.284628778845126,1.0,1.0,3.0,5.0,7.0,12.0,207.0
11766939,"10,000–100,000",196346,2.9014698542369084,1.0,1.0,3.0,7.0,11.0,20.0,332.0
11766939,"100–1,000",1073319,1.491135440628555,1.0,1.0,1.0,3.0,4.0,7.0,238.0
11766939,1–100,5466151,1.1865001533986164,1.0,1.0,1.0,2.0,2.0,4.0,216.0
11766939,">100,000",49461,2.8739208669456744,1.0,1.0,2.0,6.0,11.0,25.0,439.0
11948960,0–1,3086632,1.1237614331737635,1.0,1.0,1.0,1.0,2.0,3.0,243.0
11948960,"1,000–10,000",696305,2.1516835294877965,1.0,1.0,2.0,4.0,6.0,11.0,251.0
11948960,"10,000–100,000",238806,3.287576526552934,1.0,1.0,4.0,8.0,12.0,22.0,382.0
11948960,"100–1,000",1367265,1.4234855715607435,1.0,1.0,1.0,2.0,3.0,6.0,253.0
11948960,1–100,5621847,1.1791267176072207,1.0,1.0,1.0,2.0,2.0,4.0,216.0
11948960,">100,000",71430,2.9048579028419432,1.0,1.0,2.0,6.0,11.0,26.0,496.0
12150245,0–1,2812135,1.1048157360866389,1.0,1.0,1.0,1.0,2.0,3.0,243.0
12150245,"1,000–10,000",903597,2.020273418349109,1.0,1.0,2.0,4.0,6.0,10.0,253.0
12150245,"10,000–100,000",328670,3.2921380107706817,1.0,1.0,4.0,8.0,11.0,21.0,461.0
12150245,"100–1,000",1632164,1.4033620395989619,1.0,1.0,1.0,2.0,3.0,6.0,239.0
12150245,1–100,5962648,1.165180470153529,1.0,1.0,1.0,2.0,2.0,3.0,216.0
12150245,">100,000",91323,3.373005705025021,1.0,1.0,3.0,8.0,13.0,31.0,555.0
12344945,0–1,2902824,1.1063688325575372,1.0,1.0,1.0,1.0,2.0,3.0,290.0
