size_bucket,wallet_count,wallet_pct,wallet_type,wealth_bucket,block
21–50,2,0.0488,CA,"1,000–10,000",13527859
3,105,2.5635,CA,"1,000–10,000",13527859
4,51,1.2451,CA,"1,000–10,000",13527859
5,21,0.5127,CA,"1,000–10,000",13527859
6–10,47,1.1475,CA,"1,000–10,000",13527859
1,2862,79.2139,CA,"10,000–100,000",13527859
11–20,10,0.2768,CA,"10,000–100,000",13527859
2,530,14.6692,CA,"10,000–100,000",13527859
21–50,2,0.0554,CA,"10,000–100,000",13527859
3,93,2.574,CA,"10,000–100,000",13527859
4,47,1.3009,CA,"10,000–100,000",13527859
5,22,0.6089,CA,"10,000–100,000",13527859
6–10,47,1.3009,CA,"10,000–100,000",13527859
1,5018,87.4216,CA,"100–1,000",13527859
11–20,3,0.0523,CA,"100–1,000",13527859
2,558,9.7213,CA,"100–1,000",13527859
3,74,1.2892,CA,"100–1,000",13527859
4,32,0.5575,CA,"100–1,000",13527859
5,24,0.4181,CA,"100–1,000",13527859
6–10,31,0.5401,CA,"100–1,000",13527859
1,7493,90.5498,CA,1–100,13527859
2,650,7.855,CA,1–100,13527859
3,74,0.8943,CA,1–100,13527859
4,20,0.2417,CA,1–100,13527859
5,15,0.1813,CA,1–100,13527859
6–10,23,0.2779,CA,1–100,13527859
1,1462,52.1212,CA,">100,000",13527859
11–20,9,0.3209,CA,">100,000",13527859
2,1081,38.5383,CA,">100,000",13527859
21–50,7,0.2496,CA,">100,000",13527859
3,172,6.1319,CA,">100,000",13527859
4,36,1.2834,CA,">100,000",13527859
5,13,0.4635,CA,">100,000",13527859
6–10,25,0.8913,CA,">100,000",13527859
0,207,0.0058,EOA,0–1,13527859
1,3340694,93.0957,EOA,0–1,13527859
11–20,706,0.0197,EOA,0–1,13527859
2,174701,4.8684,EOA,0–1,13527859
21–50,118,0.0033,EOA,0–1,13527859
3,45764,1.2753,EOA,0–1,13527859
4,14050,0.3915,EOA,0–1,13527859
5,7421,0.2068,EOA,0–1,13527859
51–100,30,0.0008,EOA,0–1,13527859
6–10,4733,0.1319,EOA,0–1,13527859
>100,28,0.0008,EOA,0–1,13527859
1,1012096,63.4683,EOA,"1,000–10,000",13527859
11–20,12704,0.7967,EOA,"1,000–10,000",13527859
2,283109,17.7537,EOA,"1,000–10,000",13527859
21–50,1706,0.107,EOA,"1,000–10,000",13527859
3,123852,7.7667,EOA,"1,000–10,000",13527859
4,63997,4.0132,EOA,"1,000–10,000",13527859
5,37444,2.3481,EOA,"1,000–10,000",13527859
51–100,68,0.0043,EOA,"1,000–10,000",13527859
6–10,59661,3.7413,EOA,"1,000–10,000",13527859
>100,11,0.0007,EOA,"1,000–10,000",13527859
1,249963,53.049,EOA,"10,000–100,000",13527859
11–20,17737,3.7643,EOA,"10,000–100,000",13527859
2,74875,15.8905,EOA,"10,000–100,000",13527859
21–50,4883,1.0363,EOA,"10,000–100,000",13527859
3,40798,8.6584,EOA,"10,000–100,000",13527859
4,25541,5.4205,EOA,"10,000–100,000",13527859
5,17494,3.7127,EOA,"10,000–100,000",13527859
51–100,274,0.0582,EOA,"10,000–100,000",13527859
6–10,39579,8.3997,EOA,"10,000–100,000",13527859
>100,49,0.0104,EOA,"10,000–100,000",13527859
1,2598553,80.5483,EOA,"100–1,000",13527859
11–20,3285,0.1018,EOA,"100–1,000",13527859
2,405909,12.5821,EOA,"100–1,000",13527859
21–50,372,0.0115,EOA,"100–1,000",13527859
3,124420,3.8567,EOA,"100–1,000",13527859
4,47370,1.4683,EOA,"100–1,000",13527859
5,21466,0.6654,EOA,"100–1,000",13527859
51–100,18,0.0006,EOA,"100–1,000",13527859
6–10,24672,0.7648,EOA,"100–1,000",13527859
>100,17,0.0005,EOA,"100–1,000",13527859
1,6070020,87.8517,EOA,1–100,13527859
11–20,2007,0.029,EOA,1–100,13527859
2,664441,9.6165,EOA,1–100,13527859
21–50,234,0.0034,EOA,1–100,13527859
3,108088,1.5644,EOA,1–100,13527859
4,34884,0.5049,EOA,1–100,13527859
5,14522,0.2102,EOA,1–100,13527859
51–100,31,0.0004,EOA,1–100,13527859
6–10,15162,0.2194,EOA,1–100,13527859
>100,8,0.0001,EOA,1–100,13527859
1,82453,61.4656,EOA,">100,000",13527859
11–20,5048,3.7631,EOA,">100,000",13527859
2,17182,12.8085,EOA,">100,000",13527859
21–50,2232,1.6639,EOA,">100,000",13527859
3,8764,6.5332,EOA,">100,000",13527859
4,5412,4.0344,EOA,">100,000",13527859
5,3718,2.7716,EOA,">100,000",13527859
51–100,314,0.2341,EOA,">100,000",13527859
6–10,8893,6.6294,EOA,">100,000",13527859
>100,129,0.0962,EOA,">100,000",13527859
1,39967,97.5257,CA,0–1,13717847
11–20,4,0.0098,CA,0–1,13717847
2,949,2.3157,CA,0–1,13717847
3,28,0.0683,CA,0–1,13717847
4,11,0.0268,CA,0–1,13717847
5,3,0.0073,CA,0–1,13717847
6–10,19,0.0464,CA,0–1,13717847
1,3467,79.7011,CA,"1,000–10,000",13717847
11–20,8,0.1839,CA,"1,000–10,000",13717847
2,639,14.6897,CA,"1,000–10,000",13717847
3,108,2.4828,CA,"1,000–10,000",13717847
4,54,1.2414,CA,"1,000–10,000",13717847
5,22,0.5057,CA,"1,000–10,000",13717847
6–10,52,1.1954,CA,"1,000–10,000",13717847
1,3308,81.3376,CA,"10,000–100,000",13717847
11–20,8,0.1967,CA,"10,000–100,000",13717847
2,550,13.5235,CA,"10,000–100,000",13717847
21–50,5,0.1229,CA,"10,000–100,000",13717847
3,87,2.1392,CA,"10,000–100,000",13717847
4,42,1.0327,CA,"10,000–100,000",13717847
5,24,0.5901,CA,"10,000–100,000",13717847
6–10,43,1.0573,CA,"10,000–100,000",13717847
1,5357,87.7334,CA,"100–1,000",13717847
11–20,3,0.0491,CA,"100–1,000",13717847
2,569,9.3187,CA,"100–1,000",13717847
3,81,1.3266,CA,"100–1,000",13717847
4,35,0.5732,CA,"100–1,000",13717847
5,24,0.3931,CA,"100–1,000",13717847
6–10,37,0.606,CA,"100–1,000",13717847
1,7671,90.556,CA,1–100,13717847
2,668,7.8857,CA,1–100,13717847
3,73,0.8618,CA,1–100,13717847
4,21,0.2479,CA,1–100,13717847
5,17,0.2007,CA,1–100,13717847
6–10,21,0.2479,CA,1–100,13717847
1,1579,52.951,CA,">100,000",13717847
11–20,10,0.3353,CA,">100,000",13717847
2,1129,37.8605,CA,">100,000",13717847
21–50,7,0.2347,CA,">100,000",13717847
3,176,5.9021,CA,">100,000",13717847
4,44,1.4755,CA,">100,000",13717847
5,14,0.4695,CA,">100,000",13717847
6–10,23,0.7713,CA,">100,000",13717847
0,208,0.0059,EOA,0–1,13717847
1,3290564,93.2686,EOA,0–1,13717847
11–20,720,0.0204,EOA,0–1,13717847
2,165065,4.6786,EOA,0–1,13717847
21–50,123,0.0035,EOA,0–1,13717847
3,44749,1.2684,EOA,0–1,13717847
4,14285,0.4049,EOA,0–1,13717847
5,7535,0.2136,EOA,0–1,13717847
51–100,26,0.0007,EOA,0–1,13717847
6–10,4750,0.1346,EOA,0–1,13717847
>100,26,0.0007,EOA,0–1,13717847
1,1087811,63.1588,EOA,"1,000–10,000",13717847
11–20,12679,0.7361,EOA,"1,000–10,000",13717847
2,313014,18.1737,EOA,"1,000–10,000",13717847
21–50,1755,0.1019,EOA,"1,000–10,000",13717847
3,136246,7.9105,EOA,"1,000–10,000",13717847
4,69281,4.0225,EOA,"1,000–10,000",13717847
5,39422,2.2889,EOA,"1,000–10,000",13717847
51–100,68,0.0039,EOA,"1,000–10,000",13717847
6–10,62055,3.6029,EOA,"1,000–10,000",13717847
>100,13,0.0008,EOA,"1,000–10,000",13717847
1,247426,51.2313,EOA,"10,000–100,000",13717847
11–20,18931,3.9198,EOA,"10,000–100,000",13717847
2,77740,16.0966,EOA,"10,000–100,000",13717847
21–50,5083,1.0525,EOA,"10,000–100,000",13717847
3,43349,8.9757,EOA,"10,000–100,000",13717847
4,27890,5.7748,EOA,"10,000–100,000",13717847
5,19123,3.9595,EOA,"10,000–100,000",13717847
51–100,284,0.0588,EOA,"10,000–100,000",13717847
6–10,43090,8.9221,EOA,"10,000–100,000",13717847
>100,43,0.0089,EOA,"10,000–100,000",13717847
1,4978968,83.5196,EOA,"100–1,000",13717847
11–20,3675,0.0616,EOA,"100–1,000",13717847
2,707745,11.8721,EOA,"100–1,000",13717847
21–50,436,0.0073,EOA,"100–1,000",13717847
3,162018,2.7178,EOA,"100–1,000",13717847
4,56817,0.9531,EOA,"100–1,000",13717847
5,24570,0.4121,EOA,"100–1,000",13717847
51–100,25,0.0004,EOA,"100–1,000",13717847
6–10,27164,0.4557,EOA,"100–1,000",13717847
>100,17,0.0003,EOA,"100–1,000",13717847
1,4435344,88.5766,EOA,1–100,13717847
11–20,2302,0.046,EOA,1–100,13717847
2,433989,8.667,EOA,1–100,13717847
21–50,348,0.0069,EOA,1–100,13717847
3,82109,1.6398,EOA,1–100,13717847
4,27934,0.5579,EOA,1–100,13717847
5,12156,0.2428,EOA,1–100,13717847
51–100,39,0.0008,EOA,1–100,13717847
6–10,13121,0.262,EOA,1–100,13717847
>100,11,0.0002,EOA,1–100,13717847
1,87632,61.7444,EOA,">100,000",13717847
11–20,5468,3.8527,EOA,">100,000",13717847
2,17830,12.5628,EOA,">100,000",13717847
21–50,2519,1.7749,EOA,">100,000",13717847
3,8951,6.3068,EOA,">100,000",13717847
4,5593,3.9408,EOA,">100,000",13717847
5,3975,2.8007,EOA,">100,000",13717847
51–100,331,0.2332,EOA,">100,000",13717847
6–10,9479,6.6788,EOA,">100,000",13717847
>100,149,0.105,EOA,">100,000",13717847
1,42066,97.5421,CA,0–1,13916166
11–20,5,0.0116,CA,0–1,13916166
2,989,2.2933,CA,0–1,13916166
3,31,0.0719,CA,0–1,13916166
4,10,0.0232,CA,0–1,13916166
5,5,0.0116,CA,0–1,13916166
6–10,20,0.0464,CA,0–1,13916166
1,3502,79.6996,CA,"1,000–10,000",13916166
11–20,8,0.1821,CA,"1,000–10,000",13916166
2,628,14.2922,CA,"1,000–10,000",13916166
21–50,1,0.0228,CA,"1,000–10,000",13916166
3,123,2.7993,CA,"1,000–10,000",13916166
4,54,1.2289,CA,"1,000–10,000",13916166
5,22,0.5007,CA,"1,000–10,000",13916166
6–10,56,1.2745,CA,"1,000–10,000",13916166
1,3202,80.7363,CA,"10,000–100,000",13916166
11–20,11,0.2774,CA,"10,000–100,000",13916166
2,566,14.2713,CA,"10,000–100,000",13916166
21–50,4,0.1009,CA,"10,000–100,000",13916166
3,76,1.9163,CA,"10,000–100,000",13916166
4,43,1.0842,CA,"10,000–100,000",13916166
5,24,0.6051,CA,"10,000–100,000",13916166
6–10,40,1.0086,CA,"10,000–100,000",13916166
1,5478,87.2571,CA,"100–1,000",13916166
11–20,3,0.0478,CA,"100–1,000",13916166
2,613,9.7643,CA,"100–1,000",13916166
3,86,1.3699,CA,"100–1,000",13916166
4,39,0.6212,CA,"100–1,000",13916166
5,22,0.3504,CA,"100–1,000",13916166
6–10,37,0.5894,CA,"100–1,000",13916166
1,8377,90.7879,CA,1–100,13916166
2,707,7.6623,CA,1–100,13916166
3,75,0.8128,CA,1–100,13916166
4,23,0.2493,CA,1–100,13916166
5,19,0.2059,CA,1–100,13916166
6–10,26,0.2818,CA,1–100,13916166
1,1371,49.6559,CA,">100,000",13916166
11–20,11,0.3984,CA,">100,000",13916166
2,1124,40.7099,CA,">100,000",13916166
21–50,7,0.2535,CA,">100,000",13916166
3,172,6.2296,CA,">100,000",13916166
4,39,1.4125,CA,">100,000",13916166
5,14,0.5071,CA,">100,000",13916166
6–10,23,0.833,CA,">100,000",13916166
0,210,0.0056,EOA,0–1,13916166
1,3415251,91.7496,EOA,0–1,13916166
11–20,740,0.0199,EOA,0–1,13916166
2,230656,6.1965,EOA,0–1,13916166
21–50,127,0.0034,EOA,0–1,13916166
3,47339,1.2717,EOA,0–1,13916166
4,15187,0.408,EOA,0–1,13916166
5,7765,0.2086,EOA,0–1,13916166
51–100,30,0.0008,EOA,0–1,13916166
6–10,5025,0.135,EOA,0–1,13916166
>100,31,0.0008,EOA,0–1,13916166
1,979623,60.8122,EOA,"1,000–10,000",13916166
11–20,16107,0.9999,EOA,"1,000–10,000",13916166
2,293363,18.2111,EOA,"1,000–10,000",13916166
21–50,2328,0.1445,EOA,"1,000–10,000",13916166
3,135631,8.4196,EOA,"1,000–10,000",13916166
4,72019,4.4707,EOA,"1,000–10,000",13916166
5,42240,2.6221,EOA,"1,000–10,000",13916166
51–100,100,0.0062,EOA,"1,000–10,000",13916166
6–10,69472,4.3126,EOA,"1,000–10,000",13916166
>100,16,0.001,EOA,"1,000–10,000",13916166
1,215191,51.6491,EOA,"10,000–100,000",13916166
11–20,17591,4.2221,EOA,"10,000–100,000",13916166
2,63819,15.3175,EOA,"10,000–100,000",13916166
21–50,5169,1.2406,EOA,"10,000–100,000",13916166
3,35986,8.6372,EOA,"10,000–100,000",13916166
4,23877,5.7308,EOA,"10,000–100,000",13916166
5,16590,3.9819,EOA,"10,000–100,000",13916166
51–100,333,0.0799,EOA,"10,000–100,000",13916166
6–10,38034,9.1287,EOA,"10,000–100,000",13916166
>100,50,0.012,EOA,"10,000–100,000",13916166
1,2960194,78.2101,EOA,"100–1,000",13916166
11–20,4700,0.1242,EOA,"100–1,000",13916166
2,529698,13.9949,EOA,"100–1,000",13916166
21–50,567,0.015,EOA,"100–1,000",13916166
3,164511,4.3465,EOA,"100–1,000",13916166
4,63005,1.6646,EOA,"100–1,000",13916166
5,28756,0.7598,EOA,"100–1,000",13916166
51–100,28,0.0007,EOA,"100–1,000",13916166
6–10,33446,0.8837,EOA,"100–1,000",13916166
>100,19,0.0005,EOA,"100–1,000",13916166
1,6866844,88.9624,EOA,1–100,13916166
11–20,2561,0.0332,EOA,1–100,13916166
2,666977,8.6409,EOA,1–100,13916166
21–50,387,0.005,EOA,1–100,13916166
3,115007,1.49,EOA,1–100,13916166
4,36196,0.4689,EOA,1–100,13916166
5,15124,0.1959,EOA,1–100,13916166
51–100,41,0.0005,EOA,1–100,13916166
6–10,15671,0.203,EOA,1–100,13916166
>100,11,0.0001,EOA,1–100,13916166
1,86010,64.1942,EOA,">100,000",13916166
11–20,4692,3.5019,EOA,">100,000",13916166
2,16107,12.0216,EOA,">100,000",13916166
21–50,2095,1.5636,EOA,">100,000",13916166
3,7972,5.95,EOA,">100,000",13916166
4,4862,3.6288,EOA,">100,000",13916166
5,3513,2.622,EOA,">100,000",13916166
51–100,296,0.2209,EOA,">100,000",13916166
6–10,8282,6.1813,EOA,">100,000",13916166
>100,155,0.1157,EOA,">100,000",13916166
1,43195,97.5056,CA,0–1,14116761
11–20,5,0.0113,CA,0–1,14116761
2,1031,2.3273,CA,0–1,14116761
3,32,0.0722,CA,0–1,14116761
4,10,0.0226,CA,0–1,14116761
5,6,0.0135,CA,0–1,14116761
6–10,21,0.0474,CA,0–1,14116761
1,3648,79.9474,CA,"1,000–10,000",14116761
11–20,7,0.1534,CA,"1,000–10,000",14116761
2,645,14.1354,CA,"1,000–10,000",14116761
21–50,2,0.0438,CA,"1,000–10,000",14116761
3,121,2.6518,CA,"1,000–10,000",14116761
4,60,1.3149,CA,"1,000–10,000",14116761
5,22,0.4821,CA,"1,000–10,000",14116761
6–10,58,1.2711,CA,"1,000–10,000",14116761
1,2882,78.3152,CA,"10,000–100,000",14116761
11–20,9,0.2446,CA,"10,000–100,000",14116761
2,602,16.3587,CA,"10,000–100,000",14116761
21–50,3,0.0815,CA,"10,000–100,000",14116761
3,87,2.3641,CA,"10,000–100,000",14116761
4,35,0.9511,CA,"10,000–100,000",14116761
5,23,0.625,CA,"10,000–100,000",14116761
6–10,39,1.0598,CA,"10,000–100,000",14116761
1,5336,86.357,CA,"100–1,000",14116761
11–20,5,0.0809,CA,"100–1,000",14116761
2,656,10.6166,CA,"100–1,000",14116761
3,86,1.3918,CA,"100–1,000",14116761
4,42,0.6797,CA,"100–1,000",14116761
5,20,0.3237,CA,"100–1,000",14116761
6–10,34,0.5503,CA,"100–1,000",14116761
1,9219,90.6668,CA,1–100,14116761
11–20,1,0.0098,CA,1–100,14116761
2,778,7.6515,CA,1–100,14116761
3,90,0.8851,CA,1–100,14116761
4,28,0.2754,CA,1–100,14116761
5,22,0.2164,CA,1–100,14116761
6–10,30,0.295,CA,1–100,14116761
1,1138,47.3575,CA,">100,000",14116761
11–20,13,0.541,CA,">100,000",14116761
2,1008,41.9476,CA,">100,000",14116761
21–50,7,0.2913,CA,">100,000",14116761
3,160,6.6583,CA,">100,000",14116761
4,40,1.6646,CA,">100,000",14116761
5,9,0.3745,CA,">100,000",14116761
6–10,28,1.1652,CA,">100,000",14116761
0,210,0.0056,EOA,0–1,14116761
1,3426753,91.4618,EOA,0–1,14116761
11–20,789,0.0211,EOA,0–1,14116761
2,238980,6.3785,EOA,0–1,14116761
21–50,135,0.0036,EOA,0–1,14116761
3,49791,1.3289,EOA,0–1,14116761
4,16072,0.429,EOA,0–1,14116761
5,8320,0.2221,EOA,0–1,14116761
51–100,31,0.0008,EOA,0–1,14116761
6–10,5537,0.1478,EOA,0–1,14116761
>100,33,0.0009,EOA,0–1,14116761
1,869538,60.3743,EOA,"1,000–10,000",14116761
11–20,19061,1.3235,EOA,"1,000–10,000",14116761
2,249434,17.3189,EOA,"1,000–10,000",14116761
21–50,3045,0.2114,EOA,"1,000–10,000",14116761
3,120969,8.3992,EOA,"1,000–10,000",14116761
4,66528,4.6192,EOA,"1,000–10,000",14116761
5,40540,2.8148,EOA,"1,000–10,000",14116761
51–100,128,0.0089,EOA,"1,000–10,000",14116761
6–10,70989,4.929,EOA,"1,000–10,000",14116761
>100,13,0.0009,EOA,"1,000–10,000",14116761
1,185668,53.8716,EOA,"10,000–100,000",14116761
11–20,14369,4.1692,EOA,"10,000–100,000",14116761
2,51067,14.8171,EOA,"10,000–100,000",14116761
21–50,4779,1.3866,EOA,"10,000–100,000",14116761
3,27936,8.1056,EOA,"10,000–100,000",14116761
4,18231,5.2897,EOA,"10,000–100,000",14116761
5,12550,3.6414,EOA,"10,000–100,000",14116761
51–100,346,0.1004,EOA,"10,000–100,000",14116761
6–10,29644,8.6012,EOA,"10,000–100,000",14116761
>100,59,0.0171,EOA,"10,000–100,000",14116761
1,3043449,78.1693,EOA,"100–1,000",14116761
11–20,5962,0.1531,EOA,"100–1,000",14116761
2,527579,13.5506,EOA,"100–1,000",14116761
21–50,737,0.0189,EOA,"100–1,000",14116761
3,171023,4.3926,EOA,"100–1,000",14116761
4,70046,1.7991,EOA,"100–1,000",14116761
5,33374,0.8572,EOA,"100–1,000",14116761
51–100,33,0.0008,EOA,"100–1,000",14116761
6–10,41185,1.0578,EOA,"100–1,000",14116761
>100,19,0.0005,EOA,"100–1,000",14116761
1,7315440,88.0913,EOA,1–100,14116761
11–20,3021,0.0364,EOA,1–100,14116761
2,760695,9.1602,EOA,1–100,14116761
21–50,427,0.0051,EOA,1–100,14116761
3,142319,1.7138,EOA,1–100,14116761
4,44905,0.5407,EOA,1–100,14116761
5,18517,0.223,EOA,1–100,14116761
51–100,45,0.0005,EOA,1–100,14116761
6–10,19000,0.2288,EOA,1–100,14116761
>100,17,0.0002,EOA,1–100,14116761
1,76546,66.0363,EOA,">100,000",14116761
11–20,3610,3.1144,EOA,">100,000",14116761
2,13935,12.0217,EOA,">100,000",14116761
21–50,1657,1.4295,EOA,">100,000",14116761
3,6583,5.6792,EOA,">100,000",14116761
4,4042,3.487,EOA,">100,000",14116761
5,2806,2.4207,EOA,">100,000",14116761
51–100,271,0.2338,EOA,">100,000",14116761
6–10,6315,5.448,EOA,">100,000",14116761
>100,150,0.1294,EOA,">100,000",14116761
1,44791,97.5456,CA,0–1,14297759
11–20,5,0.0109,CA,0–1,14297759
2,1050,2.2867,CA,0–1,14297759
3,34,0.074,CA,0–1,14297759
4,10,0.0218,CA,0–1,14297759
5,6,0.0131,CA,0–1,14297759
6–10,22,0.0479,CA,0–1,14297759
1,3636,79.6321,CA,"1,000–10,000",14297759
11–20,8,0.1752,CA,"1,000–10,000",14297759
2,663,14.5204,CA,"1,000–10,000",14297759
21–50,2,0.0438,CA,"1,000–10,000",14297759
3,121,2.65,CA,"1,000–10,000",14297759
4,58,1.2703,CA,"1,000–10,000",14297759
5,23,0.5037,CA,"1,000–10,000",14297759
6–10,55,1.2046,CA,"1,000–10,000",14297759
1,3048,79.0456,CA,"10,000–100,000",14297759
11–20,10,0.2593,CA,"10,000–100,000",14297759
2,603,15.638,CA,"10,000–100,000",14297759
21–50,3,0.0778,CA,"10,000–100,000",14297759
3,88,2.2822,CA,"10,000–100,000",14297759
4,37,0.9595,CA,"10,000–100,000",14297759
5,25,0.6483,CA,"10,000–100,000",14297759
6–10,42,1.0892,CA,"10,000–100,000",14297759
1,5587,86.7008,CA,"100–1,000",14297759
11–20,6,0.0931,CA,"100–1,000",14297759
2,659,10.2266,CA,"100–1,000",14297759
3,88,1.3656,CA,"100–1,000",14297759
4,43,0.6673,CA,"100–1,000",14297759
5,22,0.3414,CA,"100–1,000",14297759
6–10,39,0.6052,CA,"100–1,000",14297759
1,9531,90.5644,CA,1–100,14297759
11–20,1,0.0095,CA,1–100,14297759
2,820,7.7917,CA,1–100,14297759
3,92,0.8742,CA,1–100,14297759
4,29,0.2756,CA,1–100,14297759
5,21,0.1995,CA,1–100,14297759
6–10,30,0.2851,CA,1–100,14297759
1,1174,48.5325,CA,">100,000",14297759
11–20,13,0.5374,CA,">100,000",14297759
2,994,41.0914,CA,">100,000",14297759
21–50,7,0.2894,CA,">100,000",14297759
3,156,6.4489,CA,">100,000",14297759
4,39,1.6122,CA,">100,000",14297759
5,9,0.3721,CA,">100,000",14297759
6–10,27,1.1162,CA,">100,000",14297759
0,231,0.006,EOA,0–1,14297759
1,3491580,91.4328,EOA,0–1,14297759
11–20,829,0.0217,EOA,0–1,14297759
2,244351,6.3987,EOA,0–1,14297759
21–50,135,0.0035,EOA,0–1,14297759
3,51017,1.336,EOA,0–1,14297759
4,16449,0.4307,EOA,0–1,14297759
5,8464,0.2216,EOA,0–1,14297759
51–100,32,0.0008,EOA,0–1,14297759
6–10,5617,0.1471,EOA,0–1,14297759
>100,35,0.0009,EOA,0–1,14297759
1,867632,60.3354,EOA,"1,000–10,000",14297759
11–20,19726,1.3718,EOA,"1,000–10,000",14297759
2,248806,17.302,EOA,"1,000–10,000",14297759
21–50,3265,0.227,EOA,"1,000–10,000",14297759
3,120197,8.3585,EOA,"1,000–10,000",14297759
4,66577,4.6298,EOA,"1,000–10,000",14297759
5,40426,2.8112,EOA,"1,000–10,000",14297759
51–100,139,0.0097,EOA,"1,000–10,000",14297759
6–10,71224,4.9529,EOA,"1,000–10,000",14297759
>100,23,0.0016,EOA,"1,000–10,000",14297759
1,202224,56.2146,EOA,"10,000–100,000",14297759
11–20,13601,3.7808,EOA,"10,000–100,000",14297759
2,52644,14.6341,EOA,"10,000–100,000",14297759
21–50,4630,1.2871,EOA,"10,000–100,000",14297759
3,27956,7.7713,EOA,"10,000–100,000",14297759
4,17904,4.977,EOA,"10,000–100,000",14297759
5,12083,3.3589,EOA,"10,000–100,000",14297759
51–100,345,0.0959,EOA,"10,000–100,000",14297759
6–10,28288,7.8635,EOA,"10,000–100,000",14297759
>100,61,0.017,EOA,"10,000–100,000",14297759
1,3164993,78.2281,EOA,"100–1,000",14297759
11–20,6476,0.1601,EOA,"100–1,000",14297759
2,542788,13.4159,EOA,"100–1,000",14297759
21–50,816,0.0202,EOA,"100–1,000",14297759
3,177089,4.3771,EOA,"100–1,000",14297759
4,73752,1.8229,EOA,"100–1,000",14297759
5,35662,0.8814,EOA,"100–1,000",14297759
51–100,35,0.0009,EOA,"100–1,000",14297759
6–10,44221,1.093,EOA,"100–1,000",14297759
>100,20,0.0005,EOA,"100–1,000",14297759
1,7398296,87.9317,EOA,1–100,14297759
11–20,3258,0.0387,EOA,1–100,14297759
2,779014,9.2589,EOA,1–100,14297759
21–50,446,0.0053,EOA,1–100,14297759
3,147084,1.7482,EOA,1–100,14297759
4,46542,0.5532,EOA,1–100,14297759
5,19234,0.2286,EOA,1–100,14297759
51–100,51,0.0006,EOA,1–100,14297759
6–10,19738,0.2346,EOA,1–100,14297759
>100,17,0.0002,EOA,1–100,14297759
1,74077,65.6455,EOA,">100,000",14297759
11–20,3335,2.9554,EOA,">100,000",14297759
2,14159,12.5474,EOA,">100,000",14297759
21–50,1585,1.4046,EOA,">100,000",14297759
3,6508,5.7673,EOA,">100,000",14297759
4,3918,3.472,EOA,">100,000",14297759
5,2714,2.4051,EOA,">100,000",14297759
51–100,259,0.2295,EOA,">100,000",14297759
6–10,6136,5.4376,EOA,">100,000",14297759
>100,153,0.1356,EOA,">100,000",14297759
1,47430,97.6267,CA,0–1,14497034
11–20,6,0.0123,CA,0–1,14497034
2,1076,2.2148,CA,0–1,14497034
3,32,0.0659,CA,0–1,14497034
4,10,0.0206,CA,0–1,14497034
5,7,0.0144,CA,0–1,14497034
6–10,22,0.0453,CA,0–1,14497034
1,3735,79.8589,CA,"1,000–10,000",14497034
11–20,8,0.171,CA,"1,000–10,000",14497034
2,674,14.4109,CA,"1,000–10,000",14497034
21–50,1,0.0214,CA,"1,000–10,000",14497034
3,123,2.6299,CA,"1,000–10,000",14497034
4,57,1.2187,CA,"1,000–10,000",14497034
5,26,0.5559,CA,"1,000–10,000",14497034
6–10,53,1.1332,CA,"1,000–10,000",14497034
1,3420,80.6033,CA,"10,000–100,000",14497034
11–20,11,0.2593,CA,"10,000–100,000",14497034
2,607,14.3059,CA,"10,000–100,000",14497034
21–50,4,0.0943,CA,"10,000–100,000",14497034
3,94,2.2154,CA,"10,000–100,000",14497034
4,40,0.9427,CA,"10,000–100,000",14497034
5,27,0.6363,CA,"10,000–100,000",14497034
6–10,40,0.9427,CA,"10,000–100,000",14497034
1,6027,87.5763,CA,"100–1,000",14497034
11–20,4,0.0581,CA,"100–1,000",14497034
2,657,9.5466,CA,"100–1,000",14497034
3,86,1.2496,CA,"100–1,000",14497034
4,44,0.6393,CA,"100–1,000",14497034
5,23,0.3342,CA,"100–1,000",14497034
6–10,41,0.5958,CA,"100–1,000",14497034
1,9877,90.6646,CA,1–100,14497034
11–20,3,0.0275,CA,1–100,14497034
2,845,7.7566,CA,1–100,14497034
3,92,0.8445,CA,1–100,14497034
4,30,0.2754,CA,1–100,14497034
5,19,0.1744,CA,1–100,14497034
6–10,28,0.257,CA,1–100,14497034
1,1206,48.8259,CA,">100,000",14497034
11–20,14,0.5668,CA,">100,000",14497034
2,1009,40.8502,CA,">100,000",14497034
21–50,7,0.2834,CA,">100,000",14497034
3,156,6.3158,CA,">100,000",14497034
4,37,1.498,CA,">100,000",14497034
5,11,0.4453,CA,">100,000",14497034
6–10,30,1.2146,CA,">100,000",14497034
0,244,0.0063,EOA,0–1,14497034
1,3552761,91.4293,EOA,0–1,14497034
11–20,857,0.0221,EOA,0–1,14497034
2,248638,6.3986,EOA,0–1,14497034
21–50,133,0.0034,EOA,0–1,14497034
3,51894,1.3355,EOA,0–1,14497034
4,16813,0.4327,EOA,0–1,14497034
5,8565,0.2204,EOA,0–1,14497034
51–100,33,0.0008,EOA,0–1,14497034
6–10,5835,0.1502,EOA,0–1,14497034
>100,30,0.0008,EOA,0–1,14497034
1,811967,58.687,EOA,"1,000–10,000",14497034
11–20,19126,1.3824,EOA,"1,000–10,000",14497034
2,246891,17.8447,EOA,"1,000–10,000",14497034
21–50,3076,0.2223,EOA,"1,000–10,000",14497034
3,121745,8.7994,EOA,"1,000–10,000",14497034
4,67890,4.9069,EOA,"1,000–10,000",14497034
