size_bucket,wallet_count,wallet_pct,wallet_type,wealth_bucket,block
2,1,7.6923,CA,">100,000",9393154
6–10,1,7.6923,CA,">100,000",9393154
1,1811734,87.5149,EOA,0–1,9393154
11–20,133,0.0064,EOA,0–1,9393154
2,193045,9.3249,EOA,0–1,9393154
21–50,21,0.001,EOA,0–1,9393154
3,41474,2.0034,EOA,0–1,9393154
4,13529,0.6535,EOA,0–1,9393154
5,7154,0.3456,EOA,0–1,9393154
51–100,1,0.0,EOA,0–1,9393154
6–10,3110,0.1502,EOA,0–1,9393154
1,52418,56.0512,EOA,"1,000–10,000",9393154
11–20,1645,1.759,EOA,"1,000–10,000",9393154
2,14777,15.8012,EOA,"1,000–10,000",9393154
21–50,117,0.1251,EOA,"1,000–10,000",9393154
3,8903,9.5201,EOA,"1,000–10,000",9393154
4,5471,5.8502,EOA,"1,000–10,000",9393154
5,3482,3.7233,EOA,"1,000–10,000",9393154
51–100,4,0.0043,EOA,"1,000–10,000",9393154
6–10,6701,7.1655,EOA,"1,000–10,000",9393154
1,14033,60.9071,EOA,"10,000–100,000",9393154
11–20,486,2.1094,EOA,"10,000–100,000",9393154
2,3546,15.3906,EOA,"10,000–100,000",9393154
21–50,58,0.2517,EOA,"10,000–100,000",9393154
3,1687,7.322,EOA,"10,000–100,000",9393154
4,1053,4.5703,EOA,"10,000–100,000",9393154
5,726,3.151,EOA,"10,000–100,000",9393154
51–100,5,0.0217,EOA,"10,000–100,000",9393154
6–10,1446,6.276,EOA,"10,000–100,000",9393154
1,239109,70.213,EOA,"100–1,000",9393154
11–20,1271,0.3732,EOA,"100–1,000",9393154
2,47287,13.8856,EOA,"100–1,000",9393154
21–50,108,0.0317,EOA,"100–1,000",9393154
3,22909,6.7271,EOA,"100–1,000",9393154
4,12578,3.6935,EOA,"100–1,000",9393154
5,7346,2.1571,EOA,"100–1,000",9393154
51–100,4,0.0012,EOA,"100–1,000",9393154
6–10,9936,2.9177,EOA,"100–1,000",9393154
1,3044942,85.5062,EOA,1–100,9393154
11–20,1346,0.0378,EOA,1–100,9393154
