size_bucket,wallet_count,wallet_pct,wealth_bucket,block
4,1274,2.5514,"10,000–100,000",9581792
5,843,1.6883,"10,000–100,000",9581792
51–100,5,0.01,"10,000–100,000",9581792
6–10,1758,3.5207,"10,000–100,000",9581792
1,294468,73.895,"100–1,000",9581792
11–20,1221,0.3064,"100–1,000",9581792
2,49182,12.3419,"100–1,000",9581792
21–50,109,0.0274,"100–1,000",9581792
3,23594,5.9208,"100–1,000",9581792
4,12836,3.2211,"100–1,000",9581792
5,7336,1.8409,"100–1,000",9581792
51–100,2,0.0005,"100–1,000",9581792
6–10,9747,2.446,"100–1,000",9581792
1,3106602,85.605,1–100,9581792
11–20,1396,0.0385,1–100,9581792
2,388831,10.7146,1–100,9581792
21–50,87,0.0024,1–100,9581792
3,76570,2.1099,1–100,9581792
4,28456,0.7841,1–100,9581792
5,13194,0.3636,1–100,9581792
51–100,2,0.0001,1–100,9581792
6–10,13859,0.3819,1–100,9581792
>100,1,0.0,1–100,9581792
1,8848,79.397,">100,000",9581792
11–20,117,1.0499,">100,000",9581792
2,932,8.3632,">100,000",9581792
21–50,67,0.6012,">100,000",9581792
3,414,3.715,">100,000",9581792
4,266,2.3869,">100,000",9581792
5,164,1.4716,">100,000",9581792
51–100,17,0.1525,">100,000",9581792
6–10,317,2.8446,">100,000",9581792
>100,2,0.0179,">100,000",9581792
1,1936278,87.5609,0–1,9782602
11–20,334,0.0151,0–1,9782602
2,202860,9.1736,0–1,9782602
21–50,23,0.001,0–1,9782602
3,44771,2.0246,0–1,9782602
4,15421,0.6974,0–1,9782602
5,7889,0.3568,0–1,9782602
51–100,1,0.0,0–1,9782602
6–10,3774,0.1707,0–1,9782602
1,150364,77.7714,"1,000–10,000",9782602
11–20,1770,0.9155,"1,000–10,000",9782602
2,16661,8.6174,"1,000–10,000",9782602
21–50,130,0.0672,"1,000–10,000",9782602
3,8618,4.4574,"1,000–10,000",9782602
4,5451,2.8194,"1,000–10,000",9782602
5,3567,1.8449,"1,000–10,000",9782602
51–100,4,0.0021,"1,000–10,000",9782602
6–10,6776,3.5047,"1,000–10,000",9782602
1,40355,82.0791,"10,000–100,000",9782602
11–20,512,1.0414,"10,000–100,000",9782602
2,3438,6.9926,"10,000–100,000",9782602
21–50,60,0.122,"10,000–100,000",9782602
3,1605,3.2645,"10,000–100,000",9782602
4,1070,2.1763,"10,000–100,000",9782602
5,720,1.4644,"10,000–100,000",9782602
51–100,5,0.0102,"10,000–100,000",9782602
6–10,1401,2.8495,"10,000–100,000",9782602
1,335481,77.2918,"100–1,000",9782602
11–20,1361,0.3136,"100–1,000",9782602
2,45755,10.5415,"100–1,000",9782602
21–50,121,0.0279,"100–1,000",9782602
3,21990,5.0663,"100–1,000",9782602
4,12194,2.8094,"100–1,000",9782602
5,7095,1.6346,"100–1,000",9782602
51–100,4,0.0009,"100–1,000",9782602
6–10,10044,2.314,"100–1,000",9782602
1,3170775,85.6059,1–100,9782602
11–20,1557,0.042,1–100,9782602
2,391149,10.5604,1–100,9782602
21–50,109,0.0029,1–100,9782602
3,82035,2.2148,1–100,9782602
4,29539,0.7975,1–100,9782602
5,13840,0.3737,1–100,9782602
51–100,1,0.0,1–100,9782602
6–10,14915,0.4027,1–100,9782602
>100,1,0.0,1–100,9782602
1,5032,71.6911,">100,000",9782602
11–20,103,1.4674,">100,000",9782602
2,792,11.2837,">100,000",9782602
21–50,62,0.8833,">100,000",9782602
3,385,5.4851,">100,000",9782602
4,206,2.9349,">100,000",9782602
5,140,1.9946,">100,000",9782602
51–100,19,0.2707,">100,000",9782602
6–10,278,3.9607,">100,000",9782602
>100,2,0.0285,">100,000",9782602
1,2312010,89.1496,0–1,9976964
11–20,362,0.014,0–1,9976964
2,211558,8.1575,0–1,9976964
21–50,22,0.0008,0–1,9976964
3,44543,1.7175,0–1,9976964
4,14300,0.5514,0–1,9976964
5,7337,0.2829,0–1,9976964
51–100,1,0.0,0–1,9976964
6–10,3271,0.1261,0–1,9976964
1,174729,74.9833,"1,000–10,000",9976964
11–20,1897,0.8141,"1,000–10,000",9976964
2,24903,10.6869,"1,000–10,000",9976964
21–50,143,0.0614,"1,000–10,000",9976964
3,11699,5.0205,"1,000–10,000",9976964
4,6996,3.0023,"1,000–10,000",9976964
5,4553,1.9539,"1,000–10,000",9976964
51–100,6,0.0026,"1,000–10,000",9976964
6–10,8098,3.4752,"1,000–10,000",9976964
1,43748,78.2332,"10,000–100,000",9976964
11–20,749,1.3394,"10,000–100,000",9976964
2,4659,8.3315,"10,000–100,000",9976964
21–50,86,0.1538,"10,000–100,000",9976964
3,2261,4.0433,"10,000–100,000",9976964
4,1392,2.4893,"10,000–100,000",9976964
5,1002,1.7918,"10,000–100,000",9976964
51–100,4,0.0072,"10,000–100,000",9976964
6–10,2019,3.6105,"10,000–100,000",9976964
1,517886,82.6947,"100–1,000",9976964
11–20,1348,0.2152,"100–1,000",9976964
2,51874,8.2831,"100–1,000",9976964
21–50,123,0.0196,"100–1,000",9976964
3,24297,3.8797,"100–1,000",9976964
4,13019,2.0788,"100–1,000",9976964
5,7574,1.2094,"100–1,000",9976964
51–100,4,0.0006,"100–1,000",9976964
6–10,10137,1.6186,"100–1,000",9976964
>100,1,0.0002,"100–1,000",9976964
1,3187082,84.9738,1–100,9976964
11–20,1451,0.0387,1–100,9976964
2,416995,11.1179,1–100,9976964
21–50,106,0.0028,1–100,9976964
3,85420,2.2775,1–100,9976964
4,30657,0.8174,1–100,9976964
5,14119,0.3764,1–100,9976964
6–10,14833,0.3955,1–100,9976964
1,7114,72.7626,">100,000",9976964
11–20,134,1.3706,">100,000",9976964
2,1114,11.3941,">100,000",9976964
21–50,68,0.6955,">100,000",9976964
3,483,4.9402,">100,000",9976964
4,274,2.8025,">100,000",9976964
5,193,1.974,">100,000",9976964
51–100,23,0.2352,">100,000",9976964
6–10,372,3.8048,">100,000",9976964
>100,2,0.0205,">100,000",9976964
1,2366729,89.5206,0–1,10176690
11–20,371,0.014,0–1,10176690
2,209049,7.9072,0–1,10176690
21–50,20,0.0008,0–1,10176690
3,43132,1.6315,0–1,10176690
4,13984,0.5289,0–1,10176690
5,7257,0.2745,0–1,10176690
6–10,3238,0.1225,0–1,10176690
1,146784,67.8265,"1,000–10,000",10176690
11–20,2019,0.9329,"1,000–10,000",10176690
2,28383,13.1153,"1,000–10,000",10176690
21–50,159,0.0735,"1,000–10,000",10176690
3,14938,6.9026,"1,000–10,000",10176690
4,8743,4.04,"1,000–10,000",10176690
5,5652,2.6117,"1,000–10,000",10176690
51–100,7,0.0032,"1,000–10,000",10176690
6–10,9726,4.4942,"1,000–10,000",10176690
1,51275,76.1333,"10,000–100,000",10176690
11–20,949,1.4091,"10,000–100,000",10176690
2,6265,9.3023,"10,000–100,000",10176690
21–50,101,0.15,"10,000–100,000",10176690
3,3040,4.5138,"10,000–100,000",10176690
4,1852,2.7499,"10,000–100,000",10176690
5,1275,1.8931,"10,000–100,000",10176690
51–100,4,0.0059,"10,000–100,000",10176690
6–10,2588,3.8427,"10,000–100,000",10176690
1,683522,84.4799,"100–1,000",10176690
11–20,1298,0.1604,"100–1,000",10176690
2,62701,7.7495,"100–1,000",10176690
21–50,126,0.0156,"100–1,000",10176690
3,28240,3.4903,"100–1,000",10176690
4,14566,1.8003,"100–1,000",10176690
5,8169,1.0096,"100–1,000",10176690
51–100,4,0.0005,"100–1,000",10176690
6–10,10467,1.2937,"100–1,000",10176690
>100,1,0.0001,"100–1,000",10176690
1,3390742,85.8038,1–100,10176690
11–20,1379,0.0349,1–100,10176690
2,418697,10.5953,1–100,10176690
21–50,97,0.0025,1–100,10176690
3,84023,2.1262,1–100,10176690
4,29589,0.7488,1–100,10176690
5,13326,0.3372,1–100,10176690
51–100,1,0.0,1–100,10176690
6–10,13885,0.3514,1–100,10176690
>100,1,0.0,1–100,10176690
1,8346,73.3714,">100,000",10176690
11–20,149,1.3099,">100,000",10176690
2,1297,11.4022,">100,000",10176690
21–50,71,0.6242,">100,000",10176690
3,546,4.8,">100,000",10176690
4,307,2.6989,">100,000",10176690
5,214,1.8813,">100,000",10176690
51–100,25,0.2198,">100,000",10176690
6–10,418,3.6747,">100,000",10176690
>100,2,0.0176,">100,000",10176690
1,2361936,89.4142,0–1,10370274
11–20,376,0.0142,0–1,10370274
2,212354,8.0389,0–1,10370274
21–50,21,0.0008,0–1,10370274
3,42784,1.6196,0–1,10370274
4,13781,0.5217,0–1,10370274
5,7135,0.2701,0–1,10370274
51–100,1,0.0,0–1,10370274
6–10,3179,0.1203,0–1,10370274
>100,1,0.0,0–1,10370274
1,109866,59.7611,"1,000–10,000",10370274
11–20,2197,1.195,"1,000–10,000",10370274
2,28448,15.4742,"1,000–10,000",10370274
21–50,174,0.0946,"1,000–10,000",10370274
3,16257,8.8429,"1,000–10,000",10370274
4,9747,5.3018,"1,000–10,000",10370274
5,6350,3.4541,"1,000–10,000",10370274
51–100,7,0.0038,"1,000–10,000",10370274
6–10,10796,5.8724,"1,000–10,000",10370274
1,50747,74.4615,"10,000–100,000",10370274
11–20,1063,1.5597,"10,000–100,000",10370274
2,6400,9.3908,"10,000–100,000",10370274
21–50,132,0.1937,"10,000–100,000",10370274
3,3323,4.8759,"10,000–100,000",10370274
4,2119,3.1092,"10,000–100,000",10370274
5,1459,2.1408,"10,000–100,000",10370274
51–100,4,0.0059,"10,000–100,000",10370274
6–10,2905,4.2625,"10,000–100,000",10370274
1,373722,74.6174,"100–1,000",10370274
11–20,1319,0.2634,"100–1,000",10370274
2,60192,12.0179,"100–1,000",10370274
21–50,130,0.026,"100–1,000",10370274
3,30447,6.0791,"100–1,000",10370274
4,15547,3.1041,"100–1,000",10370274
5,8595,1.7161,"100–1,000",10370274
51–100,8,0.0016,"100–1,000",10370274
6–10,10889,2.1741,"100–1,000",10370274
>100,2,0.0004,"100–1,000",10370274
1,3644558,86.4453,1–100,10370274
11–20,1416,0.0336,1–100,10370274
2,426206,10.1092,1–100,10370274
21–50,96,0.0023,1–100,10370274
3,86038,2.0407,1–100,10370274
