size_bucket,wallet_count,wallet_pct,wealth_bucket,block
21–50,112,0.0022,1–100,11363270
3,105566,2.0834,1–100,11363270
4,35543,0.7015,1–100,11363270
5,15114,0.2983,1–100,11363270
51–100,7,0.0001,1–100,11363270
6–10,16374,0.3232,1–100,11363270
>100,3,0.0001,1–100,11363270
1,24121,71.5927,">100,000",11363270
11–20,781,2.3181,">100,000",11363270
2,3613,10.7236,">100,000",11363270
21–50,251,0.745,">100,000",11363270
3,1631,4.8409,">100,000",11363270
4,951,2.8226,">100,000",11363270
5,684,2.0302,">100,000",11363270
51–100,46,0.1365,">100,000",11363270
6–10,1597,4.74,">100,000",11363270
>100,17,0.0505,">100,000",11363270
0,1,0.0,0–1,11565019
1,2676574,90.4325,0–1,11565019
11–20,472,0.0159,0–1,11565019
2,215807,7.2914,0–1,11565019
21–50,34,0.0011,0–1,11565019
3,42942,1.4509,0–1,11565019
4,13554,0.4579,0–1,11565019
5,7041,0.2379,0–1,11565019
51–100,14,0.0005,0–1,11565019
6–10,3307,0.1117,0–1,11565019
>100,1,0.0,0–1,11565019
1,224959,58.7324,"1,000–10,000",11565019
11–20,7313,1.9093,"1,000–10,000",11565019
2,56355,14.7132,"1,000–10,000",11565019
21–50,1040,0.2715,"1,000–10,000",11565019
3,32629,8.5188,"1,000–10,000",11565019
4,20230,5.2817,"1,000–10,000",11565019
5,13881,3.6241,"1,000–10,000",11565019
51–100,50,0.0131,"1,000–10,000",11565019
6–10,26563,6.9351,"1,000–10,000",11565019
>100,4,0.001,"1,000–10,000",11565019
1,101077,69.5442,"10,000–100,000",11565019
11–20,4368,3.0053,"10,000–100,000",11565019
2,13853,9.5313,"10,000–100,000",11565019
21–50,1049,0.7217,"10,000–100,000",11565019
3,7585,5.2187,"10,000–100,000",11565019
4,4931,3.3927,"10,000–100,000",11565019
5,3658,2.5168,"10,000–100,000",11565019
51–100,64,0.044,"10,000–100,000",11565019
6–10,8750,6.0203,"10,000–100,000",11565019
>100,7,0.0048,"10,000–100,000",11565019
1,647813,73.6998,"100–1,000",11565019
11–20,2629,0.2991,"100–1,000",11565019
2,118348,13.4641,"100–1,000",11565019
21–50,249,0.0283,"100–1,000",11565019
3,52381,5.9592,"100–1,000",11565019
4,25618,2.9145,"100–1,000",11565019
5,13678,1.5561,"100–1,000",11565019
51–100,7,0.0008,"100–1,000",11565019
6–10,18263,2.0777,"100–1,000",11565019
>100,3,0.0003,"100–1,000",11565019
1,4751693,86.476,1–100,11565019
11–20,1769,0.0322,1–100,11565019
2,556526,10.1282,1–100,11565019
21–50,135,0.0025,1–100,11565019
3,113517,2.0659,1–100,11565019
4,37681,0.6858,1–100,11565019
5,16104,0.2931,1–100,11565019
51–100,10,0.0002,1–100,11565019
6–10,17375,0.3162,1–100,11565019
>100,4,0.0001,1–100,11565019
1,32458,75.4101,">100,000",11565019
11–20,865,2.0097,">100,000",11565019
2,4165,9.6766,">100,000",11565019
21–50,300,0.697,">100,000",11565019
3,1721,3.9984,">100,000",11565019
4,1014,2.3558,">100,000",11565019
5,715,1.6612,">100,000",11565019
51–100,59,0.1371,">100,000",11565019
6–10,1724,4.0054,">100,000",11565019
>100,21,0.0488,">100,000",11565019
0,1,0.0,0–1,11766939
1,2824177,90.7878,0–1,11766939
11–20,528,0.017,0–1,11766939
2,220155,7.0772,0–1,11766939
21–50,46,0.0015,0–1,11766939
3,42450,1.3646,0–1,11766939
4,13190,0.424,0–1,11766939
5,6845,0.22,0–1,11766939
51–100,15,0.0005,0–1,11766939
6–10,3334,0.1072,0–1,11766939
>100,3,0.0001,0–1,11766939
1,281588,56.8152,"1,000–10,000",11766939
11–20,7116,1.4358,"1,000–10,000",11766939
2,83471,16.8417,"1,000–10,000",11766939
21–50,866,0.1747,"1,000–10,000",11766939
3,46407,9.3634,"1,000–10,000",11766939
4,27772,5.6035,"1,000–10,000",11766939
5,17652,3.5616,"1,000–10,000",11766939
51–100,41,0.0083,"1,000–10,000",11766939
6–10,30707,6.1957,"1,000–10,000",11766939
>100,1,0.0002,"1,000–10,000",11766939
1,119779,61.004,"10,000–100,000",11766939
11–20,8027,4.0882,"10,000–100,000",11766939
2,21159,10.7764,"10,000–100,000",11766939
21–50,1817,0.9254,"10,000–100,000",11766939
3,12782,6.5099,"10,000–100,000",11766939
4,8881,4.5231,"10,000–100,000",11766939
5,6765,3.4454,"10,000–100,000",11766939
51–100,96,0.0489,"10,000–100,000",11766939
6–10,17023,8.6699,"10,000–100,000",11766939
>100,17,0.0087,"10,000–100,000",11766939
1,810612,75.5239,"100–1,000",11766939
11–20,2103,0.1959,"100–1,000",11766939
2,145191,13.5273,"100–1,000",11766939
21–50,180,0.0168,"100–1,000",11766939
3,58676,5.4668,"100–1,000",11766939
4,26729,2.4903,"100–1,000",11766939
5,13461,1.2541,"100–1,000",11766939
51–100,2,0.0002,"100–1,000",11766939
6–10,16359,1.5242,"100–1,000",11766939
>100,6,0.0006,"100–1,000",11766939
1,4757150,87.0292,1–100,11766939
11–20,1544,0.0282,1–100,11766939
2,539401,9.868,1–100,11766939
21–50,128,0.0023,1–100,11766939
3,105226,1.925,1–100,11766939
4,33627,0.6152,1–100,11766939
5,14197,0.2597,1–100,11766939
51–100,10,0.0002,1–100,11766939
6–10,14867,0.272,1–100,11766939
>100,1,0.0,1–100,11766939
1,32123,64.9461,">100,000",11766939
11–20,1771,3.5806,">100,000",11766939
2,5944,12.0175,">100,000",11766939
21–50,629,1.2717,">100,000",11766939
3,2787,5.6347,">100,000",11766939
4,1799,3.6372,">100,000",11766939
5,1229,2.4848,">100,000",11766939
51–100,81,0.1638,">100,000",11766939
6–10,3069,6.2049,">100,000",11766939
>100,29,0.0586,">100,000",11766939
0,1,0.0,0–1,11948960
1,2815815,91.2261,0–1,11948960
11–20,554,0.0179,0–1,11948960
2,208222,6.7459,0–1,11948960
21–50,63,0.002,0–1,11948960
3,39525,1.2805,0–1,11948960
4,12496,0.4048,0–1,11948960
5,6654,0.2156,0–1,11948960
51–100,17,0.0006,0–1,11948960
6–10,3278,0.1062,0–1,11948960
>100,7,0.0002,0–1,11948960
1,406418,58.3678,"1,000–10,000",11948960
11–20,7911,1.1361,"1,000–10,000",11948960
2,121485,17.4471,"1,000–10,000",11948960
21–50,865,0.1242,"1,000–10,000",11948960
3,63719,9.151,"1,000–10,000",11948960
4,36281,5.2105,"1,000–10,000",11948960
5,22567,3.241,"1,000–10,000",11948960
51–100,26,0.0037,"1,000–10,000",11948960
6–10,37031,5.3182,"1,000–10,000",11948960
>100,2,0.0003,"1,000–10,000",11948960
1,127935,53.5728,"10,000–100,000",11948960
11–20,11484,4.8089,"10,000–100,000",11948960
2,29693,12.4339,"10,000–100,000",11948960
21–50,2835,1.1872,"10,000–100,000",11948960
3,18609,7.7925,"10,000–100,000",11948960
4,13308,5.5727,"10,000–100,000",11948960
5,9958,4.1699,"10,000–100,000",11948960
51–100,149,0.0624,"10,000–100,000",11948960
6–10,24820,10.3934,"10,000–100,000",11948960
>100,15,0.0063,"10,000–100,000",11948960
1,1060365,77.5537,"100–1,000",11948960
11–20,1884,0.1378,"100–1,000",11948960
2,180409,13.1949,"100–1,000",11948960
21–50,180,0.0132,"100–1,000",11948960
3,66203,4.842,"100–1,000",11948960
4,28515,2.0856,"100–1,000",11948960
5,13691,1.0013,"100–1,000",11948960
51–100,5,0.0004,"100–1,000",11948960
6–10,16006,1.1707,"100–1,000",11948960
>100,7,0.0005,"100–1,000",11948960
1,4910631,87.3491,1–100,11948960
11–20,1403,0.025,1–100,11948960
2,546698,9.7245,1–100,11948960
21–50,118,0.0021,1–100,11948960
3,103771,1.8459,1–100,11948960
4,32202,0.5728,1–100,11948960
5,13326,0.237,1–100,11948960
51–100,12,0.0002,1–100,11948960
6–10,13685,0.2434,1–100,11948960
>100,1,0.0,1–100,11948960
1,47886,67.0391,">100,000",11948960
11–20,2594,3.6315,">100,000",11948960
2,7654,10.7154,">100,000",11948960
21–50,1062,1.4868,">100,000",11948960
3,3648,5.1071,">100,000",11948960
4,2392,3.3487,">100,000",11948960
5,1701,2.3814,">100,000",11948960
51–100,131,0.1834,">100,000",11948960
6–10,4328,6.0591,">100,000",11948960
>100,34,0.0476,">100,000",11948960
0,1,0.0,0–1,12150245
1,2620035,93.1689,0–1,12150245
11–20,537,0.0191,0–1,12150245
2,134765,4.7923,0–1,12150245
21–50,58,0.0021,0–1,12150245
3,36610,1.3019,0–1,12150245
4,11289,0.4014,0–1,12150245
5,5944,0.2114,0–1,12150245
51–100,18,0.0006,0–1,12150245
6–10,2865,0.1019,0–1,12150245
>100,13,0.0005,0–1,12150245
1,540192,59.7824,"1,000–10,000",12150245
11–20,7240,0.8012,"1,000–10,000",12150245
2,163584,18.1036,"1,000–10,000",12150245
21–50,729,0.0807,"1,000–10,000",12150245
3,81322,8.9998,"1,000–10,000",12150245
4,44299,4.9025,"1,000–10,000",12150245
5,26079,2.8861,"1,000–10,000",12150245
51–100,26,0.0029,"1,000–10,000",12150245
6–10,40122,4.4403,"1,000–10,000",12150245
>100,4,0.0004,"1,000–10,000",12150245
1,165734,50.4257,"10,000–100,000",12150245
11–20,15184,4.6198,"10,000–100,000",12150245
2,45009,13.6943,"10,000–100,000",12150245
21–50,3520,1.071,"10,000–100,000",12150245
3,29134,8.8642,"10,000–100,000",12150245
4,19902,6.0553,"10,000–100,000",12150245
5,14916,4.5383,"10,000–100,000",12150245
51–100,154,0.0469,"10,000–100,000",12150245
6–10,35095,10.6779,"10,000–100,000",12150245
>100,22,0.0067,"10,000–100,000",12150245
1,1266519,77.5975,"100–1,000",12150245
11–20,2002,0.1227,"100–1,000",12150245
2,224857,13.7766,"100–1,000",12150245
21–50,159,0.0097,"100–1,000",12150245
3,76816,4.7064,"100–1,000",12150245
4,30647,1.8777,"100–1,000",12150245
5,14690,0.9,"100–1,000",12150245
51–100,9,0.0006,"100–1,000",12150245
6–10,16460,1.0085,"100–1,000",12150245
>100,5,0.0003,"100–1,000",12150245
1,5226830,87.6595,1–100,12150245
11–20,976,0.0164,1–100,12150245
2,592876,9.9432,1–100,12150245
21–50,115,0.0019,1–100,12150245
3,91854,1.5405,1–100,12150245
4,28143,0.472,1–100,12150245
5,11351,0.1904,1–100,12150245
51–100,11,0.0002,1–100,12150245
6–10,10489,0.1759,1–100,12150245
>100,3,0.0001,1–100,12150245
1,56788,62.1837,">100,000",12150245
11–20,4223,4.6242,">100,000",12150245
2,10553,11.5557,">100,000",12150245
21–50,1852,2.028,">100,000",12150245
3,5171,5.6623,">100,000",12150245
4,3446,3.7734,">100,000",12150245
5,2482,2.7178,">100,000",12150245
51–100,219,0.2398,">100,000",12150245
6–10,6538,7.1592,">100,000",12150245
>100,51,0.0558,">100,000",12150245
0,1,0.0,0–1,12344945
1,2702479,93.0983,0–1,12344945
11–20,569,0.0196,0–1,12344945
2,140876,4.8531,0–1,12344945
21–50,73,0.0025,0–1,12344945
3,37731,1.2998,0–1,12344945
4,11793,0.4063,0–1,12344945
5,6172,0.2126,0–1,12344945
51–100,20,0.0007,0–1,12344945
6–10,3093,0.1066,0–1,12344945
>100,17,0.0006,0–1,12344945
1,642955,61.5554,"1,000–10,000",12344945
11–20,8477,0.8116,"1,000–10,000",12344945
2,181373,17.3643,"1,000–10,000",12344945
21–50,880,0.0842,"1,000–10,000",12344945
3,88254,8.4493,"1,000–10,000",12344945
4,48371,4.631,"1,000–10,000",12344945
5,28998,2.7762,"1,000–10,000",12344945
51–100,27,0.0026,"1,000–10,000",12344945
6–10,45170,4.3245,"1,000–10,000",12344945
>100,9,0.0009,"1,000–10,000",12344945
1,187698,51.3587,"10,000–100,000",12344945
11–20,16687,4.566,"10,000–100,000",12344945
2,51375,14.0574,"10,000–100,000",12344945
21–50,4018,1.0994,"10,000–100,000",12344945
3,31382,8.5869,"10,000–100,000",12344945
4,21160,5.7899,"10,000–100,000",12344945
5,15632,4.2773,"10,000–100,000",12344945
51–100,208,0.0569,"10,000–100,000",12344945
6–10,37279,10.2004,"10,000–100,000",12344945
>100,26,0.0071,"10,000–100,000",12344945
1,1601043,78.1296,"100–1,000",12344945
11–20,2109,0.1029,"100–1,000",12344945
2,284159,13.8667,"100–1,000",12344945
21–50,207,0.0101,"100–1,000",12344945
3,92898,4.5333,"100–1,000",12344945
4,35401,1.7275,"100–1,000",12344945
5,15997,0.7806,"100–1,000",12344945
51–100,7,0.0003,"100–1,000",12344945
6–10,17386,0.8484,"100–1,000",12344945
>100,8,0.0004,"100–1,000",12344945
1,5381167,88.2834,1–100,12344945
11–20,1097,0.018,1–100,12344945
2,576827,9.4634,1–100,12344945
21–50,130,0.0021,1–100,12344945
3,86376,1.4171,1–100,12344945
4,26952,0.4422,1–100,12344945
5,11488,0.1885,1–100,12344945
51–100,13,0.0002,1–100,12344945
6–10,11281,0.1851,1–100,12344945
>100,4,0.0001,1–100,12344945
1,64647,63.2498,">100,000",12344945
11–20,4237,4.1454,">100,000",12344945
2,11899,11.6418,">100,000",12344945
21–50,1970,1.9274,">100,000",12344945
3,5745,5.6208,">100,000",12344945
4,3755,3.6738,">100,000",12344945
5,2660,2.6025,">100,000",12344945
51–100,241,0.2358,">100,000",12344945
6–10,6993,6.8419,">100,000",12344945
>100,62,0.0607,">100,000",12344945
0,1,0.0,0–1,12545219
1,3028142,91.5596,0–1,12545219
11–20,622,0.0188,0–1,12545219
2,212881,6.4367,0–1,12545219
21–50,85,0.0026,0–1,12545219
3,41694,1.2607,0–1,12545219
4,13189,0.3988,0–1,12545219
5,6953,0.2102,0–1,12545219
51–100,26,0.0008,0–1,12545219
6–10,3675,0.1111,0–1,12545219
>100,21,0.0006,0–1,12545219
1,628574,60.5336,"1,000–10,000",12545219
11–20,12441,1.1981,"1,000–10,000",12545219
2,176629,17.0099,"1,000–10,000",12545219
21–50,1634,0.1574,"1,000–10,000",12545219
3,86802,8.3593,"1,000–10,000",12545219
4,49058,4.7244,"1,000–10,000",12545219
5,30631,2.9499,"1,000–10,000",12545219
51–100,52,0.005,"1,000–10,000",12545219
6–10,52562,5.0619,"1,000–10,000",12545219
>100,5,0.0005,"1,000–10,000",12545219
1,176560,54.338,"10,000–100,000",12545219
11–20,14222,4.377,"10,000–100,000",12545219
2,45511,14.0064,"10,000–100,000",12545219
21–50,4259,1.3107,"10,000–100,000",12545219
3,25950,7.9864,"10,000–100,000",12545219
4,16957,5.2187,"10,000–100,000",12545219
5,12095,3.7224,"10,000–100,000",12545219
51–100,247,0.076,"10,000–100,000",12545219
6–10,29097,8.9549,"10,000–100,000",12545219
>100,31,0.0095,"10,000–100,000",12545219
1,1777237,78.1624,"100–1,000",12545219
11–20,2670,0.1174,"100–1,000",12545219
2,304834,13.4065,"100–1,000",12545219
21–50,330,0.0145,"100–1,000",12545219
3,103253,4.541,"100–1,000",12545219
4,42768,1.8809,"100–1,000",12545219
5,20113,0.8846,"100–1,000",12545219
51–100,11,0.0005,"100–1,000",12545219
6–10,22548,0.9917,"100–1,000",12545219
>100,10,0.0004,"100–1,000",12545219
1,5575709,88.0989,1–100,12545219
11–20,1528,0.0241,1–100,12545219
2,586106,9.2608,1–100,12545219
21–50,163,0.0026,1–100,12545219
3,105124,1.661,1–100,12545219
4,32580,0.5148,1–100,12545219
5,13719,0.2168,1–100,12545219
51–100,19,0.0003,1–100,12545219
6–10,13967,0.2207,1–100,12545219
>100,6,0.0001,1–100,12545219
1,58334,64.2417,">100,000",12545219
11–20,3097,3.4106,">100,000",12545219
2,11551,12.7208,">100,000",12545219
21–50,1382,1.522,">100,000",12545219
3,5346,5.8874,">100,000",12545219
4,3204,3.5285,">100,000",12545219
5,2160,2.3787,">100,000",12545219
51–100,201,0.2214,">100,000",12545219
6–10,5455,6.0074,">100,000",12545219
>100,74,0.0815,">100,000",12545219
0,1,0.0,0–1,12738509
1,3046623,91.0942,0–1,12738509
11–20,631,0.0189,0–1,12738509
2,226308,6.7666,0–1,12738509
21–50,101,0.003,0–1,12738509
3,45221,1.3521,0–1,12738509
4,14227,0.4254,0–1,12738509
5,7349,0.2197,0–1,12738509
51–100,28,0.0008,0–1,12738509
6–10,3963,0.1185,0–1,12738509
>100,23,0.0007,0–1,12738509
1,590639,59.8625,"1,000–10,000",12738509
11–20,14548,1.4745,"1,000–10,000",12738509
2,164474,16.6698,"1,000–10,000",12738509
21–50,2204,0.2234,"1,000–10,000",12738509
3,82866,8.3986,"1,000–10,000",12738509
4,47253,4.7892,"1,000–10,000",12738509
5,30044,3.045,"1,000–10,000",12738509
51–100,75,0.0076,"1,000–10,000",12738509
6–10,54545,5.5282,"1,000–10,000",12738509
>100,12,0.0012,"1,000–10,000",12738509
1,150355,55.3777,"10,000–100,000",12738509
11–20,11934,4.3955,"10,000–100,000",12738509
2,37463,13.7981,"10,000–100,000",12738509
21–50,3912,1.4408,"10,000–100,000",12738509
3,20863,7.6841,"10,000–100,000",12738509
4,13594,5.0069,"10,000–100,000",12738509
5,9704,3.5741,"10,000–100,000",12738509
51–100,251,0.0924,"10,000–100,000",12738509
6–10,23394,8.6163,"10,000–100,000",12738509
>100,38,0.014,"10,000–100,000",12738509
1,1784632,77.1136,"100–1,000",12738509
11–20,3450,0.1491,"100–1,000",12738509
2,315942,13.6518,"100–1,000",12738509
21–50,420,0.0181,"100–1,000",12738509
3,110692,4.783,"100–1,000",12738509
4,48101,2.0784,"100–1,000",12738509
5,23417,1.0118,"100–1,000",12738509
51–100,12,0.0005,"100–1,000",12738509
6–10,27614,1.1932,"100–1,000",12738509
>100,11,0.0005,"100–1,000",12738509
1,5742992,87.6409,1–100,12738509
11–20,1893,0.0289,1–100,12738509
2,622904,9.5058,1–100,12738509
21–50,207,0.0032,1–100,12738509
3,116532,1.7783,1–100,12738509
4,36723,0.5604,1–100,12738509
5,15538,0.2371,1–100,12738509
51–100,23,0.0004,1–100,12738509
6–10,16047,0.2449,1–100,12738509
>100,11,0.0002,1–100,12738509
1,53914,65.2214,">100,000",12738509
11–20,2485,3.0062,">100,000",12738509
2,10740,12.9925,">100,000",12738509
21–50,1107,1.3392,">100,000",12738509
3,4804,5.8115,">100,000",12738509
4,2900,3.5082,">100,000",12738509
5,1905,2.3045,">100,000",12738509
51–100,173,0.2093,">100,000",12738509
6–10,4559,5.5152,">100,000",12738509
>100,76,0.0919,">100,000",12738509
0,1,0.0,0–1,12936340
1,3130707,91.1783,0–1,12936340
11–20,660,0.0192,0–1,12936340
2,230220,6.7049,0–1,12936340
21–50,109,0.0032,0–1,12936340
3,46258,1.3472,0–1,12936340
4,14241,0.4148,0–1,12936340
5,7353,0.2141,0–1,12936340
51–100,31,0.0009,0–1,12936340
6–10,4004,0.1166,0–1,12936340
>100,24,0.0007,0–1,12936340
1,589832,58.4179,"1,000–10,000",12936340
11–20,14760,1.4619,"1,000–10,000",12936340
2,174456,17.2784,"1,000–10,000",12936340
21–50,2146,0.2125,"1,000–10,000",12936340
3,88601,8.7752,"1,000–10,000",12936340
4,50749,5.0263,"1,000–10,000",12936340
5,32088,3.178,"1,000–10,000",12936340
51–100,73,0.0072,"1,000–10,000",12936340
6–10,56957,5.6411,"1,000–10,000",12936340
>100,14,0.0014,"1,000–10,000",12936340
1,136763,50.6078,"10,000–100,000",12936340
11–20,13202,4.8853,"10,000–100,000",12936340
2,40118,14.8453,"10,000–100,000",12936340
21–50,4289,1.5871,"10,000–100,000",12936340
3,23162,8.5709,"10,000–100,000",12936340
4,15169,5.6131,"10,000–100,000",12936340
5,10848,4.0142,"10,000–100,000",12936340
51–100,279,0.1032,"10,000–100,000",12936340
6–10,26367,9.7568,"10,000–100,000",12936340
>100,44,0.0163,"10,000–100,000",12936340
1,1915661,77.2381,"100–1,000",12936340
11–20,3502,0.1412,"100–1,000",12936340
2,342861,13.8239,"100–1,000",12936340
21–50,443,0.0179,"100–1,000",12936340
3,117606,4.7418,"100–1,000",12936340
4,49158,1.982,"100–1,000",12936340
5,23400,0.9435,"100–1,000",12936340
51–100,14,0.0006,"100–1,000",12936340
6–10,27546,1.1106,"100–1,000",12936340
>100,12,0.0005,"100–1,000",12936340
1,5950739,87.7748,1–100,12936340
11–20,1943,0.0287,1–100,12936340
2,638031,9.4111,1–100,12936340
21–50,205,0.003,1–100,12936340
3,118602,1.7494,1–100,12936340
4,37855,0.5584,1–100,12936340
5,15832,0.2335,1–100,12936340
51–100,28,0.0004,1–100,12936340
6–10,16306,0.2405,1–100,12936340
>100,12,0.0002,1–100,12936340
1,63968,66.2819,">100,000",12936340
11–20,2982,3.0899,">100,000",12936340
2,11793,12.2196,">100,000",12936340
21–50,1288,1.3346,">100,000",12936340
3,5610,5.8129,">100,000",12936340
4,3233,3.3499,">100,000",12936340
5,2156,2.234,">100,000",12936340
51–100,196,0.2031,">100,000",12936340
6–10,5205,5.3933,">100,000",12936340
>100,78,0.0808,">100,000",12936340
0,207,0.006,0–1,13136427
1,3153047,91.2667,0–1,13136427
11–20,673,0.0195,0–1,13136427
2,229474,6.6423,0–1,13136427
21–50,111,0.0032,0–1,13136427
3,45796,1.3256,0–1,13136427
4,14055,0.4068,0–1,13136427
5,7333,0.2123,0–1,13136427
51–100,28,0.0008,0–1,13136427
6–10,4014,0.1162,0–1,13136427
>100,25,0.0007,0–1,13136427
1,696091,59.161,"1,000–10,000",13136427
11–20,13327,1.1327,"1,000–10,000",13136427
2,212003,18.0182,"1,000–10,000",13136427
21–50,1849,0.1571,"1,000–10,000",13136427
3,102978,8.7521,"1,000–10,000",13136427
4,56776,4.8254,"1,000–10,000",13136427
5,34852,2.9621,"1,000–10,000",13136427
51–100,77,0.0065,"1,000–10,000",13136427
6–10,58635,4.9834,"1,000–10,000",13136427
>100,17,0.0014,"1,000–10,000",13136427
1,192688,52.7295,"10,000–100,000",13136427
11–20,16203,4.434,"10,000–100,000",13136427
2,52743,14.4333,"10,000–100,000",13136427
21–50,4729,1.2941,"10,000–100,000",13136427
3,30588,8.3705,"10,000–100,000",13136427
4,20055,5.4881,"10,000–100,000",13136427
5,14320,3.9187,"10,000–100,000",13136427
51–100,285,0.078,"10,000–100,000",13136427
6–10,33774,9.2423,"10,000–100,000",13136427
>100,42,0.0115,"10,000–100,000",13136427
1,2166999,78.7076,"100–1,000",13136427
11–20,3160,0.1148,"100–1,000",13136427
2,367502,13.348,"100–1,000",13136427
21–50,366,0.0133,"100–1,000",13136427
3,120213,4.3663,"100–1,000",13136427
4,47969,1.7423,"100–1,000",13136427
5,21910,0.7958,"100–1,000",13136427
51–100,17,0.0006,"100–1,000",13136427
6–10,25079,0.9109,"100–1,000",13136427
>100,12,0.0004,"100–1,000",13136427
1,6028011,88.2448,1–100,13136427
11–20,1765,0.0258,1–100,13136427
2,623512,9.1277,1–100,13136427
21–50,223,0.0033,1–100,13136427
3,111962,1.639,1–100,13136427
4,35497,0.5196,1–100,13136427
5,14732,0.2157,1–100,13136427
51–100,31,0.0005,1–100,13136427
6–10,15265,0.2235,1–100,13136427
>100,11,0.0002,1–100,13136427
1,70756,63.3027,">100,000",13136427
11–20,4064,3.6359,">100,000",13136427
2,14065,12.5834,">100,000",13136427
21–50,1797,1.6077,">100,000",13136427
3,6979,6.2438,">100,000",13136427
4,4038,3.6126,">100,000",13136427
5,2787,2.4934,">100,000",13136427
51–100,244,0.2183,">100,000",13136427
6–10,6939,6.2081,">100,000",13136427
>100,105,0.0939,">100,000",13136427
0,207,0.0059,0–1,13330090
1,3249992,92.6417,0–1,13330090
11–20,735,0.021,0–1,13330090
2,182937,5.2147,0–1,13330090
21–50,120,0.0034,0–1,13330090
3,47633,1.3578,0–1,13330090
4,14660,0.4179,0–1,13330090
5,7555,0.2154,0–1,13330090
51–100,30,0.0009,0–1,13330090
6–10,4236,0.1207,0–1,13330090
>100,27,0.0008,0–1,13330090
1,714703,59.4382,"1,000–10,000",13330090
11–20,14539,1.2091,"1,000–10,000",13330090
2,214964,17.8774,"1,000–10,000",13330090
21–50,2154,0.1791,"1,000–10,000",13330090
3,103611,8.6168,"1,000–10,000",13330090
4,56974,4.7382,"1,000–10,000",13330090
5,34937,2.9055,"1,000–10,000",13330090
51–100,86,0.0072,"1,000–10,000",13330090
6–10,60441,5.0266,"1,000–10,000",13330090
>100,22,0.0018,"1,000–10,000",13330090
1,191009,53.7329,"10,000–100,000",13330090
11–20,15472,4.3524,"10,000–100,000",13330090
2,50789,14.2875,"10,000–100,000",13330090
21–50,4684,1.3177,"10,000–100,000",13330090
3,29049,8.1718,"10,000–100,000",13330090
4,19094,5.3713,"10,000–100,000",13330090
5,13452,3.7842,"10,000–100,000",13330090
51–100,296,0.0833,"10,000–100,000",13330090
6–10,31590,8.8866,"10,000–100,000",13330090
>100,44,0.0124,"10,000–100,000",13330090
1,2281494,78.7783,"100–1,000",13330090
11–20,3668,0.1267,"100–1,000",13330090
2,381671,13.1788,"100–1,000",13330090
21–50,408,0.0141,"100–1,000",13330090
3,125300,4.3265,"100–1,000",13330090
4,51183,1.7673,"100–1,000",13330090
5,24042,0.8302,"100–1,000",13330090
51–100,13,0.0004,"100–1,000",13330090
6–10,28300,0.9772,"100–1,000",13330090
>100,15,0.0005,"100–1,000",13330090
1,6194020,87.3078,1–100,13330090
11–20,1959,0.0276,1–100,13330090
2,706572,9.9595,1–100,13330090
21–50,244,0.0034,1–100,13330090
3,120494,1.6984,1–100,13330090
4,38481,0.5424,1–100,13330090
5,16054,0.2263,1–100,13330090
51–100,34,0.0005,1–100,13330090
6–10,16597,0.2339,1–100,13330090
>100,9,0.0001,1–100,13330090
1,71330,63.4767,">100,000",13330090
11–20,3834,3.4119,">100,000",13330090
2,14645,13.0326,">100,000",13330090
21–50,1753,1.56,">100,000",13330090
3,6920,6.1581,">100,000",13330090
4,4059,3.6121,">100,000",13330090
5,2754,2.4508,">100,000",13330090
51–100,244,0.2171,">100,000",13330090
6–10,6715,5.9757,">100,000",13330090
>100,118,0.105,">100,000",13330090
0,207,0.0057,0–1,13527859
1,3378257,93.1416,0–1,13527859
11–20,710,0.0196,0–1,13527859
2,175635,4.8424,0–1,13527859
21–50,118,0.0033,0–1,13527859
3,45792,1.2625,0–1,13527859
4,14061,0.3877,0–1,13527859
5,7424,0.2047,0–1,13527859
51–100,30,0.0008,0–1,13527859
6–10,4751,0.131,0–1,13527859
>100,28,0.0008,0–1,13527859
1,1015364,63.5101,"1,000–10,000",13527859
11–20,12710,0.795,"1,000–10,000",13527859
2,283705,17.7455,"1,000–10,000",13527859
21–50,1708,0.1068,"1,000–10,000",13527859
3,123957,7.7534,"1,000–10,000",13527859
4,64048,4.0061,"1,000–10,000",13527859
5,37465,2.3434,"1,000–10,000",13527859
51–100,68,0.0043,"1,000–10,000",13527859
6–10,59708,3.7347,"1,000–10,000",13527859
>100,11,0.0007,"1,000–10,000",13527859
1,252825,53.2481,"10,000–100,000",13527859
11–20,17747,3.7377,"10,000–100,000",13527859
2,75405,15.8812,"10,000–100,000",13527859
21–50,4885,1.0288,"10,000–100,000",13527859
3,40891,8.6121,"10,000–100,000",13527859
4,25588,5.3891,"10,000–100,000",13527859
5,17516,3.6891,"10,000–100,000",13527859
51–100,274,0.0577,"10,000–100,000",13527859
6–10,39626,8.3457,"10,000–100,000",13527859
>100,49,0.0103,"10,000–100,000",13527859
1,2603571,80.5605,"100–1,000",13527859
11–20,3288,0.1017,"100–1,000",13527859
2,406467,12.577,"100–1,000",13527859
21–50,372,0.0115,"100–1,000",13527859
3,124494,3.8521,"100–1,000",13527859
4,47402,1.4667,"100–1,000",13527859
5,21490,0.6649,"100–1,000",13527859
51–100,18,0.0006,"100–1,000",13527859
6–10,24703,0.7644,"100–1,000",13527859
>100,17,0.0005,"100–1,000",13527859
1,6077513,87.8549,1–100,13527859
11–20,2007,0.029,1–100,13527859
