block_number,date,optimisation,wealth_group,token_group,mean_dist,median_dist,std_dist
9193266,2020-01-01 00:00:00,better_return,$0-1,all,24.972361433148173,1.6942715258538854e-06,32.05846385265031
9193266,2020-01-01 00:00:00,better_return,$0-1,gte5,71.50597248929687,83.47779380055772,24.779070973275527
9193266,2020-01-01 00:00:00,better_return,$0-1,lt5,22.853594724309705,6.681580150269539e-07,30.71648904502311
9193266,2020-01-01 00:00:00,better_return,$1-100,all,47.58814415172451,63.75000724644239,34.85361328889538
9193266,2020-01-01 00:00:00,better_return,$1-100,gte5,55.04367019632707,55.20233803941035,27.689852557972138
9193266,2020-01-01 00:00:00,better_return,$1-100,lt5,47.16053447812414,64.90702369652713,35.17247119367449
9193266,2020-01-01 00:00:00,better_return,$100-1K,all,48.579190231426125,54.92616542149265,32.08267379083043
9193266,2020-01-01 00:00:00,better_return,$100-1K,gte5,61.483066758507576,63.75244921115796,26.104984790095404
9193266,2020-01-01 00:00:00,better_return,$100-1K,lt5,45.181749227046,51.723061090151546,32.64207382740426
9193266,2020-01-01 00:00:00,better_return,$10K+,all,51.66921014447421,58.96125735002222,33.32175116480288
9193266,2020-01-01 00:00:00,better_return,$10K+,gte5,70.04724691763961,77.64103753743106,26.68719807376465
9193266,2020-01-01 00:00:00,better_return,$10K+,lt5,43.72735476702105,47.564995867518654,32.763991475671155
9193266,2020-01-01 00:00:00,better_return,$1K-10K,all,52.91515651905764,61.08480191432268,32.045658538133914
9193266,2020-01-01 00:00:00,better_return,$1K-10K,gte5,66.7038295152357,70.3372962535634,25.35456436721104
9193266,2020-01-01 00:00:00,better_return,$1K-10K,lt5,46.640667592462286,52.535948742399924,32.799985295915874
9193266,2020-01-01 00:00:00,better_return,OVERALL,all,41.17313280215303,43.207972327805436,35.2991259472563
9193266,2020-01-01 00:00:00,better_return,OVERALL,gte5,61.720422261826954,65.58965137298846,27.17559065632647
9193266,2020-01-01 00:00:00,better_return,OVERALL,lt5,39.444376048286074,38.824903105058716,35.35844207658677
9193266,2020-01-01 00:00:00,max_sharpe,$0-1,all,50.134666113077365,49.2944311164811,30.04497855438527
9193266,2020-01-01 00:00:00,max_sharpe,$0-1,gte5,85.33067070076805,91.73970804953852,18.460337413604247
9193266,2020-01-01 00:00:00,max_sharpe,$0-1,lt5,48.53212289513231,46.83875868037754,29.484163025715066
9193266,2020-01-01 00:00:00,max_sharpe,$1-100,all,28.683687801851875,2.5081588070283036,34.88203089252149
9193266,2020-01-01 00:00:00,max_sharpe,$1-100,gte5,76.14437822027699,85.41136251663498,23.657528576929984
9193266,2020-01-01 00:00:00,max_sharpe,$1-100,lt5,25.961592779012904,1.3322676295501878e-13,33.43413308919275
9193266,2020-01-01 00:00:00,max_sharpe,$100-1K,all,60.30802583082048,80.0,35.01964422561347
9193266,2020-01-01 00:00:00,max_sharpe,$100-1K,gte5,79.62263547226286,88.77955316721636,22.802424068383974
9193266,2020-01-01 00:00:00,max_sharpe,$100-1K,lt5,55.222713162048876,79.99999999999994,35.89284724916697
9193266,2020-01-01 00:00:00,max_sharpe,$10K+,all,64.30125999223505,80.00000000000001,35.96214957274912
9193266,2020-01-01 00:00:00,max_sharpe,$10K+,gte5,83.11934687306348,90.25392181882334,24.766562226740795
9193266,2020-01-01 00:00:00,max_sharpe,$10K+,lt5,56.16924206602718,80.0,36.98713733333538
9193266,2020-01-01 00:00:00,max_sharpe,$1K-10K,all,66.39070951822045,80.00000000000001,33.38448293461023
9193266,2020-01-01 00:00:00,max_sharpe,$1K-10K,gte5,82.61187042727079,89.86061169472177,21.484797185028324
9193266,2020-01-01 00:00:00,max_sharpe,$1K-10K,lt5,59.00932520889864,80.0,35.1773044314078
9193266,2020-01-01 00:00:00,max_sharpe,OVERALL,all,39.8224463927761,34.04791081027901,35.96979823251666
9193266,2020-01-01 00:00:00,max_sharpe,OVERALL,gte5,79.78513862285266,88.77492519381241,22.628619609125423
9193266,2020-01-01 00:00:00,max_sharpe,OVERALL,lt5,36.46016475309514,34.04791081027901,34.84151172251088
9193266,2020-01-01 00:00:00,safer_risk,$0-1,all,7.29228390257292,6.71826150266952e-08,15.67939041599459
9193266,2020-01-01 00:00:00,safer_risk,$0-1,gte5,43.88368778344544,44.44650763338385,16.082136927786866
9193266,2020-01-01 00:00:00,safer_risk,$0-1,lt5,5.626205414081903,6.122484047521581e-08,13.472997168204595
9193266,2020-01-01 00:00:00,safer_risk,$1-100,all,7.337892981423807,6.04387956348873e-08,16.482861508055834
9193266,2020-01-01 00:00:00,safer_risk,$1-100,gte5,42.28619822784292,41.66757000372683,19.02691518672862
9193266,2020-01-01 00:00:00,safer_risk,$1-100,lt5,5.333442415508658,3.3862121440186854e-08,13.872058331716357
9193266,2020-01-01 00:00:00,safer_risk,$100-1K,all,18.088178620241315,5.6495994143959365,21.864420038799963
9193266,2020-01-01 00:00:00,safer_risk,$100-1K,gte5,42.75789716223469,43.440827647063536,17.96347726436096
9193266,2020-01-01 00:00:00,safer_risk,$100-1K,lt5,11.59292789731441,1.359319035110218e-06,17.791491049663833
9193266,2020-01-01 00:00:00,safer_risk,$10K+,all,23.522476108247243,12.064749983140691,25.977728389177535
9193266,2020-01-01 00:00:00,safer_risk,$10K+,gte5,50.07227290837967,54.59650441889568,19.98894390248196
9193266,2020-01-01 00:00:00,safer_risk,$10K+,lt5,12.049289440381914,5.008527259597884e-07,18.909607654833597
9193266,2020-01-01 00:00:00,safer_risk,$1K-10K,all,23.977516036334297,17.74081149676132,24.46810112632363
9193266,2020-01-01 00:00:00,safer_risk,$1K-10K,gte5,47.81896107868688,50.421369099047865,18.132283762497316
9193266,2020-01-01 00:00:00,safer_risk,$1K-10K,lt5,13.128547252047568,1.635741675420346e-05,18.57840054941765
9193266,2020-01-01 00:00:00,safer_risk,OVERALL,all,9.114755708491705,7.558552256314854e-08,17.888160328262725
9193266,2020-01-01 00:00:00,safer_risk,OVERALL,gte5,43.77465155076804,44.415827706343364,18.329333081651885
9193266,2020-01-01 00:00:00,safer_risk,OVERALL,lt5,6.198627566953861,6.549144004885932e-08,14.45910525751968
9393154,2020-02-01 00:00:00,better_return,$0-1,all,24.040838594139412,7.995872972362614,28.895863513705304
9393154,2020-02-01 00:00:00,better_return,$0-1,gte5,67.63242807499739,73.83926983794994,24.42588771721092
9393154,2020-02-01 00:00:00,better_return,$0-1,lt5,22.176986396312007,7.995872972362614,27.576110794346732
9393154,2020-02-01 00:00:00,better_return,$1-100,all,44.382736534314,51.93769334944452,35.22556556003357
9393154,2020-02-01 00:00:00,better_return,$1-100,gte5,52.92683388676114,53.92920720356011,25.154349581500078
9393154,2020-02-01 00:00:00,better_return,$1-100,lt5,43.889530232202645,51.261044105327414,35.657916273484744
9393154,2020-02-01 00:00:00,better_return,$100-1K,all,39.07212629280376,39.97913214303291,32.35110089161128
9393154,2020-02-01 00:00:00,better_return,$100-1K,gte5,60.08539858723553,61.81339072975835,25.804069910366955
9393154,2020-02-01 00:00:00,better_return,$100-1K,lt5,34.296183275340276,29.728702359355086,31.780023622248674
9393154,2020-02-01 00:00:00,better_return,$10K+,all,40.41779358624148,45.33908939972,30.92934031592796
9393154,2020-02-01 00:00:00,better_return,$10K+,gte5,58.462206982884474,57.66950575591656,24.231863577558194
