block_number,block_date,n_wallets,pct_beat_market_ret_baseline,pct_positive_alpha_baseline,pct_beat_market_ret_better_return,pct_positive_alpha_better_return,pct_beat_market_ret_safer_risk,pct_positive_alpha_safer_risk,pct_beat_market_ret_max_sharpe,pct_positive_alpha_max_sharpe,pct_beat_market_ret_equal_weight,pct_positive_alpha_equal_weight,pct_beat_market_ret_mcap_weight,pct_positive_alpha_mcap_weight
9193266,2020-01-01,826497,50.098185474357436,55.08610436577507,36.29498957648969,40.01055055251259,50.412040213092126,55.62331139737954,62.225876197977726,65.30961394899195,47.73641041649274,55.20370914836956,56.23408191439291,59.69628443902397
9393154,2020-02-01,914540,36.785050407855316,41.2366872963457,26.421370306383533,35.99383296520655,36.064906947755155,41.50862728803551,26.545585758960787,28.048636472980952,27.004614341636234,38.003477157915455,34.284016636957816,39.3613200615484
9581792,2020-03-01,926317,47.23793258679264,24.150803666563387,45.73186069131842,25.743131131135456,50.25860477568694,26.104238613779085,55.901057629299686,35.291698198348946,60.021353381185925,45.6581278331284,69.84322839079942,50.918992736098744
9782602,2020-04-01,941259,15.867896083862146,16.57673392764372,13.751581658183348,14.669819890168382,15.31023873344106,16.791233868680138,15.466200057582451,16.1653699991182,14.534681740094916,15.50986497871468,16.209482667947256,16.839188596234937
9976964,2020-05-01,1006999,63.0590497110722,64.28149382472078,62.59638788121935,49.59826176590047,67.28268846344434,69.95856003829199,66.97821944212457,50.23341631918205,68.90612602395831,69.35726847792301,61.2512451527537,67.18440425610412
10176690,2020-06-01,1021033,77.45626243226222,73.34131218089914,59.78602062812857,58.11849372155454,78.37660486977404,76.30292066955721,76.72651128807786,75.404320918129,83.84038517853978,82.68978573660205,76.08833406951587,70.86519240808083
10370274,2020-07-01,1044729,46.60979067298792,49.0273554194437,44.02873855325161,47.228132845934205,47.91902971966893,51.43735839629224,43.1967524592502,47.27312058916714,50.899419849549496,53.60873489680099,48.56327782948943,51.2729685937877
10570485,2020-08-01,1071168,82.14509768775767,88.26570621975264,84.19678332437115,90.46134686622453,84.19519627173328,91.16515803310031,81.57749297962597,86.4836328195017,86.3672178407122,94.1142752584095,83.5202321204517,89.07743696600346
10771925,2020-09-01,1094957,43.91925892980272,40.475562054034995,42.73921259008345,40.184774379267864,42.300565227675605,37.74705308062325,22.790849321023565,37.507226311170214,18.771330746321546,15.647098470533546,29.746017765416827,25.89114890459997
10966874,2020-10-01,1121306,13.063695369506629,9.138451056179134,12.493289075417415,14.349874164590219,13.151271820537838,10.385300711848505,12.616270670093623,17.713006083977074,8.75398865251769,9.5162248306885,11.732295964141558,13.963014292364742
11167817,2020-11-01,1233035,22.649073221765807,18.01716901791109,23.166333477962915,19.419643400227894,21.812438414156937,18.212783903133325,25.54785549477509,22.045846224965228,15.163722035465335,15.766949032265911,18.028494272907558,19.175292196937978
11363270,2020-12-01,1312844,53.03181489956156,57.943365700723014,42.5918083184293,50.17755346408256,52.76239979769112,61.22555307408953,39.93749447763786,46.73548418547824,55.86383454546009,63.76271666702213,46.25699345309959,59.25062936317207
11565019,2021-01-01,1344924,36.78631655022886,69.53136385401703,47.30393687673058,64.03499379890611,35.01075153688981,71.69304733947793,38.311607198622376,66.45594844020926,51.547448034238364,68.19418792437342,48.872873114019825,74.53989965232236
11766939,2021-02-01,1421979,71.92996521045669,81.59304743600292,72.42469825503753,83.53337144922675,72.03706946445763,85.0276973147986,74.32437469189067,82.06808961313776,76.04816948773505,87.31169728948177,66.05207675505528,83.12055460773655
11948960,2021-03-01,1578989,63.52292511220787,71.53925708158827,66.63871629251375,75.07791377900669,66.49539673803933,76.41497185857533,69.73322803388751,75.25169586361906,68.39110342123979,78.6456397099663,54.579483528705374,71.56241053716967
12150245,2021-04-01,1695563,44.92914742772754,49.80021385227208,35.31310838936684,40.76516177812326,44.59220919541179,50.78425278211426,33.513175269807135,38.232728598111656,37.38463271491534,41.99083136397763,48.98101692476187,58.128362083862406
12344945,2021-05-01,1822425,31.433282576786425,27.90677256951589,29.9624950272302,23.183999341536687,32.931176865988995,26.297433364884697,26.76422898061649,24.465533561051895,34.05413117137879,25.52933591231464,40.07532257364578,29.733465096567475
12545219,2021-06-01,1944649,60.940766174255614,65.51588487176863,62.278436879868806,65.19485007320087,64.7443317534424,66.42350367598472,60.48058030009529,64.38020434536001,64.87052419228354,66.09460113367503,68.04679653361296,68.21470576286075
12738509,2021-07-01,2077642,47.61686565827992,62.85457263570914,50.20836120948652,64.18603397505441,51.815808498287964,61.65701309465249,55.3836994053836,66.97713080501838,52.88052513378146,63.69884705834787,54.02451432922515,69.0049585058446
12936340,2021-08-01,2186002,54.06934668861236,55.17561283109531,61.491069084108794,63.81215570708535,53.51449815690928,58.16847377083827,54.21554966555383,59.34152850729322,64.75259400494602,70.26096041998132,56.76006328226841,57.541289664781694
13136427,2021-09-01,2286203,51.11466479573337,46.39697349710415,49.81937299531144,42.701719838527026,53.81792430505953,44.588385195890304,46.67218965244994,43.04740217732196,56.498832343409575,45.74501914309447,61.54959185583776,46.7377773267629
13330090,2021-10-01,2385506,43.46189026562918,44.08930432369485,37.4138233146343,41.0986599907944,41.48490928130133,44.21246477686495,39.822536602297376,33.39048403148011,35.99810690059048,42.0247528197372,37.73553188947414,42.520598363868444
13527859,2021-11-01,2504425,52.43890314143965,59.930003893109195,53.95625742435889,59.234155544685905,54.53822733761242,60.1828363796081,50.381424877966,57.443085738243305,59.32455553670004,63.58753007177296,50.06546748821006,61.33682333447473
