block_number,block_date,n_wallets,strategy,metric,quantile,value
9193266,2020-01-01,826497,mcap_weight,alpha,0.1,-0.11064346575886955
9193266,2020-01-01,826497,mcap_weight,alpha,0.25,-0.0835936402011068
9193266,2020-01-01,826497,mcap_weight,alpha,0.5,0.029869646435518427
9193266,2020-01-01,826497,mcap_weight,alpha,0.75,0.07237517325966414
9193266,2020-01-01,826497,mcap_weight,alpha,0.9,0.13397077479124775
9193266,2020-01-01,826497,mcap_weight,alpha,0.95,0.22292601630656844
9193266,2020-01-01,826497,mcap_weight,alpha,0.99,0.3081708769286421
9193266,2020-01-01,826497,mcap_weight,excess_return,0.01,-0.3601430555256452
9193266,2020-01-01,826497,mcap_weight,excess_return,0.05,-0.2307600697617157
9193266,2020-01-01,826497,mcap_weight,excess_return,0.1,-0.19120435628464158
9193266,2020-01-01,826497,mcap_weight,excess_return,0.25,-0.10997132686078989
9193266,2020-01-01,826497,mcap_weight,excess_return,0.5,0.020869024806746378
9193266,2020-01-01,826497,mcap_weight,excess_return,0.75,0.09202462758991917
9193266,2020-01-01,826497,mcap_weight,excess_return,0.9,0.16234030288396487
9193266,2020-01-01,826497,mcap_weight,excess_return,0.95,0.20505650491654392
9193266,2020-01-01,826497,mcap_weight,excess_return,0.99,0.2554160383326717
9193266,2020-01-01,826497,safer_risk,alpha,0.01,-0.34437776390944086
9193266,2020-01-01,826497,safer_risk,alpha,0.05,-0.21901711731216975
9193266,2020-01-01,826497,safer_risk,alpha,0.1,-0.15197236280844684
9193266,2020-01-01,826497,safer_risk,alpha,0.25,-0.08647542141704181
9193266,2020-01-01,826497,safer_risk,alpha,0.5,0.026357352481715078
9193266,2020-01-01,826497,safer_risk,alpha,0.75,0.12131608281378042
9193266,2020-01-01,826497,safer_risk,alpha,0.9,0.12371981525295717
9193266,2020-01-01,826497,safer_risk,alpha,0.95,0.21525615867892922
9193266,2020-01-01,826497,safer_risk,alpha,0.99,0.41573693411623
9193266,2020-01-01,826497,safer_risk,excess_return,0.01,-0.3903088267793142
9193266,2020-01-01,826497,safer_risk,excess_return,0.05,-0.2661970942015372
9193266,2020-01-01,826497,safer_risk,excess_return,0.1,-0.2107776327404066
9193266,2020-01-01,826497,safer_risk,excess_return,0.25,-0.11247188268422356
9193266,2020-01-01,826497,safer_risk,excess_return,0.5,0.0033400121794879
9193266,2020-01-01,826497,safer_risk,excess_return,0.75,0.1673705220644989
9193266,2020-01-01,826497,safer_risk,excess_return,0.9,0.16737052206449934
9193266,2020-01-01,826497,safer_risk,excess_return,0.95,0.18515353301540763
9193266,2020-01-01,826497,safer_risk,excess_return,0.99,0.3062344286017991
9393154,2020-02-01,914540,baseline,alpha,0.01,-0.5936478735063688
9393154,2020-02-01,914540,baseline,alpha,0.05,-0.5871474571687841
