block_number,date,optimisation,token_group,mean_dist,median_dist,std_dist
9193266,2020-01-01 00:00:00,better_return,all,41.17313280215307,43.207972327805436,35.29912594725629
9193266,2020-01-01 00:00:00,better_return,gte5,61.720422261826975,65.58965137298846,27.175590656326484
9193266,2020-01-01 00:00:00,better_return,lt5,39.44437604828608,38.824903105058716,35.35844207658676
9193266,2020-01-01 00:00:00,max_sharpe,all,39.82244639277611,34.04791081027901,35.969798232516666
9193266,2020-01-01 00:00:00,max_sharpe,gte5,79.78513862285267,88.77492519381241,22.628619609125415
9193266,2020-01-01 00:00:00,max_sharpe,lt5,36.460164753095135,34.04791081027901,34.84151172251088
9193266,2020-01-01 00:00:00,safer_risk,all,9.114755708491705,7.558552256314854e-08,17.88816032826272
9193266,2020-01-01 00:00:00,safer_risk,gte5,43.774651550768034,44.415827706343364,18.329333081651885
9193266,2020-01-01 00:00:00,safer_risk,lt5,6.198627566953861,6.549144004885932e-08,14.45910525751968
9393154,2020-02-01 00:00:00,better_return,all,38.04340813578062,33.2563978474666,34.206101518138674
9393154,2020-02-01 00:00:00,better_return,gte5,58.05708996229393,59.72430139208906,25.693527289898874
9393154,2020-02-01 00:00:00,better_return,lt5,36.33793530896653,27.705528078542564,34.29968005811196
9393154,2020-02-01 00:00:00,max_sharpe,all,37.44586587800302,37.15015023233839,33.5218634189908
9393154,2020-02-01 00:00:00,max_sharpe,gte5,69.58577270566454,78.41050114961897,24.67668417007141
9393154,2020-02-01 00:00:00,max_sharpe,lt5,34.707052588871306,31.15514153970695,32.74227467893643
9393154,2020-02-01 00:00:00,safer_risk,all,8.47559141542047,4.6522193042353166e-08,17.265708488176845
9393154,2020-02-01 00:00:00,safer_risk,gte5,42.303672088732256,41.58124934416517,18.70798144667997
9393154,2020-02-01 00:00:00,safer_risk,lt5,5.592919807481826,3.4711078455984534e-08,13.706152922951437
9581792,2020-03-01 00:00:00,better_return,all,23.153187280488396,7.300294231227699,29.135701191396617
9581792,2020-03-01 00:00:00,better_return,gte5,51.55311154795199,50.44664060798736,26.009788438427936
9581792,2020-03-01 00:00:00,better_return,lt5,20.70194909433757,0.9717674850790454,28.073913496400575
9581792,2020-03-01 00:00:00,max_sharpe,all,32.46751194835506,22.694241548659427,31.73328025308894
