block_number,date,optimisation,token_group,mean_dist,median_dist,std_dist,count
9193266,2020-01-01 00:00:00,better_return,gte5,61.72042226182694,65.58965137298846,27.175590656326484,68218
9193266,2020-01-01 00:00:00,better_return,lt5,39.44437604828608,38.824903105058716,35.35844207658677,810811
9193266,2020-01-01 00:00:00,max_sharpe,gte5,79.78513862285268,88.77492519381241,22.628619609125412,68218
9193266,2020-01-01 00:00:00,max_sharpe,lt5,36.460164753095135,34.04791081027901,34.841511722510866,810811
9193266,2020-01-01 00:00:00,safer_risk,gte5,43.77465155076805,44.415827706343364,18.32933308165189,68218
9193266,2020-01-01 00:00:00,safer_risk,lt5,6.198627566953863,6.549144004885932e-08,14.459105257519685,810811
9393154,2020-02-01 00:00:00,better_return,gte5,58.057089962293915,59.72430139208906,25.693527289898878,71816
9393154,2020-02-01 00:00:00,better_return,lt5,36.33793530896653,27.705528078542564,34.29968005811196,842759
9393154,2020-02-01 00:00:00,max_sharpe,gte5,69.58577270566454,78.41050114961897,24.67668417007142,71816
9393154,2020-02-01 00:00:00,max_sharpe,lt5,34.7070525888713,31.15514153970695,32.74227467893644,842759
9393154,2020-02-01 00:00:00,safer_risk,gte5,42.30367208873227,41.58124934416517,18.707981446679973,71816
9393154,2020-02-01 00:00:00,safer_risk,lt5,5.5929198074818265,3.4711078455984534e-08,13.706152922951432,842759
9581792,2020-03-01 00:00:00,better_return,gte5,51.553111547952,50.44664060798736,26.00978843842793,73967
9581792,2020-03-01 00:00:00,better_return,lt5,20.70194909433756,0.9717674850790454,28.073913496400554,856978
9581792,2020-03-01 00:00:00,max_sharpe,gte5,58.084559717432064,57.92962072194341,23.549142380721282,73967
9581792,2020-03-01 00:00:00,max_sharpe,lt5,30.256467823143783,22.694241548659427,31.377112893822954,856978
9581792,2020-03-01 00:00:00,safer_risk,gte5,41.97888992829852,41.878649107785115,19.019458063919974,73967
9581792,2020-03-01 00:00:00,safer_risk,lt5,6.26038692156477,6.788111253652751e-08,14.855935201755422,856978
9782602,2020-04-01 00:00:00,better_return,gte5,54.300824544370414,53.480440597346416,26.904216171251917,75371
9782602,2020-04-01 00:00:00,better_return,lt5,45.1917158024909,52.11954814476155,34.19482155806728,868880
9782602,2020-04-01 00:00:00,max_sharpe,gte5,65.94770660737291,69.57843055881155,24.525339384454824,75371
9782602,2020-04-01 00:00:00,max_sharpe,lt5,44.92519081806981,48.48991061782918,33.1684004227662,868880
9782602,2020-04-01 00:00:00,safer_risk,gte5,43.85502775590304,43.24796511030808,18.90319449659191,75371
9782602,2020-04-01 00:00:00,safer_risk,lt5,6.6909754852320455,8.786241734171085e-08,14.747113138863497,868880
9976964,2020-05-01 00:00:00,better_return,gte5,54.57336260701939,54.34184600175314,26.141708207826838,77028
9976964,2020-05-01 00:00:00,better_return,lt5,42.65950509841777,46.46617079291013,34.34951923171713,932715
9976964,2020-05-01 00:00:00,max_sharpe,gte5,61.76834739762616,62.50286702541567,22.868696259355502,77028
9976964,2020-05-01 00:00:00,max_sharpe,lt5,41.79796101722194,41.71775813891848,32.505325837890524,932715
9976964,2020-05-01 00:00:00,safer_risk,gte5,43.5454777548255,43.21985489095175,18.877984884934328,77028
9976964,2020-05-01 00:00:00,safer_risk,lt5,6.613976306782916,8.349239979943412e-08,14.95208483365951,932715
10176690,2020-06-01 00:00:00,better_return,gte5,52.70013198844581,51.476323767129095,25.604648953004943,75479
10176690,2020-06-01 00:00:00,better_return,lt5,35.35847274074994,24.039242845498688,34.74959852481316,947996
10176690,2020-06-01 00:00:00,max_sharpe,gte5,55.62380191715631,55.00546930791297,20.168526740477095,75479
10176690,2020-06-01 00:00:00,max_sharpe,lt5,26.870969184441215,19.500272739178435,27.281692064545158,947996
10176690,2020-06-01 00:00:00,safer_risk,gte5,42.89472411687941,43.26446806485267,18.70686547094035,75479
10176690,2020-06-01 00:00:00,safer_risk,lt5,5.901242105640682,8.211817614789396e-08,14.174879852851822,947996
10370274,2020-07-01 00:00:00,better_return,gte5,53.12613625596531,51.66296111803981,25.580631049067552,82375
10370274,2020-07-01 00:00:00,better_return,lt5,18.64891932539995,3.326922970864343e-05,26.33352132808581,962927
10370274,2020-07-01 00:00:00,max_sharpe,gte5,59.93648356664568,60.184264565613724,21.624694955448884,82375
10370274,2020-07-01 00:00:00,max_sharpe,lt5,30.390005980025297,20.558670541646784,29.74922707567185,962927
10370274,2020-07-01 00:00:00,safer_risk,gte5,43.365395917387175,42.742801840546285,18.604381365619584,82375
10370274,2020-07-01 00:00:00,safer_risk,lt5,6.04084905295288,1.2613522309967706e-07,14.227187244974866,962927
10570485,2020-08-01 00:00:00,better_return,gte5,51.49629062871842,50.9554743419397,26.792062492075278,84755
10570485,2020-08-01 00:00:00,better_return,lt5,21.90586126012104,3.8926831448826666,29.29217855359523,989399
10570485,2020-08-01 00:00:00,max_sharpe,gte5,57.563235946546996,57.80180776074546,22.78795735973457,84755
10570485,2020-08-01 00:00:00,max_sharpe,lt5,43.982337479745524,44.30819068592143,32.82835929241652,989399
10570485,2020-08-01 00:00:00,safer_risk,gte5,41.45556056542683,41.46965153397363,19.355985972744776,84755
10570485,2020-08-01 00:00:00,safer_risk,lt5,5.993846649747295,1.6698765148426276e-07,13.944079644866934,989399
10771925,2020-09-01 00:00:00,better_return,gte5,47.79779029364453,46.59034779129345,26.723086641520773,86445
10771925,2020-09-01 00:00:00,better_return,lt5,17.740139343405684,5.610575129488815e-07,27.487326423359338,1009956
10771925,2020-09-01 00:00:00,max_sharpe,gte5,56.42783631123989,56.40721400480492,20.126223197523238,86445
10771925,2020-09-01 00:00:00,max_sharpe,lt5,32.35530423716811,22.08197226685064,25.592182735327185,1009956
10771925,2020-09-01 00:00:00,safer_risk,gte5,40.49009825473171,40.218031290829856,20.114219418819996,86445
10771925,2020-09-01 00:00:00,safer_risk,lt5,6.385253035454225,2.3968204712621066e-07,15.086859901042573,1009956
10966874,2020-10-01 00:00:00,better_return,gte5,51.46655290553119,51.71328564709664,28.84283719337404,92796
10966874,2020-10-01 00:00:00,better_return,lt5,21.06113267616797,2.019109936737036,29.61986482924224,1063489
10966874,2020-10-01 00:00:00,max_sharpe,gte5,69.15352954560943,76.15675773870392,25.475799580760008,92796
10966874,2020-10-01 00:00:00,max_sharpe,lt5,31.052401659812205,15.54026247713801,32.82965031508365,1063489
10966874,2020-10-01 00:00:00,safer_risk,gte5,49.69546977997948,50.26205632925745,22.17441339838475,92796
10966874,2020-10-01 00:00:00,safer_risk,lt5,6.942721178477927,5.119604740144723e-08,16.005965616295327,1063489
11167817,2020-11-01 00:00:00,better_return,gte5,56.51309736624024,58.06033635438441,30.0605690966361,115401
11167817,2020-11-01 00:00:00,better_return,lt5,32.484982849256134,16.58867937673496,33.78327674914172,1153890
11167817,2020-11-01 00:00:00,max_sharpe,gte5,75.71995408243909,87.9099767942353,26.425821452163703,115401
11167817,2020-11-01 00:00:00,max_sharpe,lt5,47.08152790234315,56.66666666666666,34.8393182567492,1153890
11167817,2020-11-01 00:00:00,safer_risk,gte5,50.803693262962696,51.953821586085056,21.96709369724575,115401
11167817,2020-11-01 00:00:00,safer_risk,lt5,7.179253251384528,8.35366158191686e-08,16.529723856588184,1153890
11363270,2020-12-01 00:00:00,better_return,gte5,56.45388828189322,57.52625615130038,28.44613108193655,124139
11363270,2020-12-01 00:00:00,better_return,lt5,31.042006464591964,12.50585095313135,34.433231857180786,1189182
11363270,2020-12-01 00:00:00,max_sharpe,gte5,68.74365997646795,75.70238723453075,25.24175999108249,124139
11363270,2020-12-01 00:00:00,max_sharpe,lt5,46.029310726261784,47.33742922803741,33.05921828369163,1189182
11363270,2020-12-01 00:00:00,safer_risk,gte5,47.384671838903884,47.52086307805405,21.103534096377743,124139
11363270,2020-12-01 00:00:00,safer_risk,lt5,6.777403064785923,7.544617222632333e-08,15.994455657505034,1189182
11565019,2021-01-01 00:00:00,better_return,gte5,57.248500145271,59.32040985486863,27.99903327331602,121271
11565019,2021-01-01 00:00:00,better_return,lt5,32.2985186543944,16.650067770018044,33.68760835891632,1226843
11565019,2021-01-01 00:00:00,max_sharpe,gte5,67.56484595596724,72.57822120841068,23.5212057274611,121271
11565019,2021-01-01 00:00:00,max_sharpe,lt5,32.22779415556729,24.865517097189382,31.540820476194146,1226843
11565019,2021-01-01 00:00:00,safer_risk,gte5,48.351191507822975,49.71844684185237,21.467746916806973,121271
11565019,2021-01-01 00:00:00,safer_risk,lt5,6.438722960035958,7.272269800240316e-08,15.67855235941898,1226843
11766939,2021-02-01 00:00:00,better_return,gte5,50.01477946609097,48.2032397812434,26.38611299589864,130821
11766939,2021-02-01 00:00:00,better_return,lt5,27.470412414875103,21.420272878182605,29.258950817045605,1293785
11766939,2021-02-01 00:00:00,max_sharpe,gte5,58.95805612846295,60.17412273842543,23.10371922140479,130821
11766939,2021-02-01 00:00:00,max_sharpe,lt5,33.37433474051202,22.428080694079387,27.988426078876447,1293785
11766939,2021-02-01 00:00:00,safer_risk,gte5,45.173669504464456,45.21779394003957,20.984287890350583,130821
11766939,2021-02-01 00:00:00,safer_risk,lt5,6.121867333162109,6.727124413075103e-08,14.663090482852619,1293785
11948960,2021-03-01 00:00:00,better_return,gte5,49.35613934108725,47.44261156475113,26.114420727087314,150957
11948960,2021-03-01 00:00:00,better_return,lt5,20.977414558187856,2.0897105359221313,28.535252679048682,1430300
11948960,2021-03-01 00:00:00,max_sharpe,gte5,54.02892171793442,52.64134300011776,21.15334589894758,150957
11948960,2021-03-01 00:00:00,max_sharpe,lt5,34.1859962042838,31.697147536706858,24.76446321730961,1430300
11948960,2021-03-01 00:00:00,safer_risk,gte5,41.37452423284949,40.60043611939946,20.316450532262134,150957
11948960,2021-03-01 00:00:00,safer_risk,lt5,5.910494963414596,3.061008169158441e-07,13.960243048128019,1430300
12150245,2021-04-01 00:00:00,better_return,gte5,53.36757599049152,52.583340665060796,26.00171696037627,168506
12150245,2021-04-01 00:00:00,better_return,lt5,30.66624903375729,19.409879649500716,32.74991216160766,1529503
12150245,2021-04-01 00:00:00,max_sharpe,gte5,61.03274631359023,61.43772117103285,20.92215460780016,168506
12150245,2021-04-01 00:00:00,max_sharpe,lt5,35.63821783953035,36.112070999833044,25.384259303775234,1529503
12150245,2021-04-01 00:00:00,safer_risk,gte5,44.03130909792122,43.14369874505219,20.728497655626345,168506
12150245,2021-04-01 00:00:00,safer_risk,lt5,6.5407197009399605,2.659565727369806e-07,15.312040670800254,1529503
12344945,2021-05-01 00:00:00,better_return,gte5,53.27405707049689,52.84296589231743,25.59083168604478,189411
12344945,2021-05-01 00:00:00,better_return,lt5,18.531884163227716,4.165443633270295e-06,27.078006965719762,1634028
12344945,2021-05-01 00:00:00,max_sharpe,gte5,62.48357436338175,63.29370045937813,21.068168228822923,189411
12344945,2021-05-01 00:00:00,max_sharpe,lt5,34.409239573524886,28.342135341962468,27.186471862085668,1634028
12344945,2021-05-01 00:00:00,safer_risk,gte5,44.969581727159515,44.214274186571494,21.034896014906913,189411
12344945,2021-05-01 00:00:00,safer_risk,lt5,6.580762126365604,6.331786137070416e-08,15.236117859420688,1634028
12545219,2021-06-01 00:00:00,better_return,gte5,55.94320558617922,56.65724945550457,27.948268755855043,207214
12545219,2021-06-01 00:00:00,better_return,lt5,20.41804100481629,1.815713202999214,27.997636705487846,1742174
12545219,2021-06-01 00:00:00,max_sharpe,gte5,71.2172484324599,80.60036082192352,26.238667650207336,207214
12545219,2021-06-01 00:00:00,max_sharpe,lt5,35.57393275096975,27.466635248223415,33.301657529653426,1742174
12545219,2021-06-01 00:00:00,safer_risk,gte5,49.1834268573015,49.01558437179854,23.665680312924398,207214
12545219,2021-06-01 00:00:00,safer_risk,lt5,6.82317064910903,7.21073978304787e-08,16.149587452125935,1742174
12738509,2021-07-01 00:00:00,better_return,gte5,58.64673338515411,61.37010445821598,29.247301145239653,235473
12738509,2021-07-01 00:00:00,better_return,lt5,26.148943138030354,11.898098143673117,29.46313204513089,1856609
12738509,2021-07-01 00:00:00,max_sharpe,gte5,73.62120529133414,83.5542605619199,25.61167344221628,235473
12738509,2021-07-01 00:00:00,max_sharpe,lt5,46.320418039104666,52.27817250410395,33.692134223018556,1856609
12738509,2021-07-01 00:00:00,safer_risk,gte5,53.3842201290383,53.95362240472865,24.735116994371666,235473
12738509,2021-07-01 00:00:00,safer_risk,lt5,7.442203865070041,1.018881000403038e-07,17.11585660697885,1856609
12936340,2021-08-01 00:00:00,better_return,gte5,59.10896728751714,61.336767895640676,27.66306718156585,257490
12936340,2021-08-01 00:00:00,better_return,lt5,25.855454137439313,10.805430957129346,29.185154208053664,1928674
12936340,2021-08-01 00:00:00,max_sharpe,gte5,75.06658485088653,83.1663797407829,23.067741538876064,257490
12936340,2021-08-01 00:00:00,max_sharpe,lt5,44.81246325354286,47.83752494182939,33.82479601070654,1928674
12936340,2021-08-01 00:00:00,safer_risk,gte5,52.4711911849013,52.70490271051912,23.26318807078102,257490
12936340,2021-08-01 00:00:00,safer_risk,lt5,7.514860350648408,1.5168948319654874e-07,17.15721959447119,1928674
13136427,2021-09-01 00:00:00,better_return,gte5,52.785872764012765,51.78428793769426,25.91686855928099,266634
13136427,2021-09-01 00:00:00,better_return,lt5,28.366089006961044,16.243814773476874,31.303887214776722,2020007
13136427,2021-09-01 00:00:00,max_sharpe,gte5,62.36726530382087,63.3335706329879,22.16311171515791,266634
13136427,2021-09-01 00:00:00,max_sharpe,lt5,41.91407340736104,39.65614266293972,31.51132176149576,2020007
13136427,2021-09-01 00:00:00,safer_risk,gte5,45.62747565119536,44.903576073289635,20.979572272169356,266634
13136427,2021-09-01 00:00:00,safer_risk,lt5,6.664681407568678,7.147787084438306e-08,15.149226064888978,2020007
13330090,2021-10-01 00:00:00,better_return,gte5,54.83645897064079,54.63603547132377,26.378226154622862,276117
13330090,2021-10-01 00:00:00,better_return,lt5,27.886605979570845,12.381985778929161,31.15220116040166,2110690
13330090,2021-10-01 00:00:00,max_sharpe,gte5,69.16970327936069,74.39556454309985,23.67990205632064,276117
13330090,2021-10-01 00:00:00,max_sharpe,lt5,43.84942247199802,45.46223693557342,32.829539055647615,2110690
13330090,2021-10-01 00:00:00,safer_risk,gte5,48.48112655349414,47.853259175724425,22.19232903316908,276117
13330090,2021-10-01 00:00:00,safer_risk,lt5,7.2945531636787795,6.809226654747036e-08,16.399398868845864,2110690
13527859,2021-11-01 00:00:00,better_return,gte5,53.13868273975144,52.53425546241877,26.69049308023303,292358
13527859,2021-11-01 00:00:00,better_return,lt5,26.103539102335496,7.857564244884068,31.72097459794729,2214942
13527859,2021-11-01 00:00:00,max_sharpe,gte5,67.10830734729888,71.34484214764275,24.277220368152406,292358
13527859,2021-11-01 00:00:00,max_sharpe,lt5,40.698752110134606,38.98323053441033,33.26659584374309,2214942
13527859,2021-11-01 00:00:00,safer_risk,gte5,47.85860519328066,47.71875598554433,22.26123368817465,292358
