block_number,wallet_type,wallets_considered,total_value_usd,top_1_value_usd,top_5_value_usd,top_10_value_usd,top_1_share_pct,top_5_share_pct,top_10_share_pct
13527859,EOA,12335465,890557975223.0393,868988627054.9932,883943203775.3772,887346360760.9469,97.57799618125432,99.25723292231419,99.6393705349404
13527859,CA,24529,37501926700.9306,35137331491.61775,36962157653.34578,37317577292.530396,93.69473673134193,98.56068982298068,99.50842683398548
13717847,ALL,13341994,1033782788857.5961,1010926539083.2708,1026684918228.5428,1030218508055.9976,97.78906652145146,99.31340793196055,99.65521956449504
13717847,EOA,13316018,999639186808.2319,977244463915.281,992614150716.3762,996100996018.2546,97.7597193879068,99.29724282675572,99.6460532123321
13717847,CA,25976,34143602049.362583,31578344351.11338,33558740230.76045,33939627312.16145,92.48685685083687,98.28705296600933,99.40259748544914
13916166,ALL,13691892,1007641431772.2975,988386012886.1864,1001802683029.679,1004661369748.5814,98.08906042576638,99.4205529309817,99.70425372262883
13916166,EOA,13665266,977372390614.9617,958516863113.9396,971592015155.1345,974413411520.0253,98.07079392848837,99.40858003404514,99.69725161838524
13916166,CA,26626,30269041157.336086,28171410418.903816,29804774247.80048,30106147447.088135,93.07004563663266,98.46619882300736,99.46184714143655
14116761,ALL,14125595,744144834883.8878,729490837591.7413,739718394515.8762,741813598612.4219,98.03076006105277,99.40516413465367,99.68672277731663
14116761,EOA,14098602,726331800902.2092,711975327313.8827,721947330585.2289,724016051016.8354,98.02342764415742,99.39635435051389,99.68117189933068
14116761,CA,26993,17813033981.67874,16327470155.185072,17483660676.771248,17695312701.35542,91.66024256158934,98.15094214019766,99.3391284132484
14297759,ALL,14397936,710287370790.7012,695466321913.1658,705812679844.8304,707932512462.7793,97.91337288440926,99.37001682278408,99.66846400136605
14297759,EOA,14370127,693118870103.4695,678592240453.3868,688687144098.4974,690779516960.8148,97.90416474335578,99.36061097221166,99.66248889713457
14297759,CA,27809,17168500687.234022,15779189285.938353,16844054043.053423,17049371167.658926,91.90778841667449,98.11022144512684,99.30611576546298
14497034,ALL,14322238,908034846668.2855,893115057958.8298,903676704865.1523,905792370381.8392,98.35691452104524,99.52004685512634,99.75304072363805
14497034,EOA,14293072,890021745293.2051,875425723729.5647,885709677344.459,887795348856.2784,98.36003764617774,99.51550982079371,99.74984920888723
14497034,CA,29166,18013101375.08024,16560725174.180607,17681413665.835537,17887230378.148594,91.93711193504477,98.15863075248349,99.30122528980058
14688630,ALL,14475901,698792978046.5077,686949734988.1257,695290726553.4463,696918458975.7631,98.3051857373424,99.49881415482278,99.73174901156206
