block,wallet_type,n_wallets,n_wallets_pct_of_top1,total_value_usd,value_pct_of_top1,value_pct_of_all,mean_value,median_value,p75_value,p90_value,p99_value,max_value
22606143,CA,26778,8.1868,219430568150.98,20.807,20.6577,8194434.541451104,117996.0228588194,613517.7688817431,3514223.2040476017,117812901.32831852,16798846704.989468
22606143,EOA,300309,91.8132,835167416026.67,79.193,78.6246,2781026.929018675,49328.85799259902,131359.55570016077,468647.16856683616,6998430.1437316425,148146483168.0734
22820674,CA,26946,8.0845,216819219026.69,20.1561,20.0213,8046434.314061002,109273.98828278604,569435.8418138066,3285748.240183403,114277147.49067104,19125590217.519024
22820674,EOA,306360,91.9155,858882046011.2,79.8439,79.3101,2803505.829779361,46662.2110680658,125063.99126000045,450093.73059988243,6742355.093094137,144519081930.30466
23042514,CA,27785,8.2011,264463136016.51,20.3033,20.1742,9518198.16507148,123895.17157064259,622458.2700258667,3733083.3002420813,128551573.21328643,28389669826.177643
23042514,EOA,311009,91.7989,1038100282722.67,79.6967,79.1899,3337846.4376357817,51887.671557385795,139818.72563873316,491574.2379988905,7558844.30374137,177972518466.53763
23264566,CA,28674,8.1757,311488711412.65,22.2467,22.1107,10863106.347654657,125361.62139894004,632642.9700125557,3965880.1499363137,140766856.75065935,29254642218.31281
23264566,EOA,322048,91.8243,1088665637878.34,77.7533,77.2776,3380445.2686504624,52425.0720652942,141872.70102970608,499903.81997120497,7764964.397205564,187561393335.15408
23479244,CA,29208,8.064,313653935797.9,21.4437,21.3259,10738631.053064127,114748.22278712582,602121.5310384894,3840492.881512462,136095286.08829346,27280826767.55289
23479244,EOA,332993,91.936,1149034353092.08,78.5563,78.1249,3450626.1485739304,49411.079102537005,132937.98691851654,473920.6656448424,7598161.958029019,193496515955.7909
23700767,CA,29523,8.03,279454151071.41,19.3688,19.2746,9465642.078088619,100056.11487027876,502952.0121796024,3217301.8188734897,114517004.37912132,25298623329.117214
23700767,EOA,338136,91.97,1163351077285.28,80.6312,80.2392,3440482.756303028,44590.88466207796,121689.99532279256,444218.2798939344,6936071.918935337,176061423607.4649
23914921,CA,28518,7.6306,235810095849.29,17.858,17.774,8268816.0407214,91728.84314791323,456962.60608636437,2894099.808096374,104812865.74809396,19725066597.5819
23914921,EOA,345214,92.3694,1084662920106.51,82.142,81.7556,3142001.541381602,41398.20729774325,114480.83251727904,410706.94267697237,6378686.733893019,141734072598.80203

