block,wallet_type,bucket,wallet_count,wallet_pct,value_sum_usd,value_pct
9976964,EOA,100–1K,620164,8.6702,228595845.64072,0.8927
9976964,EOA,10K–100K,55152,0.771,2052135085.925823,8.0143
9976964,EOA,1K–10K,230952,3.2288,775328183.853625,3.0279
9976964,EOA,1–100,3724320,52.0677,29299120.947262,0.1144
9976964,EOA,>100K,9267,0.1296,22520180215.15877,87.9489
10176690,ALL,0–1,2643780,34.3359,464269.613332,0.0011
10176690,ALL,100–1K,809094,10.5081,274914060.51018,0.6554
10176690,ALL,10K–100K,67349,0.8747,2360192468.08552,5.6265
10176690,ALL,1K–10K,216411,2.8106,635633129.853413,1.5153
10176690,ALL,1–100,3951740,51.323,49748258.221567,0.1186
10176690,ALL,>100K,11375,0.1477,38626720453.64446,92.0831
10176690,CA,0–1,82431,66.7096,10049.27082,0.0001
10176690,CA,100–1K,7559,6.1173,2438882.633956,0.018
10176690,CA,10K–100K,932,0.7542,29639213.114725,0.2184
10176690,CA,1K–10K,2466,1.9957,7973790.205172,0.0588
10176690,CA,1–100,29579,23.9376,562973.555377,0.0041
10176690,CA,>100K,600,0.4856,13528711791.138695,99.7006
10176690,EOA,0–1,2561349,33.8079,454220.342511,0.0016
10176690,EOA,100–1K,801535,10.5797,272475177.876225,0.9602
10176690,EOA,10K–100K,66417,0.8767,2330553254.970795,8.2124
10176690,EOA,1K–10K,213945,2.8239,627659339.648241,2.2118
10176690,EOA,1–100,3922161,51.7696,49185284.666191,0.1733
10176690,EOA,>100K,10775,0.1422,25098008662.505775,88.4407
10370274,ALL,0–1,2641568,34.6508,381650.742529,0.0008
10370274,ALL,100–1K,500851,6.5699,157764379.05792,0.3112
10370274,ALL,10K–100K,68152,0.894,2441623740.249523,4.8167
10370274,ALL,1K–10K,183842,2.4116,586129948.599062,1.1563
10370274,ALL,1–100,4216030,55.3039,49354894.645149,0.0974
10370274,ALL,>100K,12950,0.1699,47455935569.82336,93.6177
10370274,CA,0–1,87425,62.2565,11516.702412,0.0001
10370274,CA,100–1K,11312,8.0554,3797251.97165,0.0201
10370274,CA,10K–100K,1197,0.8524,38993880.836484,0.206
10370274,CA,1K–10K,3387,2.4119,10442968.996452,0.0552
10370274,CA,1–100,36289,25.8419,773913.673102,0.0041
10370274,CA,>100K,817,0.5818,18878076961.44934,99.7147
10370274,EOA,0–1,2554143,34.1328,370134.040116,0.0012
10370274,EOA,100–1K,489539,6.542,153967127.08627,0.4848
10370274,EOA,10K–100K,66955,0.8948,2402629859.413039,7.5652
10370274,EOA,1K–10K,180455,2.4115,575686979.602609,1.8127
10370274,EOA,1–100,4179741,55.8567,48580980.972048,0.153
10370274,EOA,>100K,12133,0.1621,28577858608.374,89.9832
10570485,ALL,0–1,2760303,35.0624,505355.359152,0.0008
10570485,ALL,100–1K,505108,6.4161,182493280.34754,0.2796
