bucket,better_return,max_sharpe,safer_risk
0,0.0,0.0,0.0
"(0,1]",0.77,0.16,0.49
"(1,20]",11.02,4.78,10.3
"(20,40]",17.14,7.9,23.41
"(40,60]",21.17,14.28,30.89
"(60,80]",21.56,22.3,24.6
"(80,100]",28.35,50.58,10.32
