year,pct_0–100,pct_100–1K,pct_1K–10K,pct_>10K,count_0–100,count_100–1K,count_1K–10K,count_>10K
2018,12.041116005873716,10.499265785609397,41.04258443465492,36.41703377386197,164,143,559,496
2019,15.45875096376253,13.261372397841173,38.9745566692367,32.305319969159605,401,344,1011,838
2020,14.363079821050153,17.659524370143632,39.65151871909583,28.32587708971038,610,750,1684,1203
2021,10.182571052136268,17.3630717108978,50.42348955392434,22.030867683041595,1082,1845,5358,2341
2022,10.0247599492723,18.624313062382996,50.069448638202786,21.281478350141917,1660,3084,8291,3524
2023,9.938727698684447,21.467832041809334,48.765543341142546,19.82789691836367,2206,4765,10824,4401
2024,9.009244723530438,23.486830629687773,50.39246467817896,17.111459968602826,3099,8079,17334,5886
2025,9.083767468783593,27.49937980649963,47.84999586537666,15.566856859340113,4394,13302,23146,7530
