block_number,block_date,n_wallets,mean_ret_baseline,median_ret_baseline,std_ret_baseline,mean_ret_better_return,median_ret_better_return,std_ret_better_return,mean_ret_safer_risk,median_ret_safer_risk,std_ret_safer_risk,mean_ret_max_sharpe,median_ret_max_sharpe,std_ret_max_sharpe,mean_ret_equal_weight,median_ret_equal_weight,std_ret_equal_weight,mean_ret_mcap_weight,median_ret_mcap_weight,std_ret_mcap_weight,mean_market_return,median_market_return,std_market_return
9193266,2020-01-01,826497,0.24431669698981653,0.23091964005609267,0.20185362262150866,0.2017022988429861,0.14831307142439054,0.17626309770838766,0.23521535016106848,0.23307295349053625,0.18340792256249983,0.2645744307911975,0.2806596377828072,0.283018685228421,0.2125855501777759,0.22760997623713264,0.1550394550608819,0.22707272172546927,0.2506019661177947,0.1414964245801589,0.2297329413110569,0.22973294131104835,5.418541342494869e-17
9393154,2020-02-01,914540,0.08051280942477873,0.07918532452415872,1.4963710594103268,0.24709184936573592,0.053541716955249674,3.199882448608857,0.13177022002977656,0.07334350444425208,1.7533249610312276,0.03783084524414924,-0.04845090255511553,2.315680164656781,0.2425061003234552,0.06438479834472277,2.4903526206427036,0.06650423158839225,0.105559655421269,0.3614293766506749,0.19707266861109432,0.19707266861107103,2.6097674447292395e-17
9581792,2020-03-01,926317,-0.3867923237420133,-0.4167728501449546,0.2047532031756376,-0.36313998856424523,-0.41725308844858755,0.18284322509389483,-0.3490729183479226,-0.40247661180289773,0.19115753260412557,-0.34472200767936656,-0.3783591315505139,0.18586192961146558,-0.24087420280923935,-0.34263569448884257,0.2557571045601059,-0.2938351688886924,-0.34931284674241536,0.19641225741603097,-0.4037786714166012,-0.40377867141658597,6.969311579266127e-17
9782602,2020-04-01,941259,0.03792358280267466,-0.021522981989253842,0.4760196485524147,0.07892560433895185,-0.03650981684311205,0.5137749836044248,0.04024049853299755,-0.020203465651650876,0.4512610066489905,0.11703893329578056,-0.016250422740713644,0.6673147565187266,0.07049969158005887,-0.037265370171873036,0.43846651312808244,0.05537744466106495,-0.014553683662445471,0.3439847541973264,0.15701889747551176,0.1570188974755223,3.6266927222616544e-17
9976964,2020-05-01,1006999,0.5225934201383557,0.1898179302189158,0.7105286755142431,0.2728820252172114,0.08947512845335526,0.5081270264907523,0.5038427606605608,0.245073101391188,0.6436320439574804,0.1702534713376684,0.08947512883245134,0.34221980140950004,0.3941389899429093,0.30062440101329724,0.41605648360667363,0.24862553116212255,0.17819610237811778,0.4314308154639185,0.06116982501872344,0.06116982501871774,9.534812107916256e-18
10176690,2020-06-01,1021033,0.13621552043392568,0.1355803479518003,0.26703160613219556,0.09927903187126254,0.028115307926041,0.2621349814182707,0.13152661895707088,0.13686500779993582,0.2350994518060165,0.13766370155449129,0.1530053816141066,0.23134702542735266,0.12067113240898847,0.05192329283829911,0.20539234342611568,0.08693586618589298,0.02015847442829477,0.20360348323458113,-0.013690579943315144,-0.013690579943315406,1.7518272366234713e-18
10370274,2020-07-01,1044729,0.15630956133264717,0.01616609320531559,2.4768234988063846,0.31195496155328434,0.007238928345243201,7.415523790843172,0.2874956916212836,0.016166093205723264,4.272776174163225,0.21150609364603526,0.014857279833419446,5.688009008377524,0.4841699386044721,0.027789666795209556,6.740352306750538,0.1244476744641516,0.022107421351226675,0.37204630804077193,0.023311482255736118,0.02331148225573845,1.14997192834513e-17
10570485,2020-08-01,1071168,0.5243495523014243,0.42832205425242587,0.5375792155330228,0.5006479659361495,0.4157003483515831,0.49523803551692436,0.4989745830333624,0.4157003477044545,0.48110415020979186,0.37192280629137836,0.3487482766277854,0.440400189740984,0.4365722075455152,0.44206025833124374,0.3623862486230573,0.44514823359154665,0.4294459136963966,0.37663471947697674,0.11478318174030772,0.11478318174030526,7.055000558771157e-17
10771925,2020-09-01,1094957,-0.18847073587368343,-0.18367655247148595,0.213959206648334,-0.18971764778636746,-0.1693827318705452,0.19609333064925902,-0.19021490847061012,-0.18404627571987653,0.1884906273698034,-0.2034050265936524,-0.2034412920756865,0.17692138739276916,-0.20851756757819098,-0.21357277966456079,0.14734853676191914,-0.19399350768283555,-0.18463911818426104,0.17226584887898058,-0.11384971215094775,-0.11384971215096418,1.839833816273294e-17
10966874,2020-10-01,1121306,0.1755267622181322,-0.10282879196476968,6.3177523364071195,0.19855029649911288,-0.12477523757366005,6.093622820971773,0.17563153880668722,-0.09398827858942543,5.751423059371486,0.2339282983360155,-0.17435856115709703,7.090826914342963,0.20715910213888267,-0.11329431718646132,4.338930078341058,0.09996884793685211,-0.0992464623329995,4.750876784141077,0.0646711448906101,0.06467114489060778,1.7535423083609108e-17
