block_number,block_date,n_wallets,mean_alpha_baseline,median_alpha_baseline,frac_positive_alpha_baseline,mean_alpha_better_return,median_alpha_better_return,frac_positive_alpha_better_return,mean_alpha_safer_risk,median_alpha_safer_risk,frac_positive_alpha_safer_risk,mean_alpha_max_sharpe,median_alpha_max_sharpe,frac_positive_alpha_max_sharpe,mean_alpha_equal_weight,median_alpha_equal_weight,frac_positive_alpha_equal_weight,mean_alpha_mcap_weight,median_alpha_mcap_weight,frac_positive_alpha_mcap_weight
9193266,2020-01-01,826497,0.027342337975192532,0.023217027890443942,0.5508610436577507,-0.001364092266458707,-0.0402856627799712,0.4001055055251259,0.020135687337974714,0.026357352481715078,0.5562331139737954,0.0475202934112663,0.11079455760098605,0.6530961394899195,0.004859473553463874,0.023815940044473627,0.5520370914836956,0.013766011638140379,0.029869646435518427,0.5969628443902397
9393154,2020-02-01,914540,-0.06077178491547186,-0.04323337873783857,0.41236687296345703,0.10737085250245217,-0.07634799251452859,0.3599383296520655,-0.007809137992846606,-0.056095894915726016,0.41508627288035516,-0.11092860780844911,-0.25531469202286095,0.28048636472980953,0.10293014897625948,-0.09524692636568474,0.38003477157915455,-0.07596672448216861,-0.03854573251877197,0.3918756970717519
9581792,2020-03-01,926317,-0.11490352833404119,-0.09615500789830012,0.2415080366656339,-0.08883036989729765,-0.09861024182124473,0.25743131131135455,-0.07791013297370297,-0.08170931953129018,0.26104238613779085,-0.05372513188225043,-0.03660765422887191,0.3529169819834895,0.03943197796552,-0.014749547988746975,0.456581278331284,-0.008038030954726508,0.0028213228014243325,0.5007389478979658
9782602,2020-04-01,941259,-0.13366634420355522,-0.1960661909974853,0.1657673392764372,-0.10943693274346737,-0.21963691612185965,0.1466981989016838,-0.12982016941367225,-0.18952384766920508,0.1679123386868014,-0.06737765649677999,-0.17293005570114445,0.161653699991182,-0.10648263109941423,-0.20996531211462258,0.1550986497871468,-0.12945744748059065,-0.1960378871815965,0.16838723454437088
9976964,2020-05-01,1006999,0.45753557218928476,0.12488280574407876,0.6428149382472078,0.20197950816046217,-0.001719691995625501,0.49598261765900464,0.4393940529482691,0.18219033050217703,0.69958560038292,0.09971002477326135,0.002077129343905769,0.5023341631918204,0.3271799979695289,0.2329089441480134,0.6935726847792302,0.17896210188918893,0.0860049523526183,0.669101955414057
10176690,2020-06-01,1021033,0.1456303034477895,0.14514274371486352,0.7334131218089914,0.10921500014837167,0.03657070550096513,0.5811849372155454,0.14099212339347766,0.14553275013433595,0.7630292066955721,0.14772755353559652,0.165077628075473,0.75404320918129,0.13009306944177193,0.06055886398949349,0.8268978573660205,0.0972185011931808,0.03427738937972746,0.7086519240808083
10370274,2020-07-01,1044729,0.1397826665081352,-0.000667235990571327,0.490273554194437,0.29566664376219765,-0.008111376749193641,0.47228132845934206,0.2710774250014601,0.004596026848874002,0.5143735839629224,0.19437302358202727,-0.0019373348658813967,0.47273120589167145,0.4677059119376682,0.015743465985565454,0.5360873489680099,0.10699946783746517,0.002568137937660909,0.512495584979454
10570485,2020-08-01,1071168,0.4667389843191084,0.3849025683994553,0.8826570621975265,0.44401637122070897,0.37410251845288234,0.9046134686622453,0.4413765906642216,0.3661301478629843,0.9116515803310031,0.3025520733616118,0.2775526541838592,0.864836328195017,0.3830787959597741,0.3916200500267185,0.9411427525840951,0.3808591055726864,0.38503920143618753,0.8907743696600346
10771925,2020-09-01,1094957,-0.0995810103323795,-0.09874408625156991,0.40475562054034997,-0.09620755408836061,-0.06813146743326279,0.4018477437926786,-0.10304078412410776,-0.10084947166762653,0.37747053080623255,-0.1157620848794313,-0.1064929205459256,0.3750722631117021,-0.1314116020139009,-0.1310337959788804,0.15647098470533546,-0.11189214899366437,-0.05380555650968302,0.2588001172648789
10966874,2020-10-01,1121306,0.10860182097084121,-0.17218639484697873,0.09138451056179134,0.13142883571026656,-0.19000872315922912,0.14349874164590218,0.1111748680365815,-0.16230663427156558,0.10385300711848505,0.1636547091445822,-0.2553732929485586,0.17713006083977076,0.14240247237266393,-0.17955266505512435,0.09516224830688501,0.03416654668403619,-0.16714068095078857,0.13962914672711998
