block_number,block_date,n_wallets,mean_beta_baseline,median_beta_baseline,mean_beta_better_return,median_beta_better_return,mean_beta_safer_risk,median_beta_safer_risk,mean_beta_max_sharpe,median_beta_max_sharpe,mean_beta_equal_weight,median_beta_equal_weight,mean_beta_mcap_weight,median_beta_mcap_weight
9193266,2020-01-01,826497,0.9444634181601729,0.9495020222140432,0.8839236983193471,0.848878171148373,0.9362160323881695,0.9359749072267147,0.944810683836823,0.9756214205788092,0.9042067517128706,0.9495550844794173,0.9284985813093294,0.9653300581946234
9393154,2020-02-01,914540,0.7169162285972842,0.7129620892266824,0.7089821122736026,0.6992357708567059,0.7082633985034614,0.7070875398919678,0.7548456825648464,0.7122337743370302,0.7082461121113078,0.7041543037116627,0.7229361487550006,0.7284988659715708
9581792,2020-03-01,926317,0.67336096395112,0.6777103843247955,0.6793563852805458,0.6583373932769505,0.6715629243686679,0.6802465323074459,0.7206841182972885,0.7585119610865708,0.6942074968728749,0.6824145137783069,0.7078064250676841,0.7136130213152506
9782602,2020-04-01,941259,1.092797935566852,1.1743418770299765,1.1996169894887172,1.1942921216731368,1.0830586042879822,1.174341877016165,1.1744865921078742,1.175138178370087,1.1271402711705736,1.1416527626791328,1.1771506176221362,1.2000495865790337
9976964,2020-05-01,1006999,1.0635611255904358,1.1193807435141934,1.159109365361857,1.1313905131940212,1.0536029438138648,1.1193807435793977,1.1532393061909538,1.109755623498232,1.0946408944751769,1.1103559674915646,1.138852845363011,1.1583394453671279
10176690,2020-06-01,1021033,0.6876832868180163,0.7679589261369817,0.7257521827596163,0.7684672784078376,0.6913881278656062,0.7684672777080768,0.7350931825221,0.7793726713928628,0.6882058372834476,0.7447835492448185,0.751073734630611,0.7908397032257896
10370274,2020-07-01,1044729,0.7089594150729372,0.6776199749966648,0.6987251008921926,0.672223026031,0.7042995567465768,0.6739377403208128,0.7349627053332348,0.6873676359140919,0.7062625399017112,0.7501973155840174,0.7484812177652485,0.7866897218971731
10570485,2020-08-01,1071168,0.5019077456195318,0.49254610076125016,0.49337885443505386,0.4800633434500634,0.5017981859003378,0.49212214485190586,0.6043632166141368,0.6202617958875276,0.4660387591169104,0.5395912253429206,0.5600918796998846,0.5497168385038698
10771925,2020-09-01,1094957,0.7807637266876393,0.671886681401084,0.8213467731390599,0.7456802579032349,0.7656947277206331,0.653971987130881,0.7698125894073681,0.7221292609005159,0.6772609619078375,0.7221642948963545,0.7211380436369079,0.6969725889479091
10966874,2020-10-01,1121306,1.0348501075787968,1.1611120786298965,1.0378888591253888,1.1676387008207554,0.9966836195514662,1.1425344486882276,1.0866297374246896,1.2028475829039835,1.001321839527633,1.0967990594433055,1.0174908974338273,1.2250946638087203
11167817,2020-11-01,1233035,0.969141494389574,0.9195613686322986,1.0038850640331478,1.069248608795265,0.9320608750036924,0.902593630689634,0.9362283409713397,1.0692486087227269,0.97395156982238,0.9517118160793032,0.9545211279240922,0.9459063416626485
11363270,2020-12-01,1312844,0.8243739123041953,0.9702476527201687,0.763090512404364,0.8251486138691462,0.7921840371075076,0.9348537276154267,0.7823242058251787,0.8251486139250505,0.803053011007145,0.9148885702636163,0.7503867416602439,0.9106519416743752
11565019,2021-01-01,1344924,0.6947491538139582,0.7047904979726654,0.7191551646381482,0.8177234790982245,0.6698137313420367,0.7008907583940693,0.7549389565111693,0.7443417296942718,0.6873570171337686,0.7474056116271094,0.6619162619910992,0.7610895059885168
11766939,2021-02-01,1421979,0.7426219870039094,0.8280252626860335,0.7366169294219024,0.8270691003022446,0.7260512818994904,0.8055405219491817,0.7821846442826073,0.8543806031300873,0.6860131966394873,0.7346271491677001,0.6830804252665686,0.7913366071174561
11948960,2021-03-01,1578989,0.7358758781734965,0.8274501796601592,0.7467596723138188,0.8274501871881299,0.7267246185252746,0.8155332094948115,0.7880275268948367,0.8355264738320336,0.7010177454512038,0.746784027319964,0.6750512831961174,0.8042586991550762
12150245,2021-04-01,1695563,0.8204823502288512,0.9309531496372219,0.8245210977503691,0.9266688062261385,0.8042733848739176,0.9236868460290621,0.8793824117159671,0.9498806276160492,0.7821837771727016,0.8838677139801701,0.7585790894956655,0.9104937153216734
12344945,2021-05-01,1822425,0.9019814668049281,1.0218732982216703,0.8897417561768669,1.021873301246109,0.8742850948375295,1.0060885498737848,0.9500772096500109,1.0849311167540094,0.842383693041849,0.9897975499153775,0.8252728660281423,0.9958158532928204
12545219,2021-06-01,1944649,1.110952638234792,1.2882599474948433,1.0977125283984424,1.253246181126683,1.059290867026601,1.253246181126683,1.0916655786158855,1.2867941181480804,1.0890129573614225,1.2212755730792801,1.008056078064346,1.26062832512441
12738509,2021-07-01,2077642,1.1115563025242539,1.2479977890837752,1.1136346353962547,1.2307376048942973,1.0614124233842313,1.1987043150805414,0.9912664299789183,1.1845106795116718,1.0957991055586604,1.1973825398246243,0.9944579172835959,1.2228944885802602
12936340,2021-08-01,2186002,0.9677283581561476,1.0986247738456179,0.9497919527737304,1.0567336819484776,0.9120990224626063,1.0333918032079203,0.8960155118421971,1.043406734309154,0.9367311860343515,1.0060772124315902,0.8584385422617905,1.0563547494246692
13136427,2021-09-01,2286203,1.127738618556815,0.9881312495662612,1.357089019286375,0.9191238262989988,1.1110433827563222,0.9465824749915779,0.9491930768480368,0.9366936625621866,1.21868494490542,0.9035725160260839,0.8435790581053345,0.9416634813678537
13330090,2021-10-01,2385506,0.9332084381499767,1.0411927146018671,1.090940472695114,1.0344575717087965,0.9413331538723444,0.9993484699263383,0.8860061117388377,1.0921991992165054,1.057530833668227,0.9808742490408935,0.6699608016913534,0.9777550080581797
13527859,2021-11-01,2504425,0.7165320014875945,0.8858818351244548,0.6828490305393982,0.9573597766509864,0.696945570739421,0.8708018998398181,0.7144270061466019,1.0034098806786256,0.731914899523416,0.9029086476126351,0.5545775591524883,0.8657280798635383
13717847,2021-12-01,2579086,0.7413891646469875,0.8406668256504709,0.7416329066499715,0.8319712229796611,0.7171540370517164,0.8136850423949427,0.8091213609126885,0.8855650995532418,0.7057435450795576,0.7790911932098593,0.6626015835215094,0.7896947296282265
13916166,2022-01-01,2621359,0.9667517222854698,1.037687199651358,0.9334043745619564,1.0188002980572395,0.9216204489102421,0.9842330922047693,0.8684167979638923,0.9577908727033134,0.9120666224563242,0.9633066049966682,0.8695150790282028,0.9628460867930866
14116761,2022-02-01,2755033,0.9685051870888373,1.1304462117014955,0.9335054516891398,1.0578255908680196,0.9295447461676022,1.0637448332522719,0.8256346109325968,1.0357260516421785,0.9537422273037648,1.0165674930390312,0.8523343403857594,1.1048779424338901
14297759,2022-03-01,2928345,0.901687179670841,1.0036920350546479,0.8826326386184952,0.9808162623634629,0.8663998854487871,0.9744998310768768,0.7505364102092993,0.9172036920808582,0.8872148603259548,0.9531977721060297,0.7873207473749996,0.9586422482877796
14497034,2022-04-01,2934000,0.820297404532197,0.9278993718507242,0.8024558538113559,0.9065020832973567,0.7680308012189333,0.8645986036479855,0.8302108343904835,0.914611990232814,0.763992690525733,0.8047248401727468,0.7237850300993217,0.8929661909687404
14688630,2022-05-01,3002002,0.8810860901906075,0.9811345386583221,0.8658510918674983,0.9343601716576133,0.8346221550613486,0.9069039480269415,0.9151440617008885,0.9892970456381549,0.8555004130253453,0.8880792992982229,0.7756639190635705,0.937860461258512
14881677,2022-06-01,3075701,1.0987548412046027,1.27660665904302,1.0686337334465243,1.2308588635560302,1.054380616412667,1.2247149697969804,0.9181939678344758,1.13589484463426,1.115859569170592,1.1973836567533713,0.9842208367065832,1.235614355894512
15053226,2022-07-01,3103058,0.899984270920675,1.0767841246567236,0.862084562083012,1.0256175626212782,0.8596311907930344,1.0256175626212782,0.7830034934132049,1.0256175626212782,0.9041671668399732,0.9790940216258448,0.8022848957022879,1.0711719257257926
