block_number,block_date,n_wallets,mean_l1_gap_better_return,median_l1_gap_better_return,std_l1_gap_better_return,mean_l1_gap_safer_risk,median_l1_gap_safer_risk,std_l1_gap_safer_risk,mean_l1_gap_max_sharpe,median_l1_gap_max_sharpe,std_l1_gap_max_sharpe,mean_l1_baseline_vs_equal,median_l1_baseline_vs_equal,std_l1_baseline_vs_equal,mean_l1_baseline_vs_mcap,median_l1_baseline_vs_mcap,std_l1_baseline_vs_mcap,mean_l1_better_return_vs_equal,median_l1_better_return_vs_equal,std_l1_better_return_vs_equal,mean_l1_safer_risk_vs_equal,median_l1_safer_risk_vs_equal,std_l1_safer_risk_vs_equal,mean_l1_max_sharpe_vs_equal,median_l1_max_sharpe_vs_equal,std_l1_max_sharpe_vs_equal,mean_l1_better_return_vs_mcap,median_l1_better_return_vs_mcap,std_l1_better_return_vs_mcap,mean_l1_safer_risk_vs_mcap,median_l1_safer_risk_vs_mcap,std_l1_safer_risk_vs_mcap,mean_l1_max_sharpe_vs_mcap,median_l1_max_sharpe_vs_mcap,std_l1_max_sharpe_vs_mcap
9193266,2020-01-01,826497,0.809282555833371,0.8227798055594355,0.7089634262633954,0.17261769692288625,1.4832897687888646e-09,0.3499102738044202,0.7600651774100188,0.6809582162055802,0.7125106832401434,0.7094038480045822,0.8,0.30632513357240265,0.6600668076704956,0.48455822688710826,0.4528468158901316,0.6719075611497362,0.8000000000000003,0.31417171427187107,0.6282980872563766,0.7997831714592141,0.27461142081064793,0.9246647107417245,0.8000000000000003,0.21486467540250104,0.9057845605409885,0.9947879498634782,0.4863831464033986,0.6357256129981382,0.4845582268871094,0.419509909046454,0.8884351230011573,0.6378188701663807,0.6330816773549279
9393154,2020-02-01,914540,0.7608722393105395,0.6651588059566584,0.6841194198356227,0.1694948932410298,9.304438608470633e-10,0.3452894132501566,0.7488922839174947,0.7430030046467678,0.6704295286441582,0.716275845462209,0.8,0.3123873761081381,0.6220827025189921,0.4449408560502399,0.4887624040107565,0.6498317515250585,0.7893216950536602,0.3298214360404296,0.6389000786222078,0.7999999961157769,0.2783748634814448,0.8735212561344623,0.8,0.24700207335117566,0.9121371451434932,0.8988838470390625,0.49744840384358935,0.589956407018529,0.46029855027740546,0.4476428265268826,0.8250267904782247,0.6559449114108152,0.6108533530701117
9581792,2020-03-01,926317,0.4612477128528066,0.1387190010426862,0.5821608516659159,0.18080219182157617,1.3576222784861258e-09,0.3598462031869331,0.6486024380498553,0.45388483097318855,0.634945984549919,0.7310193445377924,0.8,0.2882757930832101,0.644914806132242,0.47051410889210166,0.46941726557800684,0.7130785934966712,0.8,0.2815294895477803,0.6475245593549,0.799999996218806,0.2689179616051145,0.8442641987489494,0.8000000000000003,0.21827110332866292,0.6955511824848063,0.48158843137699703,0.5025751455835304,0.6420319124598698,0.4705141075344794,0.4463051268860702,0.7036601783892249,0.4705141088921019,0.5542588943918636
9782602,2020-04-01,941259,0.9187197636450796,1.0511762426098163,0.6753762506266173,0.19235424636068485,1.7572483745897927e-09,0.3626071255145699,0.9323747919760297,1.033065782085703,0.6610597730639133,0.737672227360734,0.8,0.28256981404745146,0.8139805048003368,0.7916959422593184,0.5312896299056065,0.7419024357600609,0.8000000000011163,0.271457059476131,0.633338512721284,0.7665493082645785,0.256677453722222,0.8885338452744195,0.8000000000000003,0.22626625999337738,0.7500353575595874,0.5823807759668128,0.5758250789010139,0.8149319909916698,0.8227491404529763,0.5055847040255479,0.7165961630042212,0.39859631939954465,0.6078194496295013
9976964,2020-05-01,1006999,0.8716781639441238,0.9655363051434936,0.679043060120668,0.187924248939858,1.6698482735444387e-09,0.3626172589302897,0.8663981580578416,0.904692206601913,0.6461888500111517,0.7213073099454526,0.8,0.304134453009066,0.8343967511183367,0.7476126299241466,0.5627863825997339,0.6966126792127683,0.8,0.2844391884812392,0.6147779488272209,0.7815941260494621,0.27928271910817914,0.7851353946065632,0.8,0.26093474755247476,0.7820133684761792,0.6668653802021439,0.5958458330672245,0.8323458532791747,0.7821089556085754,0.5352215228100146,0.6602790029695346,0.45861482863181885,0.5814795814587028
10176690,2020-06-01,1021033,0.7331447119194898,0.5973916419484849,0.6893744524524216,0.17200746157331356,1.8673475404851203e-09,0.34894258653731836,0.5788597795958786,0.4345998788288562,0.5567967241185328,0.7364149037149703,0.8,0.2778784016007177,0.7249948916395993,0.7442927229021357,0.4902184788782982,0.6614972573050133,0.7896507421554857,0.2779719946699214,0.6482311159265934,0.7999999873661519,0.2508087782793417,0.6555446400456819,0.7999999999999998,0.2672202538927315,0.8141050905273178,0.7484477381344292,0.4962222191935562,0.7140770967350527,0.7399107808910335,0.45972053824901027,0.7376574920613205,0.8515522622780416,0.4726702422774376
10370274,2020-07-01,1044729,0.42725164093827206,0.08190485896413005,0.557309448060487,0.17947403441912665,2.522704489749117e-09,0.35468122108578537,0.6542080573093574,0.5078215398017492,0.6050967342342501,0.7395480235504311,0.8,0.27992332879114146,0.712946989858992,0.7540157940989833,0.49111442491489665,0.6454227551083241,0.7999999844545129,0.30557092949111125,0.6526985722202765,0.7999999904745106,0.24503338851129752,0.759567902434367,0.8,0.2521138373768098,0.8040649103407403,0.763978090807749,0.4872148269358513,0.6998442598263807,0.737831822124182,0.46156484169166,0.7704749737793598,0.7639780908072753,0.5774513981939994
10570485,2020-08-01,1071168,0.48389393249075746,0.1926030668908431,0.6031962984619395,0.17511067227545687,4.005586654032278e-09,0.3456752149381501,0.9009854635897121,0.9439467506434434,0.6474092917738892,0.7431948604043106,0.8,0.28033388344197047,0.7322284910346767,0.7448056947246811,0.4996059285342024,0.69689494334706,0.8,0.29176781488684994,0.6607860913952615,0.799999994145737,0.2536218803365188,0.819388942681243,0.8,0.22044309404082585,0.8206015675007853,0.9004144445014153,0.5184231941652446,0.7256696078316984,0.7536605776363734,0.4691861566573384,0.7891499444133726,0.6995855554996961,0.5517336202239238
10771925,2020-09-01,1094957,0.40166417203014004,2.0901886799151725e-07,0.5717440764739931,0.18115026591364278,5.784267009811828e-09,0.3607862390216,0.6846457749663495,0.5423548689017241,0.5202990272227187,0.7537890363700592,0.8,0.2773455940554893,0.6937792267236169,0.6726850702637754,0.5080823951315283,0.691712624780564,0.8,0.28634953192811613,0.6765917436990939,0.799999994215733,0.2632117941745005,0.6326666062197173,0.6498671105094305,0.27598335106865934,0.7333057588093506,0.6726850703411189,0.4977541343544409,0.6873726618657996,0.6726850644795084,0.4789572692566458,0.732156588309496,0.5197344533329565,0.5463911533496432
10966874,2020-10-01,1121306,0.45668163782910237,0.11784586398887366,0.6082328748295375,0.2067875592482932,1.031074003954302e-09,0.40575497100184355,0.6835314246062681,0.44181870942833945,0.6795602502986459,0.7493817002316567,0.8,0.2814056222033434,0.6800244416048442,0.5542576726141846,0.5127036455627297,0.7292634178837892,0.8000000000000003,0.292020512996445,0.679792025720255,0.7999999979478383,0.25757938503151045,0.8989445960356979,0.8,0.2355092099360479,0.7595446886118351,0.5542576727828288,0.5426920746300711,0.6956402382945713,0.554257673056979,0.49876956586356347,0.815242053335696,0.5542576726141846,0.6166813912648721
