block_number,block_date,n_wallets,mean_beta_baseline,median_beta_baseline,std_beta_baseline,mean_beta_better_return,median_beta_better_return,std_beta_better_return,mean_beta_safer_risk,median_beta_safer_risk,std_beta_safer_risk,mean_beta_max_sharpe,median_beta_max_sharpe,std_beta_max_sharpe,mean_beta_equal_weight,median_beta_equal_weight,std_beta_equal_weight,mean_beta_mcap_weight,median_beta_mcap_weight,std_beta_mcap_weight,mean_alpha_baseline,median_alpha_baseline,std_alpha_baseline,mean_alpha_better_return,median_alpha_better_return,std_alpha_better_return,mean_alpha_safer_risk,median_alpha_safer_risk,std_alpha_safer_risk,mean_alpha_max_sharpe,median_alpha_max_sharpe,std_alpha_max_sharpe,mean_alpha_equal_weight,median_alpha_equal_weight,std_alpha_equal_weight,mean_alpha_mcap_weight,median_alpha_mcap_weight,std_alpha_mcap_weight
9193266,2020-01-01,826497,0.9444634181601729,0.9495020222140432,0.3307711311961761,0.8839236983193473,0.848878171148373,0.30795461664250245,0.93621603238817,0.9359749072267147,0.32335052245087664,0.9448106838368229,0.9756214205788092,0.40394679294808866,0.9042067517128703,0.9495550844794173,0.22675937305596713,0.9284985813093293,0.9653300581946234,0.2553897578466199,0.027342337975192522,0.023217027890443942,0.1826776929636375,-0.0013640922664587072,-0.0402856627799712,0.16685351193808814,0.020135687337974714,0.026357352481715078,0.1653551761729085,0.0475202934112663,0.11079455760098605,0.2720052464792108,0.004859473553463874,0.023815940044473627,0.15026165431327487,0.013766011638140386,0.029869646435518427,0.12391351702652374
9393154,2020-02-01,914540,0.7169162285972841,0.7129620892266824,0.47063563890510707,0.7089821122736029,0.6992357708567059,0.43578656879824496,0.7082633985034613,0.7070875398919678,0.44326293899511504,0.7548456825648466,0.7122337743370302,0.4116262286242069,0.7082461121113081,0.7041543037116627,0.35953403854639837,0.7229361487550006,0.7284988659715708,0.3048248499444581,-0.06077178491547186,-0.04323337873783857,1.5013273503010907,0.1073708525024522,-0.07634799251452859,3.2045029050420424,-0.007809137992846607,-0.056095894915726016,1.7578628301401136,-0.11092860780844913,-0.25531469202286095,2.3187003407192965,0.10293014897625945,-0.09524692636568474,2.493730858753211,-0.07596672448216862,-0.03854573251877197,0.3625400057862822
9581792,2020-03-01,926317,0.6733609639511201,0.6777103843247955,0.46209533058315583,0.6793563852805461,0.6583373932769505,0.4842293627680264,0.6715629243686682,0.6802465323074459,0.44485159322643647,0.7206841182972882,0.7585119610865708,0.5021882236804402,0.6942074968728748,0.6824145137783069,0.4088335859193511,0.7078064250676841,0.7136130213152506,0.3901562879585397,-0.11490352833404113,-0.09615500789830012,0.2588542839895459,-0.08883036989729759,-0.09861024182124473,0.24708150312326702,-0.07791013297370297,-0.08170931953129018,0.23945698170755134,-0.05372513188225043,-0.03660765422887191,0.26319507139834786,0.039431977965520004,-0.014749547988746975,0.2666902607612528,-0.008038030954726511,0.0028213228014243325,0.19885485167343253
9782602,2020-04-01,941259,1.0927979355668522,1.1743418770299765,0.31405613785106506,1.1996169894887172,1.1942921216731368,0.38368366752726485,1.083058604287982,1.174341877016165,0.3088740369910874,1.174486592107874,1.175138178370087,0.41277620571572904,1.1271402711705736,1.1416527626791328,0.305375771793337,1.1771506176221358,1.2000495865790337,0.393639473023866,-0.13366634420355522,-0.1960661909974853,0.48995858347657684,-0.10943693274346734,-0.21963691612185965,0.530898633216222,-0.1298201694136722,-0.18952384766920508,0.4651365859645426,-0.06737765649677997,-0.17293005570114445,0.6890292952273971,-0.10648263109941417,-0.20996531211462258,0.4579365474798021,-0.12945744748059068,-0.1960378871815965,0.3618910674123072
9976964,2020-05-01,1006999,1.0635611255904358,1.1193807435141934,0.3508669090515671,1.1591093653618565,1.1313905131940212,0.4062045941573419,1.0536029438138645,1.1193807435793977,0.3451697692814922,1.1532393061909543,1.109755623498232,0.4079817021822286,1.0946408944751769,1.1103559674915646,0.3362617734393276,1.1388528453630113,1.1583394453671279,0.43553914488547235,0.45753557218928487,0.12488280574407876,0.7009089638849398,0.201979508160462,-0.001719691995625501,0.5060182180166721,0.4393940529482692,0.18219033050217703,0.633537012310432,0.09971002477326128,0.002077129343905769,0.34174316908707864,0.3271799979695289,0.2329089441480134,0.40527508158252906,0.17896210188918898,0.0860049523526183,0.42809990366677875
10176690,2020-06-01,1021033,0.6876832868180164,0.7679589261369817,0.34054619501050826,0.7257521827596163,0.7684672784078376,0.4227882420897808,0.6913881278656062,0.7684672777080768,0.3313869985122125,0.7350931825221003,0.7793726713928628,0.29632474508743717,0.6882058372834475,0.7447835492448185,0.3243710081112946,0.7510737346306114,0.7908397032257896,0.3369087399443951,0.1456303034477895,0.14514274371486352,0.2668648890529191,0.10921500014837171,0.03657070550096513,0.260077721621373,0.1409921233934776,0.14553275013433595,0.23479665259317928,0.1477275535355965,0.165077628075473,0.23061914059611738,0.1300930694417719,0.06055886398949349,0.20434663861043761,0.09721850119318079,0.03427738937972746,0.20300460482638175
10370274,2020-07-01,1044729,0.7089594150729376,0.6776199749966648,0.3259671349860782,0.6987251008921928,0.672223026031,0.354533911609838,0.7042995567465775,0.6739377403208128,0.32074966306777,0.7349627053332352,0.6873676359140919,0.36920787670593624,0.7062625399017115,0.7501973155840174,0.2990050566992664,0.7484812177652485,0.7866897218971731,0.3226931944555528,0.1397826665081352,-0.000667235990571327,2.4766140630837588,0.29566664376219765,-0.008111376749193641,7.415612109578566,0.27107742500146015,0.004596026848874002,4.272743948418389,0.1943730235820273,-0.0019373348658813967,5.6880919154303005,0.4677059119376683,0.015743465985565454,6.74045138135992,0.1069994678374652,0.002568137937660909,0.37163529930090533
10570485,2020-08-01,1071168,0.5019077456195318,0.49254610076125016,0.4223063319825279,0.49337885443505375,0.4800633434500634,0.4769366303635021,0.5017981859003379,0.49212214485190586,0.40513098687504,0.6043632166141364,0.6202617958875276,0.4554239231061069,0.4660387591169103,0.5395912253429206,0.4284296776693665,0.5600918796998843,0.5497168385038698,0.3860044180851014,0.4667389843191084,0.3849025683994553,0.5374097776993283,0.444016371220709,0.37410251845288234,0.4949984086288567,0.4413765906642215,0.3661301478629843,0.48171028982537406,0.30255207336161183,0.2775526541838592,0.44200866755611273,0.38307879595977445,0.3916200500267185,0.36472282309919757,0.38085910557268654,0.38503920143618753,0.3792347588691962
10771925,2020-09-01,1094957,0.780763726687639,0.671886681401084,0.5898685463457575,0.8213467731390599,0.7456802579032349,0.577662857440613,0.765694727720633,0.653971987130881,0.5610784899711236,0.7698125894073683,0.7221292609005159,0.48477243196804864,0.6772609619078375,0.7221642948963545,0.41501277737190795,0.721138043636908,0.6969725889479091,0.4947214384086062,-0.09958101033237951,-0.09874408625156991,0.2346047176858335,-0.09620755408836064,-0.06813146743326279,0.21662220718866107,-0.10304078412410775,-0.10084947166762653,0.20718080529014188,-0.1157620848794313,-0.1064929205459256,0.18956670324266994,-0.1314116020139009,-0.1310337959788804,0.15345176378959327,-0.11189214899366436,-0.05380555650968302,0.18018316482522023
10966874,2020-10-01,1121306,1.0348501075787968,1.1611120786298965,0.42747743181434134,1.0378888591253888,1.1676387008207554,0.4163425688929694,0.9966836195514654,1.1425344486882276,0.4161033125678142,1.0866297374246896,1.2028475829039835,0.3952174202680905,1.0013218395276335,1.0967990594433055,0.3473926136778956,1.017490897433828,1.2250946638087203,0.4581141560788829,0.10860182097084121,-0.17218639484697873,6.316618730740473,0.13142883571026653,-0.19000872315922912,6.092401800773144,0.11117486803658151,-0.16230663427156558,5.75019985482785,0.1636547091445822,-0.2553732929485586,7.0894178348248635,0.14240247237266399,-0.17955266505512435,4.33788119011627,0.03416654668403617,-0.16714068095078857,4.750028451882981
