strategy,alpha_bin,count
equal_weight,-1.25,238
equal_weight,-1.24,238
equal_weight,-1.23,491
equal_weight,-1.22,280
equal_weight,-1.21,393
equal_weight,-1.2,276
equal_weight,-1.19,640
equal_weight,-1.18,257
equal_weight,-1.17,461
equal_weight,-1.16,241
equal_weight,-1.15,481
equal_weight,-1.14,865
equal_weight,-1.13,1247
equal_weight,-1.12,530
equal_weight,-1.11,499
equal_weight,-1.1,527
equal_weight,-1.09,651
equal_weight,-1.08,2413
equal_weight,-1.07,1663
equal_weight,-1.06,1203
equal_weight,-1.05,720
equal_weight,-1.04,1577
equal_weight,-1.03,1662
equal_weight,-1.02,765
equal_weight,-1.01,1362
equal_weight,-1.0,1378
equal_weight,-0.99,987
equal_weight,-0.98,897
equal_weight,-0.97,2029
equal_weight,-0.96,1624
equal_weight,-0.95,1339
equal_weight,-0.94,1682
equal_weight,-0.93,3234
equal_weight,-0.92,2010
equal_weight,-0.91,1831
equal_weight,-0.9,2108
equal_weight,-0.89,1762
equal_weight,-0.88,1883
equal_weight,-0.87,1789
equal_weight,-0.86,2857
equal_weight,-0.85,2340
equal_weight,-0.84,2358
equal_weight,-0.83,3955
equal_weight,-0.82,3145
equal_weight,-0.81,3829
equal_weight,-0.8,22973
equal_weight,-0.79,3560
equal_weight,-0.78,6213
equal_weight,-0.77,9030
equal_weight,-0.76,7528
equal_weight,-0.75,6976
equal_weight,-0.74,6160
equal_weight,-0.73,6067
equal_weight,-0.72,10911
equal_weight,-0.71,7280
equal_weight,-0.7,13539
equal_weight,-0.69,9257
equal_weight,-0.68,9755
equal_weight,-0.67,11007
equal_weight,-0.66,13712
equal_weight,-0.65,13032
equal_weight,-0.64,14983
equal_weight,-0.63,17136
equal_weight,-0.62,15432
equal_weight,-0.61,26017
equal_weight,-0.6,21514
equal_weight,-0.59,24806
equal_weight,-0.58,27991
equal_weight,-0.57,48337
equal_weight,-0.56,36897
equal_weight,-0.55,35445
equal_weight,-0.54,42455
equal_weight,-0.53,49048
equal_weight,-0.52,53165
equal_weight,-0.51,63807
equal_weight,-0.5,63569
equal_weight,-0.49,67624
equal_weight,-0.48,95499
equal_weight,-0.47,92933
equal_weight,-0.46,93066
equal_weight,-0.45,126058
equal_weight,-0.44,125316
equal_weight,-0.43,216563
equal_weight,-0.42,162823
equal_weight,-0.41,175637
equal_weight,-0.4,231143
equal_weight,-0.39,228516
equal_weight,-0.38,470942
equal_weight,-0.37,473832
equal_weight,-0.36,381292
equal_weight,-0.35,404477
equal_weight,-0.34,600800
equal_weight,-0.33,506160
equal_weight,-0.32,839285
equal_weight,-0.31,913584
equal_weight,-0.3,882104
equal_weight,-0.29,903922
equal_weight,-0.28,945892
equal_weight,-0.27,1097193
equal_weight,-0.26,1314440
equal_weight,-0.25,1615756
equal_weight,-0.24,1686138
equal_weight,-0.23,1982503
equal_weight,-0.22,2254215
equal_weight,-0.21,2533079
equal_weight,-0.2,2742481
equal_weight,-0.19,2678246
equal_weight,-0.18,3018782
equal_weight,-0.17,3654342
equal_weight,-0.16,4031706
equal_weight,-0.15,4346436
equal_weight,-0.14,4736737
equal_weight,-0.13,4921751
equal_weight,-0.12,5807420
equal_weight,-0.11,6454776
equal_weight,-0.1,6266866
equal_weight,-0.09,6613667
equal_weight,-0.08,7735887
equal_weight,-0.07,7283905
equal_weight,-0.06,7745833
equal_weight,-0.05,7935486
equal_weight,-0.04,8110384
equal_weight,-0.03,7753057
equal_weight,-0.02,7845318
equal_weight,-0.01,14516829
equal_weight,0.0,11256766
equal_weight,0.01,6404573
equal_weight,0.02,5336073
equal_weight,0.03,4697357
equal_weight,0.04,4461171
equal_weight,0.05,4200382
equal_weight,0.06,3554565
equal_weight,0.07,3082581
equal_weight,0.08,2832305
equal_weight,0.09,2602631
equal_weight,0.1,2414875
equal_weight,0.11,1973957
equal_weight,0.12,2046379
equal_weight,0.13,1613662
equal_weight,0.14,1498049
equal_weight,0.15,1673799
equal_weight,0.16,1337595
equal_weight,0.17,1170208
equal_weight,0.18,1092066
equal_weight,0.19,1375756
equal_weight,0.2,977216
equal_weight,0.21,992692
equal_weight,0.22,876445
equal_weight,0.23,844809
equal_weight,0.24,746249
equal_weight,0.25,906328
equal_weight,0.26,876192
equal_weight,0.27,698461
equal_weight,0.28,747018
equal_weight,0.29,800116
equal_weight,0.3,518161
equal_weight,0.31,529748
equal_weight,0.32,457389
equal_weight,0.33,555338
equal_weight,0.34,429657
equal_weight,0.35,409371
equal_weight,0.36,501795
equal_weight,0.37,629624
equal_weight,0.38,337755
equal_weight,0.39,711306
equal_weight,0.4,296424
equal_weight,0.41,326321
equal_weight,0.42,306884
equal_weight,0.43,279103
equal_weight,0.44,331449
equal_weight,0.45,420999
equal_weight,0.46,269140
equal_weight,0.47,230323
equal_weight,0.48,201311
equal_weight,0.49,205591
equal_weight,0.5,211103
equal_weight,0.51,197318
equal_weight,0.52,190813
equal_weight,0.53,362453
equal_weight,0.54,405997
equal_weight,0.55,143911
equal_weight,0.56,175633
equal_weight,0.57,355761
equal_weight,0.58,126782
equal_weight,0.59,155722
equal_weight,0.6,122228
equal_weight,0.61,119914
equal_weight,0.62,111606
equal_weight,0.63,165885
equal_weight,0.64,100503
equal_weight,0.65,108935
equal_weight,0.66,91933
equal_weight,0.67,91559
equal_weight,0.68,75238
equal_weight,0.69,85908
equal_weight,0.7,75882
equal_weight,0.71,62516
equal_weight,0.72,65976
equal_weight,0.73,266557
equal_weight,0.74,66478
equal_weight,0.75,73367
equal_weight,0.76,231043
equal_weight,0.77,89285
equal_weight,0.78,86036
equal_weight,0.79,60321
equal_weight,0.8,46180
equal_weight,0.81,71263
equal_weight,0.82,54632
equal_weight,0.83,57988
equal_weight,0.84,45858
equal_weight,0.85,65244
equal_weight,0.86,47324
equal_weight,0.87,48818
equal_weight,0.88,68538
equal_weight,0.89,46687
equal_weight,0.9,58333
equal_weight,0.91,46762
equal_weight,0.92,36893
equal_weight,0.93,42415
equal_weight,0.94,34022
equal_weight,0.95,33004
equal_weight,0.96,31057
equal_weight,0.97,48071
equal_weight,0.98,27527
equal_weight,0.99,37365
equal_weight,1.0,30270
equal_weight,1.01,218819
equal_weight,1.02,25695
equal_weight,1.03,29015
equal_weight,1.04,23238
equal_weight,1.05,44491
equal_weight,1.06,26983
equal_weight,1.07,24402
equal_weight,1.08,30189
equal_weight,1.09,34885
equal_weight,1.1,21131
equal_weight,1.11,21259
equal_weight,1.12,20948
equal_weight,1.13,20762
equal_weight,1.14,33930
equal_weight,1.15,25336
equal_weight,1.16,29792
equal_weight,1.17,24117
equal_weight,1.18,16929
equal_weight,1.19,19067
equal_weight,1.2,22224
equal_weight,1.21,17388
equal_weight,1.22,17411
equal_weight,1.23,15357
equal_weight,1.24,27873
equal_weight,1.25,26711
equal_weight,1.26,19858
equal_weight,1.27,24470
equal_weight,1.28,22664
equal_weight,1.29,16785
equal_weight,1.3,15645
equal_weight,1.31,27312
equal_weight,1.32,13205
equal_weight,1.33,39623
equal_weight,1.34,11800
equal_weight,1.35,17151
equal_weight,1.36,11353
equal_weight,1.37,15523
equal_weight,1.38,12688
equal_weight,1.39,17520
equal_weight,1.4,37711
equal_weight,1.41,11974
equal_weight,1.42,12596
equal_weight,1.43,12786
equal_weight,1.44,12766
equal_weight,1.45,12888
equal_weight,1.46,11789
equal_weight,1.47,13253
equal_weight,1.48,10319
equal_weight,1.49,9564
equal_weight,1.5,8780
equal_weight,1.51,11281
equal_weight,1.52,9931
equal_weight,1.53,16019
equal_weight,1.54,14464
equal_weight,1.55,13246
equal_weight,1.56,13202
equal_weight,1.57,11067
equal_weight,1.58,10658
equal_weight,1.59,13041
equal_weight,1.6,10915
equal_weight,1.61,8450
equal_weight,1.62,8947
equal_weight,1.63,9965
equal_weight,1.64,11844
equal_weight,1.65,8597
equal_weight,1.66,9024
equal_weight,1.67,7699
equal_weight,1.68,8043
equal_weight,1.69,7358
equal_weight,1.7,9612
equal_weight,1.71,8700
equal_weight,1.72,8634
equal_weight,1.73,9469
equal_weight,1.74,7613
equal_weight,1.75,10988
equal_weight,1.76,9571
equal_weight,1.77,6358
equal_weight,1.78,6427
equal_weight,1.79,11384
equal_weight,1.8,8773
equal_weight,1.81,8305
equal_weight,1.82,8050
equal_weight,1.83,7871
equal_weight,1.84,11856
equal_weight,1.85,8685
equal_weight,1.86,9978
equal_weight,1.87,5364
equal_weight,1.88,6063
equal_weight,1.89,6080
equal_weight,1.9,6921
equal_weight,1.91,9641
equal_weight,1.92,6969
equal_weight,1.93,69469
equal_weight,1.94,6752
equal_weight,1.95,6341
equal_weight,1.96,10055
equal_weight,1.97,5800
equal_weight,1.98,5503
equal_weight,1.99,8538
mcap_weight,-2.0,24
mcap_weight,-1.99,9
mcap_weight,-1.98,35
mcap_weight,-1.97,9
mcap_weight,-1.96,14
mcap_weight,-1.95,20
mcap_weight,-1.94,25
mcap_weight,-1.93,22
mcap_weight,-1.92,20
mcap_weight,-1.91,224
mcap_weight,-1.9,41
mcap_weight,-1.89,27
mcap_weight,-1.88,74
mcap_weight,-1.87,31
mcap_weight,-1.86,219
mcap_weight,-1.85,97
mcap_weight,-1.84,85
mcap_weight,-1.83,71
mcap_weight,-1.82,89
mcap_weight,-1.81,54
mcap_weight,-1.8,68
mcap_weight,-1.79,34
mcap_weight,-1.78,43
mcap_weight,-1.77,31
mcap_weight,-1.76,86
mcap_weight,-1.75,39
mcap_weight,-1.74,57
mcap_weight,-1.73,53
mcap_weight,-1.72,50
mcap_weight,-1.71,49
mcap_weight,-1.7,59
mcap_weight,-1.69,26
mcap_weight,-1.68,32
mcap_weight,-1.67,15
mcap_weight,-1.66,74
mcap_weight,-1.65,28
mcap_weight,-1.64,40
mcap_weight,-1.63,31
mcap_weight,-1.62,793
mcap_weight,-1.61,144
mcap_weight,-1.6,43
mcap_weight,-1.59,41
mcap_weight,-1.58,98
mcap_weight,-1.57,709
mcap_weight,-1.56,77
mcap_weight,-1.55,40
mcap_weight,-1.54,80
mcap_weight,-1.53,1674
mcap_weight,-1.52,147
mcap_weight,-1.51,62
mcap_weight,-1.5,302
mcap_weight,-1.49,1650
mcap_weight,-1.48,144
mcap_weight,-1.47,89
mcap_weight,-1.46,165
mcap_weight,-1.45,140
mcap_weight,-1.44,141
mcap_weight,-1.43,88
mcap_weight,-1.42,173
mcap_weight,-1.41,177
mcap_weight,-1.4,317
mcap_weight,-1.39,190
mcap_weight,-1.38,131
mcap_weight,-1.37,116
mcap_weight,-1.36,364
mcap_weight,-1.35,120
mcap_weight,-1.34,171
mcap_weight,-1.33,101
mcap_weight,-1.32,105
mcap_weight,-1.31,161
mcap_weight,-1.3,1746
mcap_weight,-1.29,259
mcap_weight,-1.28,2027
mcap_weight,-1.27,667
mcap_weight,-1.26,430
mcap_weight,-1.25,430
mcap_weight,-1.24,456
mcap_weight,-1.23,249
mcap_weight,-1.22,237
mcap_weight,-1.21,1143
mcap_weight,-1.2,241
mcap_weight,-1.19,239
mcap_weight,-1.18,320
mcap_weight,-1.17,389
mcap_weight,-1.16,1154
mcap_weight,-1.15,634
mcap_weight,-1.14,547
mcap_weight,-1.13,961
mcap_weight,-1.12,829
mcap_weight,-1.11,1616
mcap_weight,-1.1,1206
mcap_weight,-1.09,942
mcap_weight,-1.08,1608
mcap_weight,-1.07,1020
mcap_weight,-1.06,1080
mcap_weight,-1.05,1234
mcap_weight,-1.04,1076
mcap_weight,-1.03,1039
mcap_weight,-1.02,1279
mcap_weight,-1.01,2307
mcap_weight,-1.0,1737
mcap_weight,-0.99,1586
mcap_weight,-0.98,1610
mcap_weight,-0.97,1979
mcap_weight,-0.96,4257
mcap_weight,-0.95,3857
mcap_weight,-0.94,4490
mcap_weight,-0.93,5010
mcap_weight,-0.92,3159
mcap_weight,-0.91,7051
mcap_weight,-0.9,8612
mcap_weight,-0.89,6794
mcap_weight,-0.88,5671
mcap_weight,-0.87,5892
mcap_weight,-0.86,13268
mcap_weight,-0.85,13661
mcap_weight,-0.84,6750
mcap_weight,-0.83,9575
mcap_weight,-0.82,6627
mcap_weight,-0.81,8546
mcap_weight,-0.8,33275
mcap_weight,-0.79,14299
mcap_weight,-0.78,10219
mcap_weight,-0.77,10639
mcap_weight,-0.76,12531
mcap_weight,-0.75,14896
mcap_weight,-0.74,16440
mcap_weight,-0.73,13712
mcap_weight,-0.72,14438
mcap_weight,-0.71,14761
mcap_weight,-0.7,13080
mcap_weight,-0.69,14451
mcap_weight,-0.68,16470
mcap_weight,-0.67,15195
mcap_weight,-0.66,20752
mcap_weight,-0.65,25026
mcap_weight,-0.64,82898
mcap_weight,-0.63,41597
mcap_weight,-0.62,34467
mcap_weight,-0.61,28344
mcap_weight,-0.6,33066
mcap_weight,-0.59,52859
mcap_weight,-0.58,43679
mcap_weight,-0.57,46259
mcap_weight,-0.56,110032
mcap_weight,-0.55,45494
mcap_weight,-0.54,65929
mcap_weight,-0.53,95835
mcap_weight,-0.52,79082
mcap_weight,-0.51,79866
mcap_weight,-0.5,88634
mcap_weight,-0.49,145635
mcap_weight,-0.48,159923
mcap_weight,-0.47,184749
mcap_weight,-0.46,531713
mcap_weight,-0.45,372179
mcap_weight,-0.44,180612
mcap_weight,-0.43,186070
mcap_weight,-0.42,384315
mcap_weight,-0.41,200790
mcap_weight,-0.4,244205
mcap_weight,-0.39,292357
mcap_weight,-0.38,435189
mcap_weight,-0.37,272228
mcap_weight,-0.36,475340
mcap_weight,-0.35,598376
mcap_weight,-0.34,451579
mcap_weight,-0.33,478993
mcap_weight,-0.32,587174
mcap_weight,-0.31,912274
mcap_weight,-0.3,947293
mcap_weight,-0.29,927243
mcap_weight,-0.28,1104816
mcap_weight,-0.27,1113015
mcap_weight,-0.26,1105824
mcap_weight,-0.25,1422184
mcap_weight,-0.24,1760703
mcap_weight,-0.23,1371827
mcap_weight,-0.22,1893615
mcap_weight,-0.21,2176474
mcap_weight,-0.2,2233239
mcap_weight,-0.19,2596297
mcap_weight,-0.18,2375130
mcap_weight,-0.17,2462250
mcap_weight,-0.16,3056834
mcap_weight,-0.15,2983338
mcap_weight,-0.14,3450130
mcap_weight,-0.13,3929080
mcap_weight,-0.12,4011974
mcap_weight,-0.11,4390832
mcap_weight,-0.1,4084497
mcap_weight,-0.09,4819792
mcap_weight,-0.08,4529511
mcap_weight,-0.07,5400470
mcap_weight,-0.06,5463032
mcap_weight,-0.05,5672635
mcap_weight,-0.04,6530927
mcap_weight,-0.03,7304243
mcap_weight,-0.02,8645696
mcap_weight,-0.01,35242970
mcap_weight,0.0,26247491
mcap_weight,0.01,7199899
mcap_weight,0.02,5567380
mcap_weight,0.03,4443947
mcap_weight,0.04,3591504
mcap_weight,0.05,3268365
mcap_weight,0.06,2719933
mcap_weight,0.07,2671224
mcap_weight,0.08,2152000
mcap_weight,0.09,1720629
mcap_weight,0.1,2228471
mcap_weight,0.11,1666647
mcap_weight,0.12,1420431
mcap_weight,0.13,1811643
mcap_weight,0.14,1388200
mcap_weight,0.15,1354920
mcap_weight,0.16,1222667
mcap_weight,0.17,1072651
mcap_weight,0.18,1051776
mcap_weight,0.19,1003734
mcap_weight,0.2,839371
mcap_weight,0.21,697434
mcap_weight,0.22,678570
mcap_weight,0.23,801995
mcap_weight,0.24,532684
mcap_weight,0.25,531104
mcap_weight,0.26,468519
mcap_weight,0.27,687192
mcap_weight,0.28,593809
mcap_weight,0.29,709825
mcap_weight,0.3,595395
mcap_weight,0.31,359964
mcap_weight,0.32,548957
mcap_weight,0.33,357733
mcap_weight,0.34,475224
mcap_weight,0.35,277885
mcap_weight,0.36,288663
mcap_weight,0.37,288557
mcap_weight,0.38,334601
mcap_weight,0.39,419190
mcap_weight,0.4,436218
mcap_weight,0.41,242296
mcap_weight,0.42,276580
mcap_weight,0.43,250425
mcap_weight,0.44,211863
mcap_weight,0.45,214476
mcap_weight,0.46,331448
mcap_weight,0.47,160910
mcap_weight,0.48,170996
mcap_weight,0.49,170783
mcap_weight,0.5,173385
mcap_weight,0.51,331051
mcap_weight,0.52,124313
mcap_weight,0.53,301546
mcap_weight,0.54,133640
mcap_weight,0.55,130211
mcap_weight,0.56,114336
mcap_weight,0.57,139822
mcap_weight,0.58,267487
mcap_weight,0.59,87969
mcap_weight,0.6,107248
mcap_weight,0.61,92086
mcap_weight,0.62,170557
mcap_weight,0.63,114289
mcap_weight,0.64,81276
mcap_weight,0.65,96014
mcap_weight,0.66,160295
mcap_weight,0.67,92885
mcap_weight,0.68,69444
mcap_weight,0.69,71221
mcap_weight,0.7,79653
mcap_weight,0.71,148957
mcap_weight,0.72,56209
mcap_weight,0.73,75060
mcap_weight,0.74,74820
mcap_weight,0.75,114743
mcap_weight,0.76,53576
mcap_weight,0.77,223030
mcap_weight,0.78,70116
mcap_weight,0.79,44854
mcap_weight,0.8,55680
mcap_weight,0.81,63569
mcap_weight,0.82,37327
mcap_weight,0.83,44771
mcap_weight,0.84,41887
mcap_weight,0.85,37921
mcap_weight,0.86,206606
mcap_weight,0.87,113441
mcap_weight,0.88,36196
mcap_weight,0.89,41706
mcap_weight,0.9,49735
mcap_weight,0.91,30655
mcap_weight,0.92,27244
mcap_weight,0.93,31635
mcap_weight,0.94,24723
mcap_weight,0.95,36302
mcap_weight,0.96,23505
mcap_weight,0.97,24669
mcap_weight,0.98,32732
mcap_weight,0.99,24143
mcap_weight,1.0,21894
mcap_weight,1.01,26851
mcap_weight,1.02,31397
mcap_weight,1.03,31587
mcap_weight,1.04,30313
mcap_weight,1.05,30339
mcap_weight,1.06,33998
mcap_weight,1.07,19715
mcap_weight,1.08,18453
mcap_weight,1.09,21481
mcap_weight,1.1,24090
mcap_weight,1.11,16664
mcap_weight,1.12,24859
mcap_weight,1.13,18728
mcap_weight,1.14,28217
mcap_weight,1.15,32063
mcap_weight,1.16,20416
mcap_weight,1.17,21468
mcap_weight,1.18,12218
mcap_weight,1.19,17574
mcap_weight,1.2,19873
mcap_weight,1.21,21368
mcap_weight,1.22,14187
mcap_weight,1.23,16717
mcap_weight,1.24,18292
mcap_weight,1.25,21231
mcap_weight,1.26,53763
mcap_weight,1.27,70205
mcap_weight,1.28,16701
mcap_weight,1.29,14980
mcap_weight,1.3,12347
mcap_weight,1.31,19678
mcap_weight,1.32,17977
mcap_weight,1.33,9567
mcap_weight,1.34,9987
mcap_weight,1.35,10750
mcap_weight,1.36,9949
mcap_weight,1.37,11407
mcap_weight,1.38,7551
mcap_weight,1.39,8804
mcap_weight,1.4,12911
mcap_weight,1.41,10462
mcap_weight,1.42,7875
mcap_weight,1.43,10653
mcap_weight,1.44,11911
mcap_weight,1.45,12625
mcap_weight,1.46,7366
mcap_weight,1.47,8067
mcap_weight,1.48,9057
mcap_weight,1.49,9126
mcap_weight,1.5,11955
mcap_weight,1.51,8962
mcap_weight,1.52,8200
mcap_weight,1.53,24179
mcap_weight,1.54,12608
mcap_weight,1.55,15538
mcap_weight,1.56,8512
mcap_weight,1.57,7297
mcap_weight,1.58,5969
mcap_weight,1.59,5234
mcap_weight,1.6,5555
mcap_weight,1.61,8872
mcap_weight,1.62,9347
mcap_weight,1.63,20317
mcap_weight,1.64,4907
mcap_weight,1.65,12951
mcap_weight,1.66,7239
mcap_weight,1.67,4922
mcap_weight,1.68,6549
mcap_weight,1.69,4143
mcap_weight,1.7,4652
mcap_weight,1.71,10278
mcap_weight,1.72,3499
mcap_weight,1.73,3916
mcap_weight,1.74,4602
mcap_weight,1.75,2920
mcap_weight,1.76,6727
mcap_weight,1.77,3995
mcap_weight,1.78,4593
mcap_weight,1.79,7347
mcap_weight,1.8,2895
mcap_weight,1.81,9314
mcap_weight,1.82,3907
mcap_weight,1.83,2858
mcap_weight,1.84,3402
mcap_weight,1.85,3165
mcap_weight,1.86,3723
mcap_weight,1.87,2990
mcap_weight,1.88,2796
mcap_weight,1.89,4443
mcap_weight,1.9,3773
mcap_weight,1.91,3387
mcap_weight,1.92,4180
mcap_weight,1.93,5932
mcap_weight,1.94,4457
mcap_weight,1.95,3024
mcap_weight,1.96,2600
mcap_weight,1.97,3203
mcap_weight,1.98,4959
mcap_weight,1.99,2664
