block_number,block_date,n_wallets,mean_ret_baseline_pct,mean_ret_equal_pct,mean_ret_mcap_pct,mean_ret_better_pct,mean_ret_safer_pct,mean_ret_sharpe_pct,mean_alpha_baseline_pct,mean_alpha_equal_pct,mean_alpha_mcap_pct,mean_market_return_pct
9193266,2020-01-01,826497,24.431669698981654,21.258555017777596,22.707272172546933,20.170229884298603,23.521535016106856,26.45744307911975,2.7342337975192526,0.4859473553463874,1.3766011638140385,22.97329413110569
9393154,2020-02-01,914540,8.051280942477872,24.25061003234553,6.6504231588392235,24.709184936573603,13.177022002977662,3.783084524414923,-6.077178491547188,10.293014897625948,-7.5966724482168635,19.70726686110944
9581792,2020-03-01,926317,-38.67923237420131,-24.087420280923933,-29.38351688886923,-36.313998856424526,-34.90729183479225,-34.47220076793667,-11.490352833404119,3.9431977965519995,-0.8038030954726507,-40.37786714166012
9782602,2020-04-01,941259,3.7923582802674667,7.0499691580058865,5.537744466106497,7.892560433895185,4.024049853299754,11.703893329578055,-13.366634420355522,-10.648263109941421,-12.945744748059065,15.70188974755117
9976964,2020-05-01,1006999,52.2593420138356,39.413898994290925,24.862553116212254,27.28820252172115,50.38427606605607,17.025347133766836,45.75355721892848,32.717999796952896,17.896210188918896,6.116982501872345
10176690,2020-06-01,1021033,13.621552043392565,12.067113240898847,8.693586618589297,9.927903187126255,13.152661895707087,13.766370155449131,14.563030344778952,13.009306944177194,9.721850119318079,-1.369057994331514
10370274,2020-07-01,1044729,15.630956133264725,48.4169938604472,12.444767446415165,31.19549615532844,28.749569162128356,21.150609364603525,13.978266650813524,46.77059119376683,10.699946783746515,2.3311482255736107
10570485,2020-08-01,1071168,52.43495523014244,43.65722075455152,44.51482335915466,50.06479659361494,49.897458303336236,37.19228062913783,46.673898431910814,38.30787959597745,38.08591055726863,11.47831817403077
10771925,2020-09-01,1094957,-18.847073587368342,-20.8517567578191,-19.39935076828355,-18.97176477863674,-19.021490847061006,-20.340502659365235,-9.95810103323795,-13.14116020139009,-11.189214899366435,-11.384971215094772
10966874,2020-10-01,1121306,17.552676221813222,20.71591021388827,9.996884793685213,19.85502964991129,17.563153880668718,23.392829833601542,10.860182097084122,14.240247237266393,3.416654668403618,6.4671144890610055
11167817,2020-11-01,1233035,14.969189424233601,33.794081338962926,10.34946630469402,40.53176384514398,19.30929204068305,31.670759664182626,-13.258261269218854,5.42653121947404,-17.452148041937686,29.12624302732506
11363270,2020-12-01,1312844,21.249900457942584,18.65351261492067,14.240450648086517,19.133607653940672,20.369177318274456,21.012597303768718,12.200763491583356,9.838414782022383,6.003469465550397,10.976981235452612
11565019,2021-01-01,1344924,43.14674727469917,42.733471407572786,43.26947598297682,45.11474352913507,41.46306039722564,48.597039798799436,14.438593754996004,14.330772876175068,15.918030411418533,41.32160991071442
11766939,2021-02-01,1421979,96.21409579262529,103.84017431236947,87.94197784640775,104.8009164852269,97.58243448902537,104.50451071545257,62.845644085491024,73.01534199777959,57.24892460870977,44.933293507449626
11948960,2021-03-01,1578989,135.76393553752564,121.05880199462212,98.21877800382146,142.2895581644601,130.55215045162066,123.161186729978,117.28100007925735,103.45139546237444,81.26356902305818,25.11691985901574
12150245,2021-04-01,1695563,12.411317352759378,12.01043598319041,9.26135380459788,13.135953564402303,11.805279268018783,12.395488983613324,6.192213599645624,6.0816282972206706,3.511465265008739,7.579814180497914
12344945,2021-05-01,1822425,-15.916482612107007,-17.08637643738891,-12.113551758429104,-16.868799740734293,-15.39683242839508,-16.51681430326919,0.47045967576529146,-1.7821895220861146,2.879770527066008,-18.167715070601474
12545219,2021-06-01,1944649,-4.218059182787701,-0.94902929869163,-3.204068845527095,-2.38924982314381,-2.447162439727379,-1.1635656771022052,8.576623274476127,11.592976995496103,8.40556866201014,-11.51685681002097
12738509,2021-07-01,2077642,-19.311832534480295,-17.75374803586515,-16.28914284220674,-17.409987274413684,-18.010750121290226,-13.562398539350054,3.062508467676307,4.303418840837806,3.728143284523195,-20.12884183315569
12936340,2021-08-01,2186002,29.94752588746154,33.07085985296682,26.237969119959242,31.75822646018024,29.98584761325644,28.696471691809684,9.73977366544875,13.510379325062285,8.312367153613955,20.881636930131997
13136427,2021-09-01,2286203,64001268.22916224,1.2029625898937284e+34,-3.7113033135337656,9.246132079162316e+33,8.4911414466732e+33,1.17481333110448e+34,64001282.69233934,1.2029625898937284e+34,7.107545088877017,-12.82493715136751
13330090,2021-10-01,2385506,46.58199158323842,45.57705213747036,40.42941792085241,43.26227579813428,44.77908981418561,38.82160462814109,12.523974844723215,6.98181300100196,15.978785816210047,36.495615926957164
13527859,2021-11-01,2504425,21.042594344449743,19.541240859624644,17.502431350446184,15.772499838521888,19.90647982909141,12.890255856469194,20.719249132140348,19.21095389674293,17.252170373638357,0.451264160760522
13717847,2021-12-01,2579086,25849585814.988983,7.944281365323176e+23,-19.017790305085843,4.610708482468982e+23,4.267526882431855e+23,1.4293465274763497e+23,25849585827.999294,7.944281365323176e+23,-7.390188248790105,-17.54840668278832
13916166,2022-01-01,2621359,-11.897626825125734,11.201891744193688,-13.27730661192976,4.764979230145321,-1.712507727997865,-3.3454731330158443,4.141398064422838,26.333656106526654,1.1485006278041543,-16.590634927062876
14116761,2022-02-01,2755033,11431.976537637429,1195827.7512460803,-1.2991466889746601,2173661.9143823828,486756.38342571136,2372664.8280408406,11433.001837253989,1195828.7609170116,-0.39683033179689897,-1.05864132702836
14297759,2022-03-01,2928345,3.357871819352017,2.9964948511401372,3.1276495896671896,2.8523817759502705,3.1968057030806936,1.745754133410815,6.305617762552229,5.896928686993907,5.7015151068849255,-3.2691447873048216
14497034,2022-04-01,2934000,-12.629043187392725,-11.851439034375801,-11.369463535323796,-12.215883267649462,-11.62866926823028,-11.665181266392555,-6.076187806429798,-5.748367653840345,-5.5875866173398485,-7.988389753226158
14688630,2022-05-01,3002002,3526846.537013771,3.813902776297726e+29,-19.58722531887857,4.46913478646642e+29,3.3056521133284576e+29,5.1071795366127076e+29,3526872.296585368,3.813902776297726e+29,3.090207084416047,-29.236157369128392
14881677,2022-06-01,3075701,-25.53928491221823,-23.545149518702978,-22.55142004910282,-22.80773538407064,-24.48377341463081,-19.542569836857613,27.989473623221567,30.816911241010047,25.39751044740079,-48.71765431927134
15053226,2022-07-01,3103058,11.731935519950177,13.446356206652938,9.964367339600761,12.374630609947456,11.745942389670907,10.975818768837664,-12.803441050911465,-11.20305449775117,-11.907528280345224,27.262005974576446
15253306,2022-08-01,3154145,-7.215883518512169,-7.135704468430526,-6.44364699857731,-6.813648522441347,-6.851011067576926,-7.847526559342239,-1.2886481644960737,-1.3405993914783139,-1.1833043344868355,-8.306940864462481
15449618,2022-09-01,3172900,-6.735604736257447,-6.240795268040671,-6.411732093598219,-6.385633590562141,-6.221037507055748,-6.593341499775638,0.8504509832595153,1.2728935711786924,0.35843889887126934,-10.765135181921682
15649595,2022-10-01,3182512,-4.601148284137597,-5.044073075321095,-4.2952928593654285,-5.229183199484958,-4.558748504497561,-5.901755781791099,-2.4948900215846375,-2.9674517830890355,-2.424142071663639,-2.9124996574781465
15871480,2022-11-01,3245800,-21.060552707114766,-20.737193801915453,-18.74112812679059,-20.28763972610851,-20.182964740271615,-21.74496382706634,-2.060583962938767,-2.3369695459716557,-1.6966662951672942,-27.788574719959485
16086234,2022-12-01,3332213,-7.670835628673654,-6.838333568071123,-7.215139331396229,-8.209905279584016,-7.204593358265636,-9.29094607678921,-4.26319440188319,-3.4164087589382106,-4.209116766178254,-3.8398523535681295
16308190,2023-01-01,3362555,39.797171245298706,51.67343859566008,30.29311084438378,43.11314116105704,42.96355785710767,34.87729252270279,10.236417208149575,21.939919642245606,4.212245062196263,32.05420951067443
