strategy,beta_bin,count
safer_risk,-0.9,85218
safer_risk,-0.85,33241
safer_risk,-0.8,93105
safer_risk,-0.75,48583
safer_risk,-0.7,50381
safer_risk,-0.65,46627
safer_risk,-0.6,108727
safer_risk,-0.55,57552
safer_risk,-0.5,72704
safer_risk,-0.45,120163
safer_risk,-0.4,78464
safer_risk,-0.35,112169
safer_risk,-0.3,194065
safer_risk,-0.25,170031
safer_risk,-0.2,194629
safer_risk,-0.15,306115
safer_risk,-0.1,522357
safer_risk,-0.05,4065220
safer_risk,0.0,10478295
safer_risk,0.05,5086864
safer_risk,0.1,7718305
safer_risk,0.15,4892943
safer_risk,0.2,3712121
safer_risk,0.25,3487935
safer_risk,0.3,3549762
safer_risk,0.35,3725071
safer_risk,0.4,3854785
safer_risk,0.45,4429598
safer_risk,0.5,4662526
safer_risk,0.55,5027174
safer_risk,0.6,5495853
safer_risk,0.65,6407589
safer_risk,0.7,7465248
safer_risk,0.75,7801791
safer_risk,0.8,8633699
safer_risk,0.85,9628441
safer_risk,0.9,9591373
safer_risk,0.95,9831863
safer_risk,1.0,10767400
safer_risk,1.05,9971924
safer_risk,1.1,9919973
safer_risk,1.15,9615244
safer_risk,1.2,8645389
safer_risk,1.25,8126884
safer_risk,1.3,7390791
safer_risk,1.35,6058271
safer_risk,1.4,5336285
safer_risk,1.45,4504374
safer_risk,1.5,4307543
safer_risk,1.55,3331145
safer_risk,1.6,2607615
safer_risk,1.65,1980571
safer_risk,1.7,1752086
safer_risk,1.75,1358968
safer_risk,1.8,1140746
safer_risk,1.85,1427931
safer_risk,1.9,903691
safer_risk,1.95,630592
safer_risk,2.0,517911
safer_risk,2.05,444260
safer_risk,2.1,400798
safer_risk,2.15,317458
safer_risk,2.2,252019
safer_risk,2.25,213626
safer_risk,2.3,200637
safer_risk,2.35,145126
safer_risk,2.4,108982
safer_risk,2.45,92905
safer_risk,2.5,80351
safer_risk,2.55,69446
safer_risk,2.6,61169
safer_risk,2.65,57276
safer_risk,2.7,47096
safer_risk,2.75,51098
safer_risk,2.8,104674
safer_risk,2.85,35242
safer_risk,2.9,30185
safer_risk,2.95,26962
safer_risk,3.0,23564
safer_risk,3.05,24160
safer_risk,3.1,20422
safer_risk,3.15,20842
safer_risk,3.2,15232
safer_risk,3.25,13528
safer_risk,3.3,14441
safer_risk,3.35,10858
safer_risk,3.4,9963
safer_risk,3.45,9407
safer_risk,3.5,10888
safer_risk,3.55,8263
safer_risk,3.6,66312
safer_risk,3.65,7034
safer_risk,3.7,5370
safer_risk,3.75,5022
safer_risk,3.8,5034
safer_risk,3.85,5222
safer_risk,3.9,4447
safer_risk,3.95,6648
safer_risk,4.0,5063
safer_risk,4.05,3377
safer_risk,4.1,4716
safer_risk,4.15,2797
safer_risk,4.2,3065
safer_risk,4.25,3492
safer_risk,4.3,2732
safer_risk,4.35,2152
safer_risk,4.4,1728
safer_risk,4.45,2141
safer_risk,4.5,1656
safer_risk,4.55,2238
safer_risk,4.6,1766
safer_risk,4.65,1379
safer_risk,4.7,1501
safer_risk,4.75,1152
safer_risk,4.8,1269
safer_risk,4.85,1195
safer_risk,4.9,1346
safer_risk,4.95,757
max_sharpe,-1.0,54377
