block_number,block_date,n_wallets,mean_ret_diff_better_return_pp,mean_alpha_diff_better_return_pp,alpha_hit_rate_better_return_pct,mean_ret_diff_safer_risk_pp,mean_alpha_diff_safer_risk_pp,alpha_hit_rate_safer_risk_pct,mean_ret_diff_max_sharpe_pp,mean_alpha_diff_max_sharpe_pp,alpha_hit_rate_max_sharpe_pct,mean_ret_diff_equal_weight_pp,mean_alpha_diff_equal_weight_pp,alpha_hit_rate_equal_weight_pct,mean_ret_diff_mcap_weight_pp,mean_alpha_diff_mcap_weight_pp,alpha_hit_rate_mcap_weight_pct
9193266,2020-01-01,826497,-4.261439814682679,-2.8706430241651466,44.49393040749089,-0.9101346828746362,-0.7206650637217735,37.0331652746471,2.025773380138434,2.0177955436072095,39.94436761415952,-3.1731146812042588,-2.2482864421729,42.5853935343988,-1.7243975264346185,-1.3576326337052083,36.57436143143895
9393154,2020-02-01,914540,16.657903994095264,16.814263741792562,52.89708487326962,5.125741060500097,5.296264692262448,58.108338618321774,-4.2681964180630505,-5.015682289297862,48.49038861066766,16.199329089866872,16.370193389172954,55.39779561309511,2.3546640858659074,2.23754900392615,65.14028910709209
9581792,2020-03-01,926317,2.3652335177766832,2.6073158436742876,59.644376601098756,3.771940539408198,3.699339536033914,63.98166070578431,4.207031606265623,6.117839645179175,69.76834064364576,14.591812093277806,15.433550629956327,59.533615382207174,9.2953458564626,10.72428937777121,62.29670836225611
9782602,2020-04-01,941259,4.1002021536278725,2.422941146008557,55.88844303215161,0.23169157303226207,0.3846174789877285,61.74878540337995,7.911535049310493,6.628868770677271,54.197835027341036,3.257610877738356,2.7183713104141587,60.306886839860226,1.7457993609761513,0.42161914907591924,59.111785385319024
9976964,2020-05-01,1006999,-24.971139492115363,-25.555606402881477,41.14274194909826,-1.8750659477795584,-1.8141519241016555,49.25496450344042,-35.23399488006944,-35.78255474160224,42.16071714073202,-12.845443019544772,-13.035557421974742,43.08365748128846,-27.86614701101888,-28.306510651672834,38.82178631756337
10176690,2020-06-01,1021033,-3.6936488562661194,-3.6415303299419097,43.380086637748235,-0.4688901476857055,-0.4638180054317869,42.67031525915421,0.14481811205677902,0.20972500878087605,50.86339031157661,-1.5544388024937321,-1.5537234006015856,45.92877997087263,-4.927965424803139,-4.8411802254610485,38.8304785447679
10370274,2020-07-01,1044729,15.564540022064218,15.588397725406727,48.42815696702207,13.11861302886393,13.129475849332838,59.22645968476036,5.519653231338621,5.459035707389251,53.29755371967275,32.78603772718346,32.792324542953374,56.43587954388172,-2.4780970582335966,-2.570123121353771,56.73729742354238
10570485,2020-08-01,1071168,-2.3701586365264973,-2.272261309839463,45.60199707235466,-2.537496926805204,-2.5362393654892235,34.477598285236304,-15.24267460100358,-16.418691095749875,33.366568082691046,-8.777734475590105,-8.366018835933067,36.824475712493275,-7.920131870986942,-8.587987874641598,41.97614193105096
10771925,2020-09-01,1094957,-0.124691191268349,0.33734562440202287,43.93843776513599,-0.17441725969293548,-0.3459773791728887,39.475340127511856,-1.4934290719966052,-1.6181074547052223,46.620460894811394,-2.0046831704511274,-3.183059168152384,40.55054216740931,-0.5656566656192041,-1.2472219830987907,50.19576111208019
10966874,2020-10-01,1121306,2.3023534280983102,2.2827014739426,51.54364642657758,0.010477658855700662,0.25730470657397936,57.127581587898405,5.840153611788621,5.50528881737401,54.12679500511012,3.163233992075013,3.380065140181966,59.12792761297987,-7.5551809521787225,-7.442909230640858,60.82835550688215
11167817,2020-11-01,1233035,25.562574420910472,24.550624767834815,56.88443555941235,4.3401026164498635,5.420121748286715,56.916794738186674,16.701570239949515,17.66020674520404,62.50430847461751,18.82489191472922,18.684792488693066,53.66238590145455,-4.612536559898428,-4.185957690841271,57.23008673719724
11363270,2020-12-01,1312844,-2.116292804001915,-1.4435860732567678,42.30373144105469,-0.8807231396681454,-0.5273754836625183,48.05132978480307,-0.23730315417403994,0.22427568480264426,47.12128783008491,-2.5963878430218736,-2.3623487095610423,47.591259890741014,-7.009584023178986,-6.197426016098284,36.82059711587972
11565019,2021-01-01,1344924,1.967996254435701,0.9595005956817001,52.75762794031485,-1.6836868774738307,-0.6533150771303706,50.903099357287104,5.450292524099804,2.9631529764422524,53.048499394761336,-0.4132758671260046,-0.1078208788211484,52.53270816789648,0.12272870827792946,1.4794366564226624,59.84434808212211
11766939,2021-02-01,1421979,8.586820692603265,8.856647707465028,56.04182621543637,1.3683386963996815,2.1129150524817604,58.31949698272618,8.290414922829262,6.512734431391072,56.072206410924494,7.626078519742578,10.169697912288411,66.45766217363266,-8.27218372320329,-5.596764230540028,51.09090921877186
