block_number,block_date,n_wallets,mean_delta_better_return_vs_equal,median_delta_better_return_vs_equal,pct_closer_better_return_vs_equal,pct_farther_better_return_vs_equal,pct_unchanged_better_return_vs_equal,mean_delta_better_return_vs_mcap,median_delta_better_return_vs_mcap,pct_closer_better_return_vs_mcap,pct_farther_better_return_vs_mcap,pct_unchanged_better_return_vs_mcap,mean_delta_safer_risk_vs_equal,median_delta_safer_risk_vs_equal,pct_closer_safer_risk_vs_equal,pct_farther_safer_risk_vs_equal,pct_unchanged_safer_risk_vs_equal,mean_delta_safer_risk_vs_mcap,median_delta_safer_risk_vs_mcap,pct_closer_safer_risk_vs_mcap,pct_farther_safer_risk_vs_mcap,pct_unchanged_safer_risk_vs_mcap,mean_delta_max_sharpe_vs_equal,median_delta_max_sharpe_vs_equal,pct_closer_max_sharpe_vs_equal,pct_farther_max_sharpe_vs_equal,pct_unchanged_max_sharpe_vs_equal,mean_delta_max_sharpe_vs_mcap,median_delta_max_sharpe_vs_mcap,pct_closer_max_sharpe_vs_mcap,pct_farther_max_sharpe_vs_mcap,pct_unchanged_max_sharpe_vs_mcap
9193266,2020-01-01,826497,-0.037496286854823146,1.8845347504736765e-10,27.1277451702789,14.58299304171703,58.28926178800407,0.24571775287051265,0.003841492155815085,17.429343361197922,50.529765988261296,32.040890650540774,-0.08110576074819142,-1.1102230246251565e-15,23.04448775978618,4.3534338297658675,72.60207841044794,-0.024341194672372744,-1.1102230246251565e-15,16.48148753111022,11.020850650395584,72.4976618184942,0.2152608627371074,1.5543122344752192e-15,0.5433776529134406,48.67361890000811,50.78300344707846,0.22836831533065347,0.0,20.69372302621788,43.74680125880674,35.55947571497537
9393154,2020-02-01,914540,-0.0664440939371116,-0.010678304946339812,55.60500360837142,12.6895488442277,31.70544754740088,0.2900544426245084,0.09918583691829624,19.0069324469132,52.90637916329521,27.645264285870493,-0.0773757668399816,-1.996354193067873e-10,24.456557394974524,4.570166422463752,70.97327618256173,-0.03212629550047208,4.1775749526351547e-10,17.41159490016839,11.321429352461347,70.82555164344917,0.15724541067223183,1.1102230246251565e-16,11.464233385089772,44.34480722549041,44.19095938941982,0.20294408795923036,5.551115123125783e-17,23.70142366654274,44.65742340411573,31.19972882542043
9581792,2020-03-01,926317,-0.017940751041085397,5.083666820837607e-11,28.448036687224782,19.881206973422707,51.67075633935251,0.05063637635256689,5.083666820837607e-11,25.03149569747721,27.553202629337477,45.755610660281526,-0.08349478518285715,-1.3576222368527624e-09,24.129644603305348,4.126773016148899,71.74358238054576,-0.002882893672387398,-5.776393252610035e-10,13.861237567700908,13.253886088671587,71.22518533072372,0.11324485421113496,2.220446049250313e-16,14.700367152929289,41.507928711229525,43.79170413584119,0.05874537225697045,2.220446049250313e-16,29.80621104870147,36.10761758663611,32.42648035175863
9782602,2020-04-01,941259,0.00423020839936585,4.125735308946332e-10,27.489139546076053,22.6448830768152,49.86597737710874,-0.06394514724074643,-7.635336807254589e-11,46.29554670924793,35.61198352419473,18.089707508772822,-0.10433371463941345,-1.757248346834217e-09,27.332753259198583,2.2046004340994347,70.46264630670198,0.0009514861913118913,-4.897609540144288e-10,14.780097720181162,14.825356251573691,70.39178377046062,0.15086161791365688,3.3306690738754696e-16,9.46434509523946,47.521776684207,43.013878220553536,-0.09738434179613444,-8.326672684688674e-17,46.97219362577144,37.15927284626229,15.865771270181748
9976964,2020-05-01,1006999,-0.024694630732651688,4.1253311877653687e-10,31.662096983214482,21.059504527809857,47.27839848897566,-0.05238338264216136,0.0,42.50113455922002,37.38315529608271,19.707566740384053,-0.10652936111821151,-4.975160283748892e-10,26.797146769758463,2.0035769648232025,71.19927626541833,-0.002050897839169842,-9.506573306339305e-11,15.05066042766676,13.656220115412228,70.8849760526078,0.06382808466109542,0.0,19.633882456685658,41.32645613352148,39.039661409792856,-0.174117748148797,-1.1102230246251565e-16,46.842648304516686,35.98216085616768,16.767047435002418
10176690,2020-06-01,1021033,-0.07491764640994385,0.0,33.16151387859158,10.45940728654216,56.379078834866256,0.08911019888773378,2.886579864025407e-15,37.48380316796813,30.97539452691539,31.540802305116483,-0.08818378778836014,-8.881784197001252e-16,24.382071882103713,4.1970239943273135,71.42090412356897,-0.010917794904531701,5.684881454470769e-10,15.854041935960932,12.875391882534649,71.2705661815044,-0.08087026366928932,-1.1102230246251565e-16,39.392164601927654,28.64442187470924,31.963413523363105,0.012662600421725604,-2.220446049250313e-16,38.25106534264808,36.29765149608289,25.45128316126903
10370274,2020-07-01,1044729,-0.09412526844207977,7.771561172376096e-16,36.580108334314446,10.704594205770109,52.71529745991545,0.09111792048175843,4.739542092124793e-13,20.92533087527962,31.60475108855981,47.424260262709275,-0.08684945133011465,-2.522704489749117e-09,24.928474274189767,4.606457751244581,70.46506797456566,-0.01310273003263134,-5.199242703035623e-10,16.145813890492175,13.521496962370147,70.28703137368637,0.02001987888392421,0.0,26.607570001407066,35.6882981136735,37.70413188491944,0.05752798392035153,1.1102230246251565e-16,36.90545586463092,36.337461676664475,26.711424685253306
10570485,2020-08-01,1071168,-0.0462999170572196,1.1113332476497817e-12,29.261609756826196,17.903914231941208,52.8344760112326,0.08837307646609441,1.1113332476497817e-12,25.359420744458383,31.103431021090994,43.53714823445062,-0.08240876900901449,-2.5900572797610266e-09,25.620537581406467,3.8736220648861805,70.50584035370736,-0.006558883202974906,-2.954575473168575e-11,15.364910079464659,14.260508155583437,70.3745817649519,0.07619408227690856,0.0,17.862277439206547,40.83906539403716,41.298657166756286,0.05692145337870068,-8.326672684688674e-17,45.96692582302683,38.92853408615642,15.104540090816753
10771925,2020-09-01,1094957,-0.06207641158946935,1.212363542890671e-13,28.528060919287242,11.493236720711407,59.97870236000136,0.039526532085729954,7.734335394360414e-11,20.146544567503565,27.71031191179197,52.10012813288558,-0.07719729267094623,-3.2980315145536565e-09,24.944449873374023,4.378802089945085,70.67674803668089,-0.006406564857819445,-1.3804507537074073e-10,14.521483492045807,15.04607030230411,70.3894308178312,-0.12112243015033203,-0.1688352251695503,57.68865809342285,30.350141603734208,11.961200302842942,0.038377361585882556,-0.01760501879719606,50.56536466728831,43.21274716724036,6.1788727776524555
10966874,2020-10-01,1121306,-0.02011828234782463,1.1991183046511367e-10,25.050432263806666,19.44054522137579,55.50902251481754,0.0795202470069695,1.6864420970819083e-10,24.443729008852177,29.840293372192782,45.71526416517882,-0.06958967451136758,-1.7270879171249476e-11,23.82248913320717,5.548797562841901,70.62871330395093,0.015615796689735196,4.4279446775874476e-10,13.540282492022696,16.01953436439295,70.43946968980813,0.14956289580401597,2.220446049250313e-16,7.95081806393616,45.66648176322966,46.38270017283418,0.13521761173084906,0.0,27.839768983667255,40.52256921839355,31.636948344162967
