,month,log_value_usd,num_tokens,beta_baseline,holds_eth,holds_btc,expected_value,feat_month,feat_log_value_usd,feat_num_tokens,feat_beta_baseline,feat_holds_eth,feat_holds_btc
0,-15.871535689766104,0.312323854429348,0.5852236293401771,-3.8185263194921255,-0.17098146755563695,-0.013044215307721662,-1.0494171346254324,54.0,4.78153053537534,4.0,1.6324868389156384,0.0,0.0
1,-0.4925842936355722,-0.44578930972292796,-0.025028940635861675,0.5973657123539653,-0.10240259147431187,-0.004956153689124594,-1.0494171346254324,58.0,4.328993009955153,2.0,0.08479137849937719,0.0,0.0
2,-19.290433345277343,0.01439076917316802,-0.06440996694297779,-11.37153693862936,-0.04119029121408494,-0.0075522324712072484,-1.0494171346254324,62.0,3.3489825863220215,2.0,1.8759686398363145,0.0,0.0
3,-9.881954152729264,0.4942027562576731,-0.20651298788568417,0.3054676233018563,-0.1785665496474275,-0.024606440471618123,-1.0494171346254324,41.0,1.6634558495916738,2.0,0.7603790591682551,0.0,0.0
4,15.703881763435714,11.378145237195337,0.005755972102819447,3.8067573073892746,-0.053922007188541905,-0.01114818668643472,-1.0494171346254324,27.0,0.5274291614723564,2.0,0.9746236954730819,0.0,0.0
5,-2.3805878501544044,-0.23449421428273803,0.05768603980171603,1.223640027041357,0.0858412393714577,-0.005770211876923072,-1.0494171346254324,64.0,2.4499304711686793,4.0,1.3418889558587053,0.0,0.0
6,-6.391150992548111,-0.430318481483513,-0.10526851806563818,4.351398072559672,-0.0705595598037795,-0.01891604992646539,-1.0494171346254324,66.0,4.417061384109511,4.0,0.14014270131928658,0.0,0.0
7,19.303810243671958,0.03686634817061625,0.14137446522923477,2.2180822220370646,1.732043706213829,-0.005905456143263309,-1.0494171346254324,50.0,5.435684181245955,2.0,1.1241220831702892,1.0,0.0
8,3.5053516833530614,-0.8093378481207819,0.003737091342125258,0.5270474147939848,-0.0470483033752143,-0.0056604406906799395,-1.0494171346254324,55.0,2.9604671369026474,3.0,1.2476319918901118,0.0,0.0
9,13.463763702959701,-0.15977690399498043,-0.010259181979241333,0.5106567895771031,-0.22224427841538624,-0.0057415541574180745,-1.0494171346254324,65.0,2.9732826690484115,7.0,1.1413174008236437,0.0,0.0
10,-21.6453864445135,-0.2444444007358082,-0.055634957960411575,-1.398893561292887,-0.04618031387695194,-0.013346867837778099,-1.0494171346254324,35.0,10.303273173884817,6.0,0.7983811197164054,0.0,0.0
