,coef,std_err,t_stat,p_value,significant
const,-19.061046198967304,0.06576939560163785,-289.8163503648288,0.0,***
month,-0.05959205054330282,0.0005874173431203642,-101.44755043620182,0.0,***
log_value_usd,-0.3535379877286602,0.005331714044705499,-66.30850506315706,0.0,***
num_tokens,-1.581875714181906,0.01706111619949971,-92.71818418470721,0.0,***
num_tokens_sq,0.0019023745494332735,3.0200674377002993e-05,62.991128134604864,0.0,***
log_value_x_tokens,0.028495014866518738,0.0012493763463717104,22.807391022945616,3.899093706237633e-115,***
log_num_tokens,42.455226384934136,0.07920299066871962,536.0305971590209,0.0,***
