optimisation,exact_0_count,exact_0_pct,"near_0_count_(0,1%]","near_0_pct_(0,1%]",combined_<=1%_count,combined_<=1%_pct
better_return,1355937,0.5658,94702176,39.5194,96058113,40.0852
safer_risk,3164570,1.3206,148655801,62.0343,151820371,63.3549
max_sharpe,1925269,0.8034,40895476,17.0658,42820745,17.8692
