,value
n,42820745.0
mean_tokens,2.054315192320918
median_tokens,2.0
min_tokens,2.0
max_tokens,48.0
std_tokens,0.27155213816201546
mean_value,72327.11339429386
median_value,26.698940006287582
min_value,0.0
max_value,70915709350.411
std_value,27057376.926349446
mean_log_value,3.536299068158852
median_log_value,3.3213941455400695
