,value
n,151820371.0
mean_tokens,2.057313837021252
median_tokens,2.0
min_tokens,2.0
max_tokens,91.0
std_tokens,0.27192323275016606
mean_value,36614.588209359565
median_value,28.63601816581576
min_value,0.0
max_value,70915709350.411
std_value,15179503.989131438
mean_log_value,3.624702842678632
median_log_value,3.3889904515187173
