,value
n,96058113.0
mean_tokens,2.094788412093833
median_tokens,2.0
min_tokens,2.0
max_tokens,91.0
std_tokens,0.36431656797641865
mean_value,37779.15558584693
median_value,32.384876926960295
min_value,0.0
max_value,70915709350.411
std_value,16856636.527641434
mean_log_value,3.7433909729509214
median_log_value,3.5081030108258857
